idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.aggregated,gating.episodic.attempts,gating.episodic.blocked,gating.episodic.blocked_new_edges,gating.episodic.inserted,gating.episodic.null_input,gating.episodic.routed_to_episodic,gating.episodic.skipped,gating.relational.accepted,gating.relational.aggregated,gating.relational.attempts,gating.relational.blocked,gating.relational.blocked_new_edges,gating.relational.inserted,gating.relational.null_input,gating.relational.routed_to_episodic,gating.relational.skipped,gating.spatial.accepted,gating.spatial.aggregated,gating.spatial.attempts,gating.spatial.blocked,gating.spatial.blocked_new_edges,gating.spatial.inserted,gating.spatial.null_input,gating.spatial.routed_to_episodic,gating.spatial.skipped
0,Carol saw at the Park on Thursday. Carol helped at the Mall on Tuesday. Carol met at the Mall on Thursday. Alice helped at the Mall on Thursday. Carol met at the Park on Monday. Bob saw at the Park on Tuesday. Where was Carol?,the Park,The Mall,0,0,0.0,2,2,0,0,103.53891399972781,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dave helped at the Library on Monday. Alice met at the Mall on Monday. Alice saw at the Library on Monday. Carol saw at the Mall on Wednesday. Alice helped at the Mall on Tuesday. Dave met at the Mall on Wednesday. What did Alice do?,helped,Alice met at the Mall on Monday.,0,0,0.0,7,1,1,1,243.61763300021266,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Bob met at the Mall on Thursday. Alice found at the Park on Wednesday. Carol met at the Library on Monday. Bob helped at the Cafe on Tuesday. Dave helped at the Cafe on Tuesday. Bob helped at the Cafe on Monday. When was Dave at the Cafe?,Tuesday,Tuesday,1,1,1.0,1,1,0,0,79.61861600051634,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Alice found at the Park on Thursday. Alice saw at the Park on Wednesday. Bob saw at the Library on Thursday. Dave found at the Park on Tuesday. Bob helped at the Mall on Tuesday. Dave found at the Mall on Tuesday. When was Bob at the Mall?,Tuesday,Bob was at the Mall on Tuesday.,0,0,0.0,7,1,1,1,243.47936199956166,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Alice met at the Library on Thursday. Carol helped at the Mall on Wednesday. Bob helped at the Mall on Thursday. Dave saw at the Park on Tuesday. Dave met at the Mall on Monday. Bob met at the Mall on Wednesday. When was Dave at the Mall?,Monday,Tuesday,0,0,0.0,1,1,0,0,79.76237799994124,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Dave saw at the Cafe on Thursday. Bob found at the Cafe on Tuesday. Carol met at the Mall on Tuesday. Carol helped at the Park on Monday. Bob met at the Mall on Wednesday. Alice saw at the Mall on Tuesday. When was Bob at the Mall?,Wednesday,Bob was at the Mall on Tuesday.,0,0,0.0,7,1,1,1,246.57195399959164,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Dave found at the Cafe on Tuesday. Bob saw at the Library on Tuesday. Alice found at the Mall on Thursday. Carol helped at the Cafe on Thursday. Carol met at the Library on Monday. Dave met at the Library on Wednesday. What did Carol do?,met,Carol met at the Library on Monday.,0,0,0.25,7,1,1,1,243.74539399923378,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Alice saw at the Mall on Tuesday. Alice found at the Library on Thursday. Carol found at the Mall on Tuesday. Alice met at the Cafe on Tuesday. Carol helped at the Mall on Monday. Alice saw at the Mall on Monday. Who was at the Mall?,Carol,Carol and Alice were at the Mall.,0,0,0.25,7,1,1,1,243.96428499949252,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Carol helped at the Library on Monday. Dave helped at the Mall on Wednesday. Alice helped at the Cafe on Monday. Alice met at the Park on Thursday. Dave found at the Mall on Tuesday. Alice found at the Mall on Tuesday. What did Dave do?,found,Dave helped at the Mall on Wednesday.,0,0,0.0,7,1,1,1,243.03850900014368,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Bob found at the Library on Monday. Bob saw at the Mall on Monday. Dave helped at the Cafe on Wednesday. Carol met at the Mall on Wednesday. Carol met at the Park on Wednesday. Dave saw at the Park on Monday. Who was at the Park?,Carol,Carol.,0,0,0.0,1,1,0,1,103.03034099979413,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Dave met at the Mall on Monday. Alice found at the Mall on Monday. Carol found at the Library on Monday. Dave helped at the Park on Monday. Bob saw at the Cafe on Tuesday. Dave found at the Cafe on Tuesday. What did Bob do?,saw,Bob saw at the Cafe on Tuesday.,0,0,0.25,7,1,1,1,246.5312330004963,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Dave found at the Park on Monday. Carol saw at the Library on Thursday. Carol met at the Park on Thursday. Carol saw at the Cafe on Tuesday. Bob saw at the Library on Monday. Dave met at the Library on Monday. What did Bob do?,saw,Bob saw at the Library on Monday.,0,0,0.25,7,1,1,1,243.69779399967229,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Bob met at the Mall on Thursday. Dave met at the Library on Tuesday. Carol saw at the Cafe on Tuesday. Alice helped at the Park on Wednesday. Carol helped at the Cafe on Wednesday. Bob helped at the Cafe on Wednesday. Who was at the Cafe?,Carol,"Carol, Alice, and Bob were at the Cafe.",0,0,0.0,8,1,1,1,313.52018199959275,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Carol helped at the Cafe on Wednesday. Alice saw at the Mall on Thursday. Dave helped at the Library on Thursday. Alice found at the Cafe on Tuesday. Dave helped at the Library on Thursday. Carol found at the Library on Thursday. What did Dave do?,helped,Helped at the Library on Thursday.,0,0,0.0,6,1,1,1,244.07041700033005,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bob met at the Park on Wednesday. Bob helped at the Park on Wednesday. Alice met at the Library on Tuesday. Carol found at the Library on Monday. Bob found at the Park on Thursday. Dave met at the Park on Wednesday. Who was at the Park?,Bob,"Bob, Dave",0,0,0.0,2,1,1,0,126.7076559997804,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Dave met at the Cafe on Monday. Bob saw at the Library on Monday. Alice met at the Cafe on Monday. Carol saw at the Park on Tuesday. Carol helped at the Park on Wednesday. Dave found at the Park on Wednesday. What did Carol do?,helped,Carol saw at the Park on Tuesday.,0,0,0.0,7,1,1,1,247.03770799987979,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Dave met at the Mall on Thursday. Dave saw at the Mall on Monday. Bob met at the Library on Thursday. Carol helped at the Park on Thursday. Bob met at the Cafe on Wednesday. Carol found at the Cafe on Monday. Where was Bob?,the Cafe,Library,0,0,0.0,1,2,0,0,79.74463699974876,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Dave met at the Park on Monday. Alice saw at the Park on Thursday. Carol found at the Library on Monday. Carol found at the Mall on Monday. Bob found at the Library on Thursday. Dave helped at the Library on Wednesday. What did Bob do?,found,Bob found at the Library on Thursday.,0,0,0.25,7,1,1,1,243.27663099938945,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Carol found at the Mall on Thursday. Dave met at the Library on Wednesday. Alice found at the Park on Monday. Bob saw at the Park on Wednesday. Bob found at the Library on Wednesday. Alice found at the Library on Wednesday. Who was at the Library?,Bob,Alice,0,0,0.0,1,1,0,0,79.66054700045788,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Alice saw at the Library on Tuesday. Dave found at the Cafe on Monday. Alice saw at the Library on Monday. Carol found at the Cafe on Tuesday. Alice helped at the Library on Wednesday. Dave helped at the Library on Wednesday. When was Alice at the Library?,Wednesday,Monday,0,0,0.0,1,1,0,0,79.97449899994535,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carol met at the Cafe on Monday. Bob helped at the Park on Monday. Bob saw at the Library on Tuesday. Alice saw at the Park on Wednesday. Alice saw at the Park on Thursday. Carol found at the Park on Monday. When was Alice at the Park?,Thursday,Wednesday,0,0,0.0,1,1,0,0,83.59515499978443,,,,,209.56454424025978,2314.33203125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
