idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol bought a apple at StoreB. StoreB is in Berlin. In which city did Carol buy the apple?,Berlin,Berlin.,,,,1,1,0,1,103.14110200010873,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
1,Carol bought a ball at StoreB. StoreB is in London. In which city did Carol buy the ball?,London,London,,,,1,1,0,0,77.94138400004158,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol bought a book at StoreB. StoreB is in Berlin. In which city did Carol buy the book?,Berlin,Berlin,,,,1,1,0,0,77.60385300002781,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
3,Alice bought a ball at StoreB. StoreB is in Berlin. In which city did Alice buy the ball?,Berlin,Berlin,,,,1,1,0,0,77.46677300019655,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
4,Carol bought a book at StoreB. StoreB is in Paris. In which city did Carol buy the book?,Paris,Paris.,,,,1,1,0,1,103.13764199986508,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
5,Dave bought a apple at StoreA. StoreA is in Rome. In which city did Dave buy the apple?,Rome,Rome,,,,1,1,0,0,102.0905989998937,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
6,Dave bought a ball at StoreA. StoreA is in Paris. In which city did Dave buy the ball?,Paris,Paris,,,,1,1,0,0,78.22510500000135,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
7,Alice bought a book at StoreB. StoreB is in Paris. In which city did Alice buy the book?,Paris,Paris,,,,1,1,0,0,77.85617500007902,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
8,Alice bought a apple at StoreA. StoreA is in Paris. In which city did Alice buy the apple?,Paris,Paris,,,,1,1,0,0,78.66274699995301,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
9,Carol bought a apple at StoreB. StoreB is in Rome. In which city did Carol buy the apple?,Rome,Rome,,,,1,1,0,0,103.27763300006154,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
10,Alice bought a ball at StoreB. StoreB is in London. In which city did Alice buy the ball?,London,London,,,,1,1,0,0,78.55261700001392,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
11,Alice bought a ball at StoreA. StoreA is in London. In which city did Alice buy the ball?,London,London.,,,,1,1,0,1,103.77890500012654,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
12,Bob bought a book at StoreC. StoreC is in Berlin. In which city did Bob buy the book?,Berlin,Berlin.,,,,1,1,0,1,103.27878299995064,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
13,Dave bought a book at StoreC. StoreC is in Berlin. In which city did Dave buy the book?,Berlin,Berlin,,,,1,1,0,0,77.45378300000993,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
14,Carol bought a ball at StoreB. StoreB is in Paris. In which city did Carol buy the ball?,Paris,Paris,,,,1,1,0,0,78.11984499994651,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
15,Bob bought a book at StoreA. StoreA is in Rome. In which city did Bob buy the book?,Rome,Rome,,,,1,1,0,0,103.54834500003562,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
16,Alice bought a apple at StoreB. StoreB is in Rome. In which city did Alice buy the apple?,Rome,Rome.,,,,1,1,0,1,128.84413300002961,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
17,Alice bought a apple at StoreB. StoreB is in Rome. In which city did Alice buy the apple?,Rome,Rome,,,,1,1,0,0,102.8730519999499,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
18,Alice bought a coin at StoreB. StoreB is in London. In which city did Alice buy the coin?,London,London,,,,1,1,0,0,77.94782399992073,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
19,Alice bought a coin at StoreB. StoreB is in Berlin. In which city did Alice buy the coin?,Berlin,Berlin.,,,,1,1,0,1,102.92287200013561,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
20,Alice bought a apple at StoreB. StoreB is in Rome. In which city did Alice buy the apple?,Rome,Rome,,,,1,1,0,0,101.62042599995402,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
21,Bob bought a apple at StoreA. StoreA is in Berlin. In which city did Bob buy the apple?,Berlin,Berlin.,,,,1,1,0,1,104.65634899992438,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
22,Dave bought a coin at StoreC. StoreC is in Rome. In which city did Dave buy the coin?,Rome,Rome,,,,1,1,0,0,104.43242800010921,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
23,Bob bought a apple at StoreC. StoreC is in Rome. In which city did Bob buy the apple?,Rome,Rome.,,,,1,1,0,1,127.18423699993764,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
24,Dave bought a apple at StoreC. StoreC is in Berlin. In which city did Dave buy the apple?,Berlin,Berlin,,,,1,1,0,0,78.36501599990697,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
25,Bob bought a coin at StoreC. StoreC is in Rome. In which city did Bob buy the coin?,Rome,Rome.,,,,1,1,0,1,128.41981199994734,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
26,Alice bought a book at StoreC. StoreC is in London. In which city did Alice buy the book?,London,London,,,,1,1,0,0,78.43013600017912,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
27,Dave bought a ball at StoreC. StoreC is in Rome. In which city did Dave buy the ball?,Rome,Rome,,,,1,1,0,0,103.36793400006172,,,,,pre_replay,False,0.4426331599961486,1.0,50,50,50,50,0.111511080008313,0.0,0,50,50,50,0.06379524000294623,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
