idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,memory_hit,retrieval_latency_ms,router_path,topk_keys,distance,justification,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.attempts,gating.episodic.skipped,gating.relational.accepted,gating.relational.attempts,gating.relational.skipped,gating.spatial.accepted,gating.spatial.attempts,gating.spatial.skipped
0,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (3, 4) goal (1, 4). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",LL,UDRLDRULRDLLURRDDRUDDLUURDRCUDDLRUCRDRCRCCRRCC,0,0,0.0,1,1,0,0,669.428479999624,0,0.0,,,,,False,39,2,19.5,1411.2711353871196,2727.3984375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (4, 0). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UUUU,UDRLRDRLURRDDLLRDRCRRULURDDRUURDRLDRURRDDLUURUURURRDDRLDDRDCR,0,0,0.0,1,1,0,0,833.8376700012304,0,0.0,,,,,False,59,4,14.75,1411.2711353871196,2727.3984375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 5) goal (5, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UURU,RLRDLLURDRDRLRUDDRCUURRDDRCRULDRUCRDRCUURRDDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCRUDRCRULDRCR,0,0,0.0,1,1,0,0,6652.829151000333,0,0.0,,,,,False,389,4,97.25,1411.2711353871196,2727.3984375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (4, 0). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UUUU,URUULRDLLRDDRLDDR,0,0,0.0,1,1,0,0,274.22646099876147,0,0.0,,,,,False,17,4,4.25,1411.2711353871196,2727.3984375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 1) goal (4, 4). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",DDD,RLRDLLRDDRLRURRLDRD,0,0,0.0,1,1,0,0,324.450419000641,0,0.0,,,,,False,19,3,6.333333333333333,1411.2711353871196,2727.3984375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (2, 0) goal (4, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RRDD,RLDRULURRDDLUDDRLRDRCUUCRRDRCR,0,0,0.0,1,1,0,0,495.1256310014287,0,0.0,,,,,False,27,4,6.75,1411.2711353871196,2727.3984375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (3, 0) goal (4, 3). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RDDD,URDDLURRDDULRUDDRLRDRCRCCRCRCCRRCCRCRCCRRCCC,0,0,0.0,1,1,0,0,671.8590370001039,0,0.0,,,,,False,30,4,7.5,1411.2711353871196,2727.3984375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (2, 0) goal (4, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RRDD,RLURDRULRUDDLUDDLRCUDDLCUDDLCRRDRCRDRCRDRCRUCUDDLCRRDRCRDRCRDRCRUCUDDLCRRDRCRDRCRDRCRUCUDDLCRRDRCRDRCRDRCRUCUDDLCRRDRCRDRCRDRCRUCUDDLCRRDRCRDRCRDRCRUCUDDLCRRDRCRDRCRDRCRUCUDDLCRRDRCRDRCRDRCRUCUDDLCRRDRCRDRCRDRCRUCUDDLCRRDRCRDRCRDRCRUCUDDLCRRDRCRDRCRDRCRUCUDDLCRRDRCRDRCRDRCRUCUDDLCRRDRCRDRCRDRCRUCUDDLCRRDRCRDRCRDRCRUCUDDLCRRDRCRDRCRDRCRUCUDDLCRRDRCRDRCRDRCRUCUDDLCRRDRCRDRCRDRCRUCUDDLCRRDRCRDRCRDRCRUCUDDLCRRDRCRDRCRDRCRUCUDDLCRRDRCRDRCRDRCRUCUDDLCRR,0,0,0.0,1,1,0,0,6863.350744002673,0,0.0,,,,,False,348,4,87.0,1411.2711353871196,2727.3984375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (5, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",URU,RLDRULURDLURUDRLRDRCR,0,0,0.0,1,1,0,0,363.97389299963834,0,0.0,,,,,False,20,3,6.666666666666667,1411.2711353871196,2727.3984375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (1, 1) goal (0, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",LD,UDRLURDLRDULLDRUDDLUULRDRCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRUDDLCMLRDRCMLRU,0,0,0.0,1,1,0,0,6840.266489001806,0,0.0,,,,,False,372,2,186.0,1411.2711353871196,2727.3984375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
