idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.episodic.accepts,gates.episodic.aggregated,gates.episodic.attempts,gates.episodic.blocked_new_edges,gates.episodic.inserted,gates.episodic.routed_to_episodic,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,"Carol likes blue. Actually, Carol likes green. What color does Carol like?",green,green,,,,1,1,0,0,82.83705400003782,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Dave likes green. Actually, Dave likes blue. What color does Dave like?",blue,blue,,,,1,1,0,0,82.0192890000726,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Dave likes blue. Actually, Dave likes yellow. What color does Dave like?",yellow,blue,,,,1,1,0,0,83.97938999996768,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Carol likes red. Actually, Carol likes green. What color does Carol like?",green,green,,,,1,1,0,0,83.82825900002899,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Dave likes red. Actually, Dave likes yellow. What color does Dave like?",yellow,yellow,,,,1,1,0,0,82.502771999998,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Carol likes yellow. Actually, Carol likes blue. What color does Carol like?",blue,blue,,,,1,1,0,0,83.79683899988777,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Carol likes red. Actually, Carol likes green. What color does Carol like?",green,green,,,,1,1,0,0,84.12966100013364,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Alice likes yellow. Actually, Alice likes red. What color does Alice like?",red,red,,,,1,1,0,0,83.53120700007821,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Bob likes green. Actually, Bob likes yellow. What color does Bob like?",yellow,yellow,,,,1,1,0,0,82.75032300002749,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Dave likes green. Actually, Dave likes red. What color does Dave like?",red,red,,,,1,1,0,0,83.74799900002472,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Alice likes red. Actually, Alice likes blue. What color does Alice like?",blue,blue,,,,1,1,0,0,84.06577999994624,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Dave likes red. Actually, Dave likes yellow. What color does Dave like?",yellow,yellow,,,,1,1,0,0,84.06765099994118,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Alice likes blue. Actually, Alice likes red. What color does Alice like?",red,red,,,,1,1,0,0,84.07134999993104,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Alice likes green. Actually, Alice likes red. What color does Alice like?",red,red,,,,1,1,0,0,84.62135399986437,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Dave likes green. Actually, Dave likes red. What color does Dave like?",red,red,,,,1,1,0,0,83.83573900005103,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Carol likes yellow. Actually, Carol likes green. What color does Carol like?",green,green,,,,1,1,0,0,84.56118300000526,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Bob likes red. Actually, Bob likes yellow. What color does Bob like?",yellow,yellow,,,,1,1,0,0,82.41835100011485,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"Carol likes blue. Actually, Carol likes yellow. What color does Carol like?",yellow,blue,,,,1,1,0,0,83.21486499994535,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Bob likes blue. Actually, Bob likes yellow. What color does Bob like?",yellow,blue,,,,1,1,0,0,84.62433399995462,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Alice likes yellow. Actually, Alice likes green. What color does Alice like?",green,green,,,,1,1,0,0,83.18915500012736,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Dave likes red. Actually, Dave likes yellow. What color does Dave like?",yellow,yellow,,,,1,1,0,0,81.96908900004019,,,,,pre_replay,False,0.5529841000043234,1.0,50,50,50,50,0.11938910000480973,0.0,0,50,50,50,0.0717648800173265,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
