idx,prompt,answer,pred,correct,latency_ms,flags,gating_enabled
0,Carol bought a apple at StoreB. StoreB is in Berlin. In which city did Carol buy the apple?,Berlin,Berlin,1,0.0,pre_replay,False
1,Carol bought a ball at StoreB. StoreB is in London. In which city did Carol buy the ball?,London,London,1,0.0,pre_replay,False
2,Carol bought a book at StoreB. StoreB is in Berlin. In which city did Carol buy the book?,Berlin,Berlin,1,0.0,pre_replay,False
3,Alice bought a ball at StoreB. StoreB is in Berlin. In which city did Alice buy the ball?,Berlin,Berlin,1,0.0,pre_replay,False
4,Carol bought a book at StoreB. StoreB is in Paris. In which city did Carol buy the book?,Paris,Paris,1,0.0,pre_replay,False
5,Dave bought a apple at StoreA. StoreA is in Rome. In which city did Dave buy the apple?,Rome,Rome,1,0.0,pre_replay,False
6,Dave bought a ball at StoreA. StoreA is in Paris. In which city did Dave buy the ball?,Paris,Paris,1,0.0,pre_replay,False
7,Alice bought a book at StoreB. StoreB is in Paris. In which city did Alice buy the book?,Paris,Paris,1,0.0,pre_replay,False
8,Alice bought a apple at StoreA. StoreA is in Paris. In which city did Alice buy the apple?,Paris,Paris,1,0.0,pre_replay,False
9,Carol bought a apple at StoreB. StoreB is in Rome. In which city did Carol buy the apple?,Rome,Rome,1,0.0,pre_replay,False
10,Alice bought a ball at StoreB. StoreB is in London. In which city did Alice buy the ball?,London,London,1,0.0,pre_replay,False
11,Alice bought a ball at StoreA. StoreA is in London. In which city did Alice buy the ball?,London,London,1,0.0,pre_replay,False
12,Bob bought a book at StoreC. StoreC is in Berlin. In which city did Bob buy the book?,Berlin,Berlin,1,0.0,pre_replay,False
13,Dave bought a book at StoreC. StoreC is in Berlin. In which city did Dave buy the book?,Berlin,Berlin,1,0.0,pre_replay,False
14,Carol bought a ball at StoreB. StoreB is in Paris. In which city did Carol buy the ball?,Paris,Paris,1,0.0,pre_replay,False
15,Bob bought a book at StoreA. StoreA is in Rome. In which city did Bob buy the book?,Rome,Rome,1,0.0,pre_replay,False
16,Alice bought a apple at StoreB. StoreB is in Rome. In which city did Alice buy the apple?,Rome,Rome,1,0.0,pre_replay,False
17,Alice bought a apple at StoreB. StoreB is in Rome. In which city did Alice buy the apple?,Rome,Rome,1,0.0,pre_replay,False
18,Alice bought a coin at StoreB. StoreB is in London. In which city did Alice buy the coin?,London,London,1,0.0,pre_replay,False
19,Alice bought a coin at StoreB. StoreB is in Berlin. In which city did Alice buy the coin?,Berlin,Berlin,1,0.0,pre_replay,False
20,Alice bought a apple at StoreB. StoreB is in Rome. In which city did Alice buy the apple?,Rome,Rome,1,0.0,pre_replay,False
21,Bob bought a apple at StoreA. StoreA is in Berlin. In which city did Bob buy the apple?,Berlin,Berlin,1,0.0,pre_replay,False
22,Dave bought a coin at StoreC. StoreC is in Rome. In which city did Dave buy the coin?,Rome,Rome,1,0.0,pre_replay,False
23,Bob bought a apple at StoreC. StoreC is in Rome. In which city did Bob buy the apple?,Rome,Rome,1,0.0,pre_replay,False
24,Dave bought a apple at StoreC. StoreC is in Berlin. In which city did Dave buy the apple?,Berlin,Berlin,1,0.0,pre_replay,False
25,Bob bought a coin at StoreC. StoreC is in Rome. In which city did Bob buy the coin?,Rome,Rome,1,0.0,pre_replay,False
26,Alice bought a book at StoreC. StoreC is in London. In which city did Alice buy the book?,London,London,1,0.0,pre_replay,False
27,Dave bought a ball at StoreC. StoreC is in Rome. In which city did Dave buy the ball?,Rome,Rome,1,0.0,pre_replay,False
28,Dave bought a ball at StoreA. StoreA is in Rome. In which city did Dave buy the ball?,Rome,Rome,1,0.0,pre_replay,False
29,Dave bought a coin at StoreC. StoreC is in Berlin. In which city did Dave buy the coin?,Berlin,Berlin,1,0.0,pre_replay,False
30,Bob bought a ball at StoreC. StoreC is in London. In which city did Bob buy the ball?,London,London,1,0.0,pre_replay,False
31,Dave bought a book at StoreB. StoreB is in Paris. In which city did Dave buy the book?,Paris,Paris,1,0.0,pre_replay,False
32,Carol bought a book at StoreB. StoreB is in Berlin. In which city did Carol buy the book?,Berlin,Berlin,1,0.0,pre_replay,False
33,Dave bought a apple at StoreA. StoreA is in Berlin. In which city did Dave buy the apple?,Berlin,Berlin,1,0.0,pre_replay,False
34,Bob bought a coin at StoreA. StoreA is in London. In which city did Bob buy the coin?,London,London,1,0.0,pre_replay,False
35,Carol bought a book at StoreB. StoreB is in London. In which city did Carol buy the book?,London,London,1,0.0,pre_replay,False
36,Carol bought a ball at StoreB. StoreB is in Paris. In which city did Carol buy the ball?,Paris,Paris,1,0.0,pre_replay,False
37,Bob bought a book at StoreC. StoreC is in Berlin. In which city did Bob buy the book?,Berlin,Berlin,1,0.0,pre_replay,False
38,Carol bought a book at StoreA. StoreA is in London. In which city did Carol buy the book?,London,London,1,0.0,pre_replay,False
39,Dave bought a book at StoreC. StoreC is in Berlin. In which city did Dave buy the book?,Berlin,Berlin,1,0.0,pre_replay,False
40,Dave bought a book at StoreA. StoreA is in London. In which city did Dave buy the book?,London,London,1,0.0,pre_replay,False
41,Bob bought a apple at StoreA. StoreA is in Paris. In which city did Bob buy the apple?,Paris,Paris,1,0.0,pre_replay,False
42,Dave bought a coin at StoreC. StoreC is in Berlin. In which city did Dave buy the coin?,Berlin,Berlin,1,0.0,pre_replay,False
