idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 0) goal (3, 4). What is the shortest path length?",7,10,0,0,0.0,1,1,0,0,435.0501999997505,False,10,7,1.4285714285714286,629.1845343571737,1795.9296875,pre_replay,False,0.507782180011418,1.0,50,50,50,50,0.10567670011369046,0.0,0,50,50,50,0.061224659912113566,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
1,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 0) to (3, 1)?",LD,"(4, 0) → (4, 1) → (4, 2) → (4, 3) → (4, 4) → (3, 4) → (3, 3) → (3, 2) → (3, 1)",0,0,0.0,26,1,1,0,1584.8390310002287,False,0,2,0.0,629.1845343571737,1795.9296875,pre_replay,False,0.507782180011418,1.0,50,50,50,50,0.10567670011369046,0.0,0,50,50,50,0.061224659912113566,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
2,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 1). After moves RLURR where do you end?","[2, 0]","(3, 3)",0,0,0.0,2,2,0,0,213.06424900012644,False,5,5,1.0,629.1845343571737,1795.9296875,pre_replay,False,0.507782180011418,1.0,50,50,50,50,0.10567670011369046,0.0,0,50,50,50,0.061224659912113566,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
3,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 3) goal (4, 1). What is the shortest path length?",4,7,0,0,0.0,1,1,0,0,89.50408500004414,False,7,4,1.75,629.1845343571737,1795.9296875,pre_replay,False,0.507782180011418,1.0,50,50,50,50,0.10567670011369046,0.0,0,50,50,50,0.061224659912113566,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
4,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 2) to (1, 4)?",DLLLD,"(4, 2) -> (4, 3) -> (4, 4) -> (4, 5) -> (3, 5) -> (2, 5) -> (1, 5) -> (1, 4)",0,0,0.0,23,1,1,0,1413.8212479992944,False,0,5,0.0,629.1845343571737,1795.9296875,pre_replay,False,0.507782180011418,1.0,50,50,50,50,0.10567670011369046,0.0,0,50,50,50,0.061224659912113566,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
5,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 1). After moves RUDUL where do you end?","[2, 0]","(2, 5)",0,0,0.0,2,2,0,0,218.0085969994252,False,5,5,1.0,629.1845343571737,1795.9296875,pre_replay,False,0.507782180011418,1.0,50,50,50,50,0.10567670011369046,0.0,0,50,50,50,0.061224659912113566,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
6,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 3) goal (4, 3). What is the shortest path length?",4,10,0,0,0.0,1,1,0,0,118.37947399999393,False,10,4,2.5,629.1845343571737,1795.9296875,pre_replay,False,0.507782180011418,1.0,50,50,50,50,0.10567670011369046,0.0,0,50,50,50,0.061224659912113566,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
7,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 0) to (3, 1)?",LD,"(4, 0) -> (4, 1) -> (4, 2) -> (4, 3) -> (4, 4) -> (4, 5) -> (3, 4) -> (3, 2) -> (3, 1)",0,0,0.0,26,1,1,0,1596.5504989999317,False,0,2,0.0,629.1845343571737,1795.9296875,pre_replay,False,0.507782180011418,1.0,50,50,50,50,0.10567670011369046,0.0,0,50,50,50,0.061224659912113566,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
8,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (4, 3). After moves DUDUU where do you end?","[4, 2]","(1, 3)",0,0,0.0,2,2,0,0,211.6956410000057,False,5,5,1.0,629.1845343571737,1795.9296875,pre_replay,False,0.507782180011418,1.0,50,50,50,50,0.10567670011369046,0.0,0,50,50,50,0.061224659912113566,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
9,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 0) goal (1, 3). What is the shortest path length?",4,7,0,0,0.0,1,1,0,0,89.95002699975885,False,7,4,1.75,629.1845343571737,1795.9296875,pre_replay,False,0.507782180011418,1.0,50,50,50,50,0.10567670011369046,0.0,0,50,50,50,0.061224659912113566,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
