idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.episodic.accepts,gates.episodic.aggregated,gates.episodic.attempts,gates.episodic.blocked_new_edges,gates.episodic.inserted,gates.episodic.routed_to_episodic,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol bought a apple at StoreB. StoreB is in Berlin. In which city did Carol buy the apple?,Berlin,Berlin.,0,1,0.0,1,1,0,1,423.8339180001276,,,,,183.5382818674838,1821.3046875,pre_replay,False,0.393546119939856,1.0,50,50,50,50,0.10166997999476735,0.0,0,50,50,50,0.05942136000157916,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Carol bought a ball at StoreB. StoreB is in London. In which city did Carol buy the ball?,London,London,1,1,1.0,1,1,0,0,74.11363899973367,,,,,183.5382818674838,1821.3046875,pre_replay,False,0.393546119939856,1.0,50,50,50,50,0.10166997999476735,0.0,0,50,50,50,0.05942136000157916,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol bought a book at StoreB. StoreB is in Berlin. In which city did Carol buy the book?,Berlin,Berlin,1,1,1.0,1,1,0,0,73.69258600010653,,,,,183.5382818674838,1821.3046875,pre_replay,False,0.393546119939856,1.0,50,50,50,50,0.10166997999476735,0.0,0,50,50,50,0.05942136000157916,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Alice bought a ball at StoreB. StoreB is in Berlin. In which city did Alice buy the ball?,Berlin,Berlin.,0,1,0.0,1,1,0,1,97.19334500005061,,,,,183.5382818674838,1821.3046875,pre_replay,False,0.393546119939856,1.0,50,50,50,50,0.10166997999476735,0.0,0,50,50,50,0.05942136000157916,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Carol bought a book at StoreB. StoreB is in Paris. In which city did Carol buy the book?,Paris,Paris.,0,1,0.0,1,1,0,1,97.3102559992185,,,,,183.5382818674838,1821.3046875,pre_replay,False,0.393546119939856,1.0,50,50,50,50,0.10166997999476735,0.0,0,50,50,50,0.05942136000157916,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Dave bought a apple at StoreA. StoreA is in Rome. In which city did Dave buy the apple?,Rome,Rome.,0,1,0.0,1,1,0,1,120.66539399984322,,,,,183.5382818674838,1821.3046875,pre_replay,False,0.393546119939856,1.0,50,50,50,50,0.10166997999476735,0.0,0,50,50,50,0.05942136000157916,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Dave bought a ball at StoreA. StoreA is in Paris. In which city did Dave buy the ball?,Paris,Paris,1,1,1.0,1,1,0,0,73.618575999717,,,,,183.5382818674838,1821.3046875,pre_replay,False,0.393546119939856,1.0,50,50,50,50,0.10166997999476735,0.0,0,50,50,50,0.05942136000157916,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Alice bought a book at StoreB. StoreB is in Paris. In which city did Alice buy the book?,Paris,Paris,1,1,1.0,1,1,0,0,73.30004400046164,,,,,183.5382818674838,1821.3046875,pre_replay,False,0.393546119939856,1.0,50,50,50,50,0.10166997999476735,0.0,0,50,50,50,0.05942136000157916,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Alice bought a apple at StoreA. StoreA is in Paris. In which city did Alice buy the apple?,Paris,Paris.,0,1,0.0,1,1,0,1,97.16800499973033,,,,,183.5382818674838,1821.3046875,pre_replay,False,0.393546119939856,1.0,50,50,50,50,0.10166997999476735,0.0,0,50,50,50,0.05942136000157916,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Carol bought a apple at StoreB. StoreB is in Rome. In which city did Carol buy the apple?,Rome,Rome.,0,1,0.0,1,1,0,1,120.35366199961572,,,,,183.5382818674838,1821.3046875,pre_replay,False,0.393546119939856,1.0,50,50,50,50,0.10166997999476735,0.0,0,50,50,50,0.05942136000157916,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Alice bought a ball at StoreB. StoreB is in London. In which city did Alice buy the ball?,London,London,1,1,1.0,1,1,0,0,73.6670160003996,,,,,183.5382818674838,1821.3046875,pre_replay,False,0.393546119939856,1.0,50,50,50,50,0.10166997999476735,0.0,0,50,50,50,0.05942136000157916,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Alice bought a ball at StoreA. StoreA is in London. In which city did Alice buy the ball?,London,London.,0,1,0.0,1,1,0,1,97.89159900083177,,,,,183.5382818674838,1821.3046875,pre_replay,False,0.393546119939856,1.0,50,50,50,50,0.10166997999476735,0.0,0,50,50,50,0.05942136000157916,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Bob bought a book at StoreC. StoreC is in Berlin. In which city did Bob buy the book?,Berlin,Berlin,1,1,1.0,1,1,0,0,73.66902600006142,,,,,183.5382818674838,1821.3046875,pre_replay,False,0.393546119939856,1.0,50,50,50,50,0.10166997999476735,0.0,0,50,50,50,0.05942136000157916,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Dave bought a book at StoreC. StoreC is in Berlin. In which city did Dave buy the book?,Berlin,Berlin,1,1,1.0,1,1,0,0,73.24424400030694,,,,,183.5382818674838,1821.3046875,pre_replay,False,0.393546119939856,1.0,50,50,50,50,0.10166997999476735,0.0,0,50,50,50,0.05942136000157916,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Carol bought a ball at StoreB. StoreB is in Paris. In which city did Carol buy the ball?,Paris,Paris,1,1,1.0,1,1,0,0,73.73446599922318,,,,,183.5382818674838,1821.3046875,pre_replay,False,0.393546119939856,1.0,50,50,50,50,0.10166997999476735,0.0,0,50,50,50,0.05942136000157916,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
