idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.aggregated,gating.episodic.attempts,gating.episodic.blocked,gating.episodic.blocked_new_edges,gating.episodic.inserted,gating.episodic.null_input,gating.episodic.routed_to_episodic,gating.episodic.skipped,gating.relational.accepted,gating.relational.aggregated,gating.relational.attempts,gating.relational.blocked,gating.relational.blocked_new_edges,gating.relational.inserted,gating.relational.null_input,gating.relational.routed_to_episodic,gating.relational.skipped,gating.spatial.accepted,gating.spatial.aggregated,gating.spatial.attempts,gating.spatial.blocked,gating.spatial.blocked_new_edges,gating.spatial.inserted,gating.spatial.null_input,gating.spatial.routed_to_episodic,gating.spatial.skipped
0,Frank walked to the Park earlier today. --- FLUSH --- Carol traveled to the Office this morning. Alice drove to the Office yesterday. Where did Frank go? Answer with the location name only.,Park,Park,1,1,1.0,1,1,0,0,90.56671900179936,,,,,155.20128099811865,2973.265625,pre_replay,True,0.48103576045832597,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Frank drove to the Cinema this morning. --- FLUSH --- Heidi journeyed to the Park yesterday. Where did Frank go? Answer with the location name only.,Cinema,Cinema,1,1,1.0,1,1,0,0,102.08423400035826,,,,,155.20128099811865,2973.265625,pre_replay,True,0.48103576045832597,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Heidi traveled to the Mall this morning. --- FLUSH --- Eve traveled to the Park in the evening. Alice journeyed to the Cinema in the evening. Where did Heidi go? Answer with the location name only.,Mall,Mall,1,1,1.0,1,1,0,0,116.91779899774701,,,,,155.20128099811865,2973.265625,pre_replay,True,0.48103576045832597,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Alice drove to the Library in the evening. --- FLUSH --- Grace traveled to the Cafe last week. Where did Alice go? Answer with the location name only.,Library,Library,1,1,1.0,1,1,0,0,76.04768600140233,,,,,155.20128099811865,2973.265625,pre_replay,True,0.48103576045832597,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bob traveled to the Office earlier today. --- FLUSH --- Alice journeyed to the Museum this morning. Eve traveled to the School in the evening. Where did Bob go? Answer with the location name only.,Office,Office,1,1,1.0,1,1,0,0,89.57803199882619,,,,,155.20128099811865,2973.265625,pre_replay,True,0.48103576045832597,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Alice traveled to the Office in the evening. --- FLUSH --- Frank journeyed to the School last week. Where did Alice go? Answer with the location name only.,Office,Office,1,1,1.0,1,1,0,0,76.41003699973226,,,,,155.20128099811865,2973.265625,pre_replay,True,0.48103576045832597,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Alice journeyed to the Museum earlier today. --- FLUSH --- Heidi drove to the Office in the evening. Where did Alice go? Answer with the location name only.,Museum,Museum,1,1,1.0,1,1,0,0,100.59457600073074,,,,,155.20128099811865,2973.265625,pre_replay,True,0.48103576045832597,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Frank walked to the Office yesterday. --- FLUSH --- Alice walked to the Library yesterday. Where did Frank go? Answer with the location name only.,Office,Office,1,1,1.0,1,1,0,0,78.4449590028089,,,,,155.20128099811865,2973.265625,pre_replay,True,0.48103576045832597,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Dave journeyed to the Museum this morning. --- FLUSH --- Frank drove to the Library this morning. Where did Dave go? Answer with the location name only.,Museum,Museum,1,1,1.0,1,1,0,0,102.2437860010541,,,,,155.20128099811865,2973.265625,pre_replay,True,0.48103576045832597,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Alice walked to the Cinema last week. --- FLUSH --- Grace walked to the Mall earlier today. Where did Alice go? Answer with the location name only.,Cinema,Cinema,1,1,1.0,1,1,0,0,102.80127799705951,,,,,155.20128099811865,2973.265625,pre_replay,True,0.48103576045832597,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
