idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.episodic.accepts,gates.episodic.aggregated,gates.episodic.attempts,gates.episodic.blocked_new_edges,gates.episodic.inserted,gates.episodic.routed_to_episodic,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,"Alice bought a coin at StoreA. StoreA is in Paris. However, others report StoreA is in Rome. Despite conflicting reports, in which city did Alice buy the coin?",Paris,Paris,,,,1,1,0,0,76.25999499941827,,,,,129.7186777948174,2305.36328125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Dave bought a apple at StoreA. StoreA is in Berlin. However, others report StoreA is in London. Despite conflicting reports, in which city did Dave buy the apple?",Berlin,Berlin,,,,1,1,0,0,76.694526999745,,,,,129.7186777948174,2305.36328125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Alice bought a book at StoreA. StoreA is in London. However, others report StoreA is in Rome. Despite conflicting reports, in which city did Alice buy the book?",London,London.,,,,1,1,0,1,102.10555200046656,,,,,129.7186777948174,2305.36328125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Alice bought a coin at StoreA. StoreA is in Paris. However, others report StoreA is in Berlin. Despite conflicting reports, in which city did Alice buy the coin?",Paris,Paris,,,,1,1,0,0,75.09017699976539,,,,,129.7186777948174,2305.36328125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Alice bought a apple at StoreA. StoreA is in Paris. However, others report StoreA is in Berlin. Despite conflicting reports, in which city did Alice buy the apple?",Paris,Paris,,,,1,1,0,0,79.12757200028864,,,,,129.7186777948174,2305.36328125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Bob bought a coin at StoreB. StoreB is in Rome. However, others report StoreB is in Berlin. Despite conflicting reports, in which city did Bob buy the coin?",Rome,Rome,,,,1,1,0,0,107.45467400010966,,,,,129.7186777948174,2305.36328125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Alice bought a book at StoreC. StoreC is in London. However, others report StoreC is in Paris. Despite conflicting reports, in which city did Alice buy the book?",London,London,,,,1,1,0,0,77.76361400010501,,,,,129.7186777948174,2305.36328125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Alice bought a apple at StoreC. StoreC is in Paris. However, others report StoreC is in London. Despite conflicting reports, in which city did Alice buy the apple?",Paris,Paris,,,,1,1,0,0,77.69628299956821,,,,,129.7186777948174,2305.36328125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Bob bought a ball at StoreA. StoreA is in Berlin. However, others report StoreA is in London. Despite conflicting reports, in which city did Bob buy the ball?",Berlin,Berlin,,,,1,1,0,0,78.49229800012836,,,,,129.7186777948174,2305.36328125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Dave bought a apple at StoreC. StoreC is in Rome. However, others report StoreC is in Berlin. Despite conflicting reports, in which city did Dave buy the apple?",Rome,Rome,,,,1,1,0,0,104.03025400046317,,,,,129.7186777948174,2305.36328125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Dave bought a coin at StoreB. StoreB is in Paris. However, others report StoreB is in Berlin. Despite conflicting reports, in which city did Dave buy the coin?",Paris,Paris,,,,1,1,0,0,78.94406099967455,,,,,129.7186777948174,2305.36328125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Dave bought a book at StoreB. StoreB is in London. However, others report StoreB is in Rome. Despite conflicting reports, in which city did Dave buy the book?",London,London,,,,1,1,0,0,75.82523200017022,,,,,129.7186777948174,2305.36328125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
