idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,time_ms_per_100,rss_mb,flags,gating_enabled
0,Dave saw at the Cafe on Thursday. When was Dave at the Cafe?,Thursday,Thursday,1,1,1.0,1,1,0,0,0.1239200000782148,0.06270337254653557,633.8125,pre_replay,False
1,Dave met at the Mall on Tuesday. What did Dave do?,met,met,1,1,1.0,1,1,0,0,0.009779999800230144,0.06270337254653557,633.8125,pre_replay,False
2,Alice met at the Library on Tuesday. What did Alice do?,met,met,1,1,1.0,1,1,0,0,0.007330000244110124,0.06270337254653557,633.8125,pre_replay,False
3,Bob saw at the Mall on Monday. Where was Bob?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.008770000022195745,0.06270337254653557,633.8125,pre_replay,False
4,Bob helped at the Park on Thursday. When was Bob at the Park?,Thursday,Thursday,1,1,1.0,1,1,0,0,0.007380000170087442,0.06270337254653557,633.8125,pre_replay,False
5,Bob helped at the Mall on Wednesday. When was Bob at the Mall?,Wednesday,Wednesday,1,1,1.0,1,1,0,0,0.007070000265230192,0.06270337254653557,633.8125,pre_replay,False
6,Dave helped at the Library on Tuesday. Where was Dave?,the Library,the Library,1,1,1.0,2,2,0,0,0.00777000013840734,0.06270337254653557,633.8125,pre_replay,False
7,Alice found at the Mall on Thursday. When was Alice at the Mall?,Thursday,Thursday,1,1,1.0,1,1,0,0,0.00934999980017892,0.06270337254653557,633.8125,pre_replay,False
8,Dave found at the Mall on Tuesday. What did Dave do?,found,found,1,1,1.0,1,1,0,0,0.006579999990208307,0.06270337254653557,633.8125,pre_replay,False
9,Dave met at the Park on Monday. What did Dave do?,met,met,1,1,1.0,1,1,0,0,0.011680999705276918,0.06270337254653557,633.8125,pre_replay,False
10,Alice found at the Library on Wednesday. When was Alice at the Library?,Wednesday,Wednesday,1,1,1.0,1,1,0,0,0.007020000339252874,0.06270337254653557,633.8125,pre_replay,False
11,Dave helped at the Library on Tuesday. When was Dave at the Library?,Tuesday,Tuesday,1,1,1.0,1,1,0,0,0.006570000095962314,0.06270337254653557,633.8125,pre_replay,False
12,Dave met at the Mall on Tuesday. When was Dave at the Mall?,Tuesday,Tuesday,1,1,1.0,1,1,0,0,0.006190000021888409,0.06270337254653557,633.8125,pre_replay,False
13,Bob met at the Cafe on Tuesday. Who was at the Cafe?,Bob,Bob,1,1,1.0,1,1,0,0,0.006140000095911091,0.06270337254653557,633.8125,pre_replay,False
14,Bob helped at the Park on Tuesday. Where was Bob?,the Park,the Park,1,1,1.0,2,2,0,0,0.00757000043449807,0.06270337254653557,633.8125,pre_replay,False
