idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol went to the Library. --- FLUSH --- Where did Carol go?,the Library,Library,,,,1,2,0,0,77.17779099994004,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
1,Carol went to the Mall. --- FLUSH --- Where did Carol go?,the Mall,Mall,,,,1,2,0,0,101.2228160000177,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol went to the Park. --- FLUSH --- Where did Carol go?,the Park,The Park.,,,,2,2,0,1,125.44375900006344,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
3,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,Library.,,,,1,2,0,1,101.05786500002978,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
4,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,,,,1,2,0,0,102.82642199990732,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
5,Dave went to the Mall. --- FLUSH --- Where did Dave go?,the Mall,Mall,,,,1,2,0,0,102.21892000004118,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
6,Alice went to the Park. --- FLUSH --- Where did Alice go?,the Park,The Park.,,,,2,2,0,1,130.314817999988,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
7,Dave went to the Mall. --- FLUSH --- Where did Dave go?,the Mall,Mall,,,,1,2,0,0,102.99503300007018,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
8,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,,,,1,2,0,0,103.15375300001506,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
9,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,,,,1,2,0,0,100.94919399989521,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
10,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,The Library.,,,,2,2,0,1,126.88526500005537,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
11,Bob went to the Park. --- FLUSH --- Where did Bob go?,the Park,Park.,,,,1,2,0,1,102.87275199993928,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
12,Dave went to the Park. --- FLUSH --- Where did Dave go?,the Park,The Park.,,,,2,2,0,1,125.95818199997666,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
13,Bob went to the Cafe. --- FLUSH --- Where did Bob go?,the Cafe,Cafe,,,,1,2,0,0,100.9677140000349,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
14,Alice went to the Cafe. --- FLUSH --- Where did Alice go?,the Cafe,Cafe.,,,,1,2,0,1,126.27830299993548,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
15,Dave went to the Cafe. --- FLUSH --- Where did Dave go?,the Cafe,Cafe,,,,1,2,0,0,101.0981049998918,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
16,Alice went to the Library. --- FLUSH --- Where did Alice go?,the Library,Library.,,,,1,2,0,1,103.18023299987544,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
17,Bob went to the Cafe. --- FLUSH --- Where did Bob go?,the Cafe,Cafe,,,,1,2,0,0,101.7227869999715,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
18,Carol went to the Library. --- FLUSH --- Where did Carol go?,the Library,Library.,,,,1,2,0,1,102.00662800002647,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
19,Dave went to the Park. --- FLUSH --- Where did Dave go?,the Park,Park.,,,,1,2,0,1,101.49638699999741,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
20,Alice went to the Park. --- FLUSH --- Where did Alice go?,the Park,The Park.,,,,2,2,0,1,128.04852999988725,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
21,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,Library.,,,,1,2,0,1,103.96760599996924,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
22,Alice went to the Park. --- FLUSH --- Where did Alice go?,the Park,The Park.,,,,2,2,0,1,127.15576699997655,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
23,Bob went to the Library. --- FLUSH --- Where did Bob go?,the Library,Library.,,,,1,2,0,1,103.4200139999939,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
24,Bob went to the Cafe. --- FLUSH --- Where did Bob go?,the Cafe,Cafe,,,,1,2,0,0,101.70857699995395,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
25,Dave went to the Mall. --- FLUSH --- Where did Dave go?,the Mall,Mall.,,,,1,2,0,1,126.63650400008919,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
26,Alice went to the Mall. --- FLUSH --- Where did Alice go?,the Mall,The Mall.,,,,2,2,0,1,125.66343100002086,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
27,Carol went to the Park. --- FLUSH --- Where did Carol go?,the Park,The Park.,,,,2,2,0,1,126.84566500001893,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
28,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,,,,1,2,0,0,101.4873770000122,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
29,Bob went to the Cafe. --- FLUSH --- Where did Bob go?,the Cafe,Cafe,,,,1,2,0,0,102.92380200007756,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
30,Bob went to the Park. --- FLUSH --- Where did Bob go?,the Park,Park,,,,1,2,0,0,76.55176899993421,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
31,Alice went to the Library. --- FLUSH --- Where did Alice go?,the Library,The Library.,,,,2,2,0,1,125.83738200009975,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
32,Dave went to the Park. --- FLUSH --- Where did Dave go?,the Park,The Park.,,,,2,2,0,1,126.59254400000464,,,,,pre_replay,False,0.4308120399946347,1.0,50,50,50,50,0.11276410000391479,0.0,0,50,50,50,0.06404971999018017,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
