idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol bought a apple at StoreB. StoreB is in Berlin. In which city did Carol buy the apple?,Berlin,Berlin,,,,1,1,0,0,78.43675600008737,,,,,pre_replay,False,0.44894816000123683,1.0,50,50,50,50,0.10859998000569249,0.0,0,50,50,50,0.06328765999796815,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
1,Carol bought a ball at StoreB. StoreB is in London. In which city did Carol buy the ball?,London,London,,,,1,1,0,0,77.53648300001714,,,,,pre_replay,False,0.44894816000123683,1.0,50,50,50,50,0.10859998000569249,0.0,0,50,50,50,0.06328765999796815,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol bought a book at StoreB. StoreB is in Berlin. In which city did Carol buy the book?,Berlin,Berlin,,,,1,1,0,0,78.60271699996701,,,,,pre_replay,False,0.44894816000123683,1.0,50,50,50,50,0.10859998000569249,0.0,0,50,50,50,0.06328765999796815,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
3,Alice bought a ball at StoreB. StoreB is in Berlin. In which city did Alice buy the ball?,Berlin,Berlin.,,,,1,1,0,1,102.90981200000715,,,,,pre_replay,False,0.44894816000123683,1.0,50,50,50,50,0.10859998000569249,0.0,0,50,50,50,0.06328765999796815,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
4,Carol bought a book at StoreB. StoreB is in Paris. In which city did Carol buy the book?,Paris,Paris,,,,1,1,0,0,77.12134100006551,,,,,pre_replay,False,0.44894816000123683,1.0,50,50,50,50,0.10859998000569249,0.0,0,50,50,50,0.06328765999796815,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
5,Dave bought a apple at StoreA. StoreA is in Rome. In which city did Dave buy the apple?,Rome,Rome,,,,1,1,0,0,103.10598299997764,,,,,pre_replay,False,0.44894816000123683,1.0,50,50,50,50,0.10859998000569249,0.0,0,50,50,50,0.06328765999796815,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
6,Dave bought a ball at StoreA. StoreA is in Paris. In which city did Dave buy the ball?,Paris,Paris,,,,1,1,0,0,78.49479599997267,,,,,pre_replay,False,0.44894816000123683,1.0,50,50,50,50,0.10859998000569249,0.0,0,50,50,50,0.06328765999796815,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
7,Alice bought a book at StoreB. StoreB is in Paris. In which city did Alice buy the book?,Paris,Paris,,,,1,1,0,0,79.39264999993156,,,,,pre_replay,False,0.44894816000123683,1.0,50,50,50,50,0.10859998000569249,0.0,0,50,50,50,0.06328765999796815,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
8,Alice bought a apple at StoreA. StoreA is in Paris. In which city did Alice buy the apple?,Paris,Paris,,,,1,1,0,0,78.18934600004468,,,,,pre_replay,False,0.44894816000123683,1.0,50,50,50,50,0.10859998000569249,0.0,0,50,50,50,0.06328765999796815,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
9,Carol bought a apple at StoreB. StoreB is in Rome. In which city did Carol buy the apple?,Rome,Rome,,,,1,1,0,0,102.81519099999059,,,,,pre_replay,False,0.44894816000123683,1.0,50,50,50,50,0.10859998000569249,0.0,0,50,50,50,0.06328765999796815,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
