idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.episodic.accepts,gates.episodic.aggregated,gates.episodic.attempts,gates.episodic.blocked_new_edges,gates.episodic.inserted,gates.episodic.routed_to_episodic,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol bought a apple at StoreB. StoreB is in Berlin. In which city did Carol buy the apple?,Berlin,Berlin,,,,1,1,0,0,85.69679600009295,,,,,pre_replay,False,0.5146730599926741,1.0,50,50,50,50,0.11313828001220827,0.0,0,50,50,50,0.06595881999601261,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Carol bought a ball at StoreB. StoreB is in London. In which city did Carol buy the ball?,London,London.,,,,1,1,0,1,112.40113500002735,,,,,pre_replay,False,0.5146730599926741,1.0,50,50,50,50,0.11313828001220827,0.0,0,50,50,50,0.06595881999601261,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol bought a book at StoreB. StoreB is in Berlin. In which city did Carol buy the book?,Berlin,Berlin,,,,1,1,0,0,85.00733300002139,,,,,pre_replay,False,0.5146730599926741,1.0,50,50,50,50,0.11313828001220827,0.0,0,50,50,50,0.06595881999601261,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Alice bought a ball at StoreB. StoreB is in Berlin. In which city did Alice buy the ball?,Berlin,Berlin.,,,,1,1,0,1,109.86728100010623,,,,,pre_replay,False,0.5146730599926741,1.0,50,50,50,50,0.11313828001220827,0.0,0,50,50,50,0.06595881999601261,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Carol bought a book at StoreB. StoreB is in Paris. In which city did Carol buy the book?,Paris,Paris.,,,,1,1,0,1,111.90233199999966,,,,,pre_replay,False,0.5146730599926741,1.0,50,50,50,50,0.11313828001220827,0.0,0,50,50,50,0.06595881999601261,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Dave bought a apple at StoreA. StoreA is in Rome. In which city did Dave buy the apple?,Rome,Rome.,,,,1,1,0,1,137.4835340000118,,,,,pre_replay,False,0.5146730599926741,1.0,50,50,50,50,0.11313828001220827,0.0,0,50,50,50,0.06595881999601261,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Dave bought a ball at StoreA. StoreA is in Paris. In which city did Dave buy the ball?,Paris,Paris,,,,1,1,0,0,84.00051700004951,,,,,pre_replay,False,0.5146730599926741,1.0,50,50,50,50,0.11313828001220827,0.0,0,50,50,50,0.06595881999601261,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Alice bought a book at StoreB. StoreB is in Paris. In which city did Alice buy the book?,Paris,Paris.,,,,1,1,0,1,114.0871039999638,,,,,pre_replay,False,0.5146730599926741,1.0,50,50,50,50,0.11313828001220827,0.0,0,50,50,50,0.06595881999601261,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Alice bought a apple at StoreA. StoreA is in Paris. In which city did Alice buy the apple?,Paris,Paris,,,,1,1,0,0,86.08375800008616,,,,,pre_replay,False,0.5146730599926741,1.0,50,50,50,50,0.11313828001220827,0.0,0,50,50,50,0.06595881999601261,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Carol bought a apple at StoreB. StoreB is in Rome. In which city did Carol buy the apple?,Rome,Rome.,,,,1,1,0,1,141.43171599994275,,,,,pre_replay,False,0.5146730599926741,1.0,50,50,50,50,0.11313828001220827,0.0,0,50,50,50,0.06595881999601261,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Alice bought a ball at StoreB. StoreB is in London. In which city did Alice buy the ball?,London,London.,,,,1,1,0,1,113.19154900002104,,,,,pre_replay,False,0.5146730599926741,1.0,50,50,50,50,0.11313828001220827,0.0,0,50,50,50,0.06595881999601261,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Alice bought a ball at StoreA. StoreA is in London. In which city did Alice buy the ball?,London,London.,,,,1,1,0,1,112.91904800009434,,,,,pre_replay,False,0.5146730599926741,1.0,50,50,50,50,0.11313828001220827,0.0,0,50,50,50,0.06595881999601261,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Bob bought a book at StoreC. StoreC is in Berlin. In which city did Bob buy the book?,Berlin,Berlin.,,,,1,1,0,1,113.73885200009681,,,,,pre_replay,False,0.5146730599926741,1.0,50,50,50,50,0.11313828001220827,0.0,0,50,50,50,0.06595881999601261,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
