idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,time_ms_per_100,rss_mb,flags,gating_enabled
0,Carol saw at the Park on Thursday. Where was Carol?,the Park,the Park,1,1,1.0,2,2,0,0,0.12572999958138098,0.06439877081316148,633.67578125,pre_replay,False
1,Bob helped at the Cafe on Thursday. When was Bob at the Cafe?,Thursday,Thursday,1,1,1.0,1,1,0,0,0.010739999652287224,0.06439877081316148,633.67578125,pre_replay,False
2,Carol found at the Mall on Wednesday. Who was at the Mall?,Carol,Carol,1,1,1.0,1,1,0,0,0.007730000106676016,0.06439877081316148,633.67578125,pre_replay,False
3,Dave saw at the Library on Wednesday. When was Dave at the Library?,Wednesday,Wednesday,1,1,1.0,1,1,0,0,0.007269999969139462,0.06439877081316148,633.67578125,pre_replay,False
4,Alice met at the Cafe on Thursday. Who was at the Cafe?,Alice,Alice,1,1,1.0,1,1,0,0,0.006820000180596253,0.06439877081316148,633.67578125,pre_replay,False
5,Bob met at the Park on Tuesday. When was Bob at the Park?,Tuesday,Tuesday,1,1,1.0,1,1,0,0,0.007109999842214165,0.06439877081316148,633.67578125,pre_replay,False
6,Carol met at the Park on Thursday. What did Carol do?,met,met,1,1,1.0,1,1,0,0,0.006720000328641618,0.06439877081316148,633.67578125,pre_replay,False
7,Carol saw at the Library on Tuesday. Who was at the Library?,Carol,Carol,1,1,1.0,1,1,0,0,0.006570000095962314,0.06439877081316148,633.67578125,pre_replay,False
8,Dave met at the Mall on Wednesday. Where was Dave?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.008089999937510584,0.06439877081316148,633.67578125,pre_replay,False
9,Alice saw at the Park on Monday. What did Alice do?,saw,saw,1,1,1.0,1,1,0,0,0.006880999990244163,0.06439877081316148,633.67578125,pre_replay,False
10,Carol met at the Library on Thursday. Where was Carol?,the Library,the Library,1,1,1.0,2,2,0,0,0.00777000013840734,0.06439877081316148,633.67578125,pre_replay,False
11,Alice found at the Park on Tuesday. Who was at the Park?,Alice,Alice,1,1,1.0,1,1,0,0,0.006860000212327577,0.06439877081316148,633.67578125,pre_replay,False
12,Alice saw at the Park on Wednesday. What did Alice do?,saw,saw,1,1,1.0,1,1,0,0,0.00653000006423099,0.06439877081316148,633.67578125,pre_replay,False
13,Dave helped at the Library on Tuesday. Where was Dave?,the Library,the Library,1,1,1.0,2,2,0,0,0.007300000106624793,0.06439877081316148,633.67578125,pre_replay,False
14,Dave saw at the Mall on Wednesday. Who was at the Mall?,Dave,Dave,1,1,1.0,1,1,0,0,0.009540000064589549,0.06439877081316148,633.67578125,pre_replay,False
15,Dave helped at the Park on Thursday. Where was Dave?,the Park,the Park,1,1,1.0,2,2,0,0,0.007509999704780057,0.06439877081316148,633.67578125,pre_replay,False
16,Dave found at the Mall on Tuesday. Where was Dave?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.007040000127744861,0.06439877081316148,633.67578125,pre_replay,False
17,Alice found at the Cafe on Wednesday. Who was at the Cafe?,Alice,Alice,1,1,1.0,1,1,0,0,0.04961000013281591,0.06439877081316148,633.67578125,pre_replay,False
