idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol went to the Library. --- FLUSH --- Where did Carol go?,the Library,Library.,0,1,0.0,1,2,0,1,99.4331889996829,,,,,248.4017906799337,3781.7890625,pre_replay,False,0.4364692000672221,1.0,50,50,50,50,0.11035634015570395,0.0,0,50,50,50,0.06446458020946011,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
1,Carol went to the Mall. --- FLUSH --- Where did Carol go?,the Mall,Mall,0,1,0.6666666666666666,1,2,0,0,100.66245800044271,,,,,248.4017906799337,3781.7890625,pre_replay,False,0.4364692000672221,1.0,50,50,50,50,0.11035634015570395,0.0,0,50,50,50,0.06446458020946011,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol went to the Park. --- FLUSH --- Where did Carol go?,the Park,The Park.,0,1,0.0,2,2,0,1,122.7799309999682,,,,,248.4017906799337,3781.7890625,pre_replay,False,0.4364692000672221,1.0,50,50,50,50,0.11035634015570395,0.0,0,50,50,50,0.06446458020946011,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
3,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,The Library.,0,1,0.0,2,2,0,1,123.49125500259106,,,,,248.4017906799337,3781.7890625,pre_replay,False,0.4364692000672221,1.0,50,50,50,50,0.11035634015570395,0.0,0,50,50,50,0.06446458020946011,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
4,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,0,1,0.6666666666666666,1,2,0,0,97.82395799993537,,,,,248.4017906799337,3781.7890625,pre_replay,False,0.4364692000672221,1.0,50,50,50,50,0.11035634015570395,0.0,0,50,50,50,0.06446458020946011,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
5,Dave went to the Mall. --- FLUSH --- Where did Dave go?,the Mall,The Mall.,0,1,0.0,2,2,0,1,124.13441999888164,,,,,248.4017906799337,3781.7890625,pre_replay,False,0.4364692000672221,1.0,50,50,50,50,0.11035634015570395,0.0,0,50,50,50,0.06446458020946011,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
6,Alice went to the Park. --- FLUSH --- Where did Alice go?,the Park,The Park.,0,1,0.0,2,2,0,1,124.12772000243422,,,,,248.4017906799337,3781.7890625,pre_replay,False,0.4364692000672221,1.0,50,50,50,50,0.11035634015570395,0.0,0,50,50,50,0.06446458020946011,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
7,Dave went to the Mall. --- FLUSH --- Where did Dave go?,the Mall,Mall,0,1,0.6666666666666666,1,2,0,0,97.86484799769823,,,,,248.4017906799337,3781.7890625,pre_replay,False,0.4364692000672221,1.0,50,50,50,50,0.11035634015570395,0.0,0,50,50,50,0.06446458020946011,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
8,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,0,1,0.6666666666666666,1,2,0,0,98.21978000036324,,,,,248.4017906799337,3781.7890625,pre_replay,False,0.4364692000672221,1.0,50,50,50,50,0.11035634015570395,0.0,0,50,50,50,0.06446458020946011,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
9,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,0,1,0.6666666666666666,1,2,0,0,98.941524996917,,,,,248.4017906799337,3781.7890625,pre_replay,False,0.4364692000672221,1.0,50,50,50,50,0.11035634015570395,0.0,0,50,50,50,0.06446458020946011,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
10,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,The Library.,0,1,0.0,2,2,0,1,124.12385000061477,,,,,248.4017906799337,3781.7890625,pre_replay,False,0.4364692000672221,1.0,50,50,50,50,0.11035634015570395,0.0,0,50,50,50,0.06446458020946011,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
11,Bob went to the Park. --- FLUSH --- Where did Bob go?,the Park,The Park.,0,1,0.0,2,2,0,1,122.99082199751865,,,,,248.4017906799337,3781.7890625,pre_replay,False,0.4364692000672221,1.0,50,50,50,50,0.11035634015570395,0.0,0,50,50,50,0.06446458020946011,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
12,Dave went to the Park. --- FLUSH --- Where did Dave go?,the Park,The Park.,0,1,0.0,2,2,0,1,124.54192299992428,,,,,248.4017906799337,3781.7890625,pre_replay,False,0.4364692000672221,1.0,50,50,50,50,0.11035634015570395,0.0,0,50,50,50,0.06446458020946011,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
