idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.episodic.accepts,gates.episodic.aggregated,gates.episodic.attempts,gates.episodic.blocked_new_edges,gates.episodic.inserted,gates.episodic.routed_to_episodic,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol saw at the Park on Thursday. Where was Carol?,the Park,Park,0,1,0.6666666666666666,1,2,0,0,374.9635609992765,,,,,307.28628557075496,1782.78515625,pre_replay,False,0.41664311995191383,1.0,50,50,50,50,0.1031005400363938,0.0,0,50,50,50,0.059851919977518264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Bob helped at the Cafe on Thursday. When was Bob at the Cafe?,Thursday,Thursday.,0,1,0.0,1,1,0,1,95.81185800016101,,,,,307.28628557075496,1782.78515625,pre_replay,False,0.41664311995191383,1.0,50,50,50,50,0.1031005400363938,0.0,0,50,50,50,0.059851919977518264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol found at the Mall on Wednesday. Who was at the Mall?,Carol,Carol,1,1,1.0,1,1,0,0,72.3485280004752,,,,,307.28628557075496,1782.78515625,pre_replay,False,0.41664311995191383,1.0,50,50,50,50,0.1031005400363938,0.0,0,50,50,50,0.059851919977518264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Dave saw at the Library on Wednesday. When was Dave at the Library?,Wednesday,Wednesday.,0,1,0.0,1,1,0,1,95.77093799998693,,,,,307.28628557075496,1782.78515625,pre_replay,False,0.41664311995191383,1.0,50,50,50,50,0.1031005400363938,0.0,0,50,50,50,0.059851919977518264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Alice met at the Cafe on Thursday. Who was at the Cafe?,Alice,Alice was at the Cafe.,0,0,0.33333333333333337,5,1,1,1,188.24739499996213,,,,,307.28628557075496,1782.78515625,pre_replay,False,0.41664311995191383,1.0,50,50,50,50,0.1031005400363938,0.0,0,50,50,50,0.059851919977518264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Bob met at the Park on Tuesday. When was Bob at the Park?,Tuesday,Tuesday.,0,1,0.0,1,1,0,1,94.9324319999505,,,,,307.28628557075496,1782.78515625,pre_replay,False,0.41664311995191383,1.0,50,50,50,50,0.1031005400363938,0.0,0,50,50,50,0.059851919977518264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Carol met at the Park on Thursday. What did Carol do?,met,met at the Park,0,0,0.4,4,1,1,0,141.21541700023954,,,,,307.28628557075496,1782.78515625,pre_replay,False,0.41664311995191383,1.0,50,50,50,50,0.1031005400363938,0.0,0,50,50,50,0.059851919977518264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Carol saw at the Library on Tuesday. Who was at the Library?,Carol,Carol was at the Library.,0,0,0.33333333333333337,5,1,1,1,188.34686599984707,,,,,307.28628557075496,1782.78515625,pre_replay,False,0.41664311995191383,1.0,50,50,50,50,0.1031005400363938,0.0,0,50,50,50,0.059851919977518264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Dave met at the Mall on Wednesday. Where was Dave?,the Mall,Mall.,0,1,0.0,1,2,0,1,118.25009000040154,,,,,307.28628557075496,1782.78515625,pre_replay,False,0.41664311995191383,1.0,50,50,50,50,0.1031005400363938,0.0,0,50,50,50,0.059851919977518264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Alice saw at the Park on Monday. What did Alice do?,saw,saw at the park,0,0,0.4,4,1,1,0,165.53828099949897,,,,,307.28628557075496,1782.78515625,pre_replay,False,0.41664311995191383,1.0,50,50,50,50,0.1031005400363938,0.0,0,50,50,50,0.059851919977518264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Carol met at the Library on Thursday. Where was Carol?,the Library,Library,0,1,0.6666666666666666,1,2,0,0,71.60639399990032,,,,,307.28628557075496,1782.78515625,pre_replay,False,0.41664311995191383,1.0,50,50,50,50,0.1031005400363938,0.0,0,50,50,50,0.059851919977518264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Alice found at the Park on Tuesday. Who was at the Park?,Alice,Alice,1,1,1.0,1,1,0,0,71.33255299959274,,,,,307.28628557075496,1782.78515625,pre_replay,False,0.41664311995191383,1.0,50,50,50,50,0.1031005400363938,0.0,0,50,50,50,0.059851919977518264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Alice saw at the Park on Wednesday. What did Alice do?,saw,Saw at the Park.,0,0,0.0,4,1,1,1,188.3813860004011,,,,,307.28628557075496,1782.78515625,pre_replay,False,0.41664311995191383,1.0,50,50,50,50,0.1031005400363938,0.0,0,50,50,50,0.059851919977518264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Dave helped at the Library on Tuesday. Where was Dave?,the Library,Library.,0,1,0.0,1,2,0,1,94.81037099976675,,,,,307.28628557075496,1782.78515625,pre_replay,False,0.41664311995191383,1.0,50,50,50,50,0.1031005400363938,0.0,0,50,50,50,0.059851919977518264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Dave saw at the Mall on Wednesday. Who was at the Mall?,Dave,Dave.,0,1,0.0,1,1,0,1,94.56943100030912,,,,,307.28628557075496,1782.78515625,pre_replay,False,0.41664311995191383,1.0,50,50,50,50,0.1031005400363938,0.0,0,50,50,50,0.059851919977518264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
