idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,time_ms_per_100,rss_mb,flags,gating_enabled
0,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,the Library,1,1,1.0,2,2,0,0,0.1272310000786092,0.0591548928566356,633.8125,pre_replay,False
1,Alice went to the Mall. --- FLUSH --- Where did Alice go?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.010620000011840602,0.0591548928566356,633.8125,pre_replay,False
2,Dave went to the Park. --- FLUSH --- Where did Dave go?,the Park,the Park,1,1,1.0,2,2,0,0,0.007829999958630651,0.0591548928566356,633.8125,pre_replay,False
3,Carol went to the Library. --- FLUSH --- Where did Carol go?,the Library,the Library,1,1,1.0,2,2,0,0,0.0076500000432133675,0.0591548928566356,633.8125,pre_replay,False
4,Dave went to the Cafe. --- FLUSH --- Where did Dave go?,the Cafe,the Cafe,1,1,1.0,2,2,0,0,0.007439999990310753,0.0591548928566356,633.8125,pre_replay,False
5,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,the Library,1,1,1.0,2,2,0,0,0.007500000265281415,0.0591548928566356,633.8125,pre_replay,False
6,Bob went to the Mall. --- FLUSH --- Where did Bob go?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.007199999799922807,0.0591548928566356,633.8125,pre_replay,False
7,Alice went to the Cafe. --- FLUSH --- Where did Alice go?,the Cafe,the Cafe,1,1,1.0,2,2,0,0,0.006829999620094895,0.0591548928566356,633.8125,pre_replay,False
8,Bob went to the Library. --- FLUSH --- Where did Bob go?,the Library,the Library,1,1,1.0,2,2,0,0,0.006949999715288868,0.0591548928566356,633.8125,pre_replay,False
9,Bob went to the Park. --- FLUSH --- Where did Bob go?,the Park,the Park,1,1,1.0,2,2,0,0,0.007079999704728834,0.0591548928566356,633.8125,pre_replay,False
10,Alice went to the Library. --- FLUSH --- Where did Alice go?,the Library,the Library,1,1,1.0,2,2,0,0,0.006990000201767543,0.0591548928566356,633.8125,pre_replay,False
11,Bob went to the Library. --- FLUSH --- Where did Bob go?,the Library,the Library,1,1,1.0,2,2,0,0,0.006910000138304895,0.0591548928566356,633.8125,pre_replay,False
12,Dave went to the Cafe. --- FLUSH --- Where did Dave go?,the Cafe,the Cafe,1,1,1.0,2,2,0,0,0.0069000002440589014,0.0591548928566356,633.8125,pre_replay,False
13,Carol went to the Park. --- FLUSH --- Where did Carol go?,the Park,the Park,1,1,1.0,2,2,0,0,0.006809999831602909,0.0591548928566356,633.8125,pre_replay,False
14,Alice went to the Park. --- FLUSH --- Where did Alice go?,the Park,the Park,1,1,1.0,2,2,0,0,0.006749999556632247,0.0591548928566356,633.8125,pre_replay,False
15,Bob went to the Park. --- FLUSH --- Where did Bob go?,the Park,the Park,1,1,1.0,2,2,0,0,0.006599999778700294,0.0591548928566356,633.8125,pre_replay,False
16,Carol went to the Mall. --- FLUSH --- Where did Carol go?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.006539999958476983,0.0591548928566356,633.8125,pre_replay,False
17,Dave went to the Park. --- FLUSH --- Where did Dave go?,the Park,the Park,1,1,1.0,2,2,0,0,0.05065100003776024,0.0591548928566356,633.8125,pre_replay,False
18,Carol went to the Library. --- FLUSH --- Where did Carol go?,the Library,the Library,1,1,1.0,2,2,0,0,0.009699999736767495,0.0591548928566356,633.8125,pre_replay,False
19,Carol went to the Mall. --- FLUSH --- Where did Carol go?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.007690000074944692,0.0591548928566356,633.8125,pre_replay,False
20,Carol went to the Mall. --- FLUSH --- Where did Carol go?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.0070600003709841985,0.0591548928566356,633.8125,pre_replay,False
21,Alice went to the Mall. --- FLUSH --- Where did Alice go?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.006820000180596253,0.0591548928566356,633.8125,pre_replay,False
