idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.episodic.accepts,gates.episodic.aggregated,gates.episodic.attempts,gates.episodic.blocked_new_edges,gates.episodic.inserted,gates.episodic.routed_to_episodic,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 0) goal (3, 4). What is the shortest path length?",7,10,,,,1,1,0,0,122.87420299981022,,,,,pre_replay,False,0.47839290001775225,1.0,50,50,50,50,0.11168519999046111,0.0,0,50,50,50,0.06475115998000547,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 0) to (3, 1)?",LD,"(4, 0) -> (4, 1) -> (3, 1)",,,,8,1,1,0,590.0283050000326,,,,,pre_replay,False,0.47839290001775225,1.0,50,50,50,50,0.11168519999046111,0.0,0,50,50,50,0.06475115998000547,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 1). After moves RLURR where do you end?","[2, 0]","(1, 5)",,,,2,2,0,0,225.01397000019097,,,,,pre_replay,False,0.47839290001775225,1.0,50,50,50,50,0.11168519999046111,0.0,0,50,50,50,0.06475115998000547,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 3) goal (4, 1). What is the shortest path length?",4,7,,,,1,1,0,0,93.41033400005472,,,,,pre_replay,False,0.47839290001775225,1.0,50,50,50,50,0.11168519999046111,0.0,0,50,50,50,0.06475115998000547,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 2) to (1, 4)?",DLLLD,"(4, 2) → (5, 2) → (5, 3) → (5, 4) → (4, 4) → (3, 4) → (2, 4) → (1, 4)",,,,23,1,1,0,1522.3244210001212,,,,,pre_replay,False,0.47839290001775225,1.0,50,50,50,50,0.11168519999046111,0.0,0,50,50,50,0.06475115998000547,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 1). After moves RUDUL where do you end?","[2, 0]","(2, 3)",,,,2,2,0,0,222.31382200016014,,,,,pre_replay,False,0.47839290001775225,1.0,50,50,50,50,0.11168519999046111,0.0,0,50,50,50,0.06475115998000547,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 3) goal (4, 3). What is the shortest path length?",4,10,,,,1,1,0,0,120.54886700002498,,,,,pre_replay,False,0.47839290001775225,1.0,50,50,50,50,0.11168519999046111,0.0,0,50,50,50,0.06475115998000547,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 0) to (3, 1)?",LD,"(4, 0) -> (3, 0) -> (3, 1)",,,,8,1,1,0,591.9814510000379,,,,,pre_replay,False,0.47839290001775225,1.0,50,50,50,50,0.11168519999046111,0.0,0,50,50,50,0.06475115998000547,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (4, 3). After moves DUDUU where do you end?","[4, 2]","(1, 3)",,,,2,2,0,0,226.60825699995257,,,,,pre_replay,False,0.47839290001775225,1.0,50,50,50,50,0.11168519999046111,0.0,0,50,50,50,0.06475115998000547,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 0) goal (1, 3). What is the shortest path length?",4,8,,,,1,1,0,0,94.42768899998555,,,,,pre_replay,False,0.47839290001775225,1.0,50,50,50,50,0.11168519999046111,0.0,0,50,50,50,0.06475115998000547,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
