idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol bought a apple at StoreB. StoreB is in Berlin. In which city did Carol buy the apple?,Berlin,Berlin.,0,1,0.0,1,1,0,1,99.16466199865681,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
1,Carol bought a ball at StoreB. StoreB is in London. In which city did Carol buy the ball?,London,London.,0,1,0.0,1,1,0,1,99.76753600130905,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol bought a book at StoreB. StoreB is in Berlin. In which city did Carol buy the book?,Berlin,Berlin.,0,1,0.0,1,1,0,1,99.64748499987763,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
3,Alice bought a ball at StoreB. StoreB is in Berlin. In which city did Alice buy the ball?,Berlin,Berlin.,0,1,0.0,1,1,0,1,98.67199799919035,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
4,Carol bought a book at StoreB. StoreB is in Paris. In which city did Carol buy the book?,Paris,Paris,1,1,1.0,1,1,0,0,74.38706200264278,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
5,Dave bought a apple at StoreA. StoreA is in Rome. In which city did Dave buy the apple?,Rome,Rome,1,1,1.0,1,1,0,0,101.18367500035674,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
6,Dave bought a ball at StoreA. StoreA is in Paris. In which city did Dave buy the ball?,Paris,Paris.,0,1,0.0,1,1,0,1,100.11553900039871,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
7,Alice bought a book at StoreB. StoreB is in Paris. In which city did Alice buy the book?,Paris,Paris,1,1,1.0,1,1,0,0,76.26318400070886,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
8,Alice bought a apple at StoreA. StoreA is in Paris. In which city did Alice buy the apple?,Paris,Paris,1,1,1.0,1,1,0,0,75.7037909970677,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
9,Carol bought a apple at StoreB. StoreB is in Rome. In which city did Carol buy the apple?,Rome,Rome,1,1,1.0,1,1,0,0,101.46252699996694,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
10,Alice bought a ball at StoreB. StoreB is in London. In which city did Alice buy the ball?,London,London.,0,1,0.0,1,1,0,1,100.63741200065124,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
11,Alice bought a ball at StoreA. StoreA is in London. In which city did Alice buy the ball?,London,London,1,1,1.0,1,1,0,0,76.45054599925061,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
12,Bob bought a book at StoreC. StoreC is in Berlin. In which city did Bob buy the book?,Berlin,Berlin,1,1,1.0,1,1,0,0,75.91243199931341,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
13,Dave bought a book at StoreC. StoreC is in Berlin. In which city did Dave buy the book?,Berlin,Berlin,1,1,1.0,1,1,0,0,76.40163500036579,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
14,Carol bought a ball at StoreB. StoreB is in Paris. In which city did Carol buy the ball?,Paris,Paris,1,1,1.0,1,1,0,0,76.05791300011333,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
15,Bob bought a book at StoreA. StoreA is in Rome. In which city did Bob buy the book?,Rome,Rome,1,1,1.0,1,1,0,0,100.07872799906181,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
16,Alice bought a apple at StoreB. StoreB is in Rome. In which city did Alice buy the apple?,Rome,Rome,1,1,1.0,1,1,0,0,100.03238799981773,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
17,Alice bought a apple at StoreB. StoreB is in Rome. In which city did Alice buy the apple?,Rome,Rome.,0,1,0.0,1,1,0,1,128.38440199993784,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
18,Alice bought a coin at StoreB. StoreB is in London. In which city did Alice buy the coin?,London,London,1,1,1.0,1,1,0,0,76.82502800162183,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
19,Alice bought a coin at StoreB. StoreB is in Berlin. In which city did Alice buy the coin?,Berlin,Berlin,1,1,1.0,1,1,0,0,76.10843300062697,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
20,Alice bought a apple at StoreB. StoreB is in Rome. In which city did Alice buy the apple?,Rome,Rome,1,1,1.0,1,1,0,0,99.56281499762554,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
21,Bob bought a apple at StoreA. StoreA is in Berlin. In which city did Bob buy the apple?,Berlin,Berlin.,0,1,0.0,1,1,0,1,100.41415000159759,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
22,Dave bought a coin at StoreC. StoreC is in Rome. In which city did Dave buy the coin?,Rome,Rome,1,1,1.0,1,1,0,0,101.86135000185459,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
23,Bob bought a apple at StoreC. StoreC is in Rome. In which city did Bob buy the apple?,Rome,Rome.,0,1,0.0,1,1,0,1,124.42328599718167,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
24,Dave bought a apple at StoreC. StoreC is in Berlin. In which city did Dave buy the apple?,Berlin,Berlin.,0,1,0.0,1,1,0,1,101.193915001204,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
25,Bob bought a coin at StoreC. StoreC is in Rome. In which city did Bob buy the coin?,Rome,Rome.,0,1,0.0,1,1,0,1,124.17075299890712,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
26,Alice bought a book at StoreC. StoreC is in London. In which city did Alice buy the book?,London,London.,0,1,0.0,1,1,0,1,99.48189400165575,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
27,Dave bought a ball at StoreC. StoreC is in Rome. In which city did Dave buy the ball?,Rome,Rome,1,1,1.0,1,1,0,0,100.6488620005257,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
28,Dave bought a ball at StoreA. StoreA is in Rome. In which city did Dave buy the ball?,Rome,Rome.,0,1,0.0,1,1,0,1,124.15222299750894,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
29,Dave bought a coin at StoreC. StoreC is in Berlin. In which city did Dave buy the coin?,Berlin,Berlin.,0,1,0.0,1,1,0,1,101.09256500072661,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
30,Bob bought a ball at StoreC. StoreC is in London. In which city did Bob buy the ball?,London,London.,0,1,0.0,1,1,0,1,99.91659599836566,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
31,Dave bought a book at StoreB. StoreB is in Paris. In which city did Dave buy the book?,Paris,Paris,1,1,1.0,1,1,0,0,76.48036599857733,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
32,Carol bought a book at StoreB. StoreB is in Berlin. In which city did Carol buy the book?,Berlin,Berlin,1,1,1.0,1,1,0,0,75.67046999974991,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
33,Dave bought a apple at StoreA. StoreA is in Berlin. In which city did Dave buy the apple?,Berlin,Berlin.,0,1,0.0,1,1,0,1,99.9120269989362,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
34,Bob bought a coin at StoreA. StoreA is in London. In which city did Bob buy the coin?,London,London,1,1,1.0,1,1,0,0,75.93102100145188,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
35,Carol bought a book at StoreB. StoreB is in London. In which city did Carol buy the book?,London,London.,0,1,0.0,1,1,0,1,100.26543899948592,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
36,Carol bought a ball at StoreB. StoreB is in Paris. In which city did Carol buy the ball?,Paris,Paris,1,1,1.0,1,1,0,0,76.19352300025639,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
37,Bob bought a book at StoreC. StoreC is in Berlin. In which city did Bob buy the book?,Berlin,Berlin.,0,1,0.0,1,1,0,1,100.26769900287036,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
38,Carol bought a book at StoreA. StoreA is in London. In which city did Carol buy the book?,London,London.,0,1,0.0,1,1,0,1,100.67766200154438,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
39,Dave bought a book at StoreC. StoreC is in Berlin. In which city did Dave buy the book?,Berlin,Berlin,1,1,1.0,1,1,0,0,75.59544900141191,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
40,Dave bought a book at StoreA. StoreA is in London. In which city did Dave buy the book?,London,London.,0,1,0.0,1,1,0,1,100.3060689981794,,,,,180.58838119918488,2874.13671875,pre_replay,False,0.42667756009905133,1.0,50,50,50,50,0.10814911991474219,0.0,0,50,50,50,0.06214632019691635,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
