idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.episodic.accepts,gates.episodic.aggregated,gates.episodic.attempts,gates.episodic.blocked_new_edges,gates.episodic.inserted,gates.episodic.routed_to_episodic,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 0) goal (3, 4). What is the shortest path length?",7,10,0,0,0.0,1,1,0,0,425.8672980004121,False,10,7,1.4285714285714286,523.3456350045856,1818.05078125,pre_replay,False,0.4895267400206649,1.0,50,50,50,50,0.09794511990548926,0.0,0,50,50,50,0.057561639969208045,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 0) to (3, 1)?",LD,"(4, 0) -> (4, 1) -> (3, 1)",0,0,0.0,8,1,1,0,527.1546879994276,False,0,2,0.0,523.3456350045856,1818.05078125,pre_replay,False,0.4895267400206649,1.0,50,50,50,50,0.09794511990548926,0.0,0,50,50,50,0.057561639969208045,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 1). After moves RLURR where do you end?","[2, 0]","(1, 5)",0,0,0.0,2,2,0,0,202.02085399978387,False,5,5,1.0,523.3456350045856,1818.05078125,pre_replay,False,0.4895267400206649,1.0,50,50,50,50,0.09794511990548926,0.0,0,50,50,50,0.057561639969208045,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 3) goal (4, 1). What is the shortest path length?",4,8,0,0,0.0,1,1,0,0,85.30180500019924,False,8,4,2.0,523.3456350045856,1818.05078125,pre_replay,False,0.4895267400206649,1.0,50,50,50,50,0.09794511990548926,0.0,0,50,50,50,0.057561639969208045,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 2) to (1, 4)?",DLLLD,"(4, 2) → (5, 2) → (5, 3) → (5, 4) → (4, 4) → (3, 4) → (2, 4) → (1, 4)",0,0,0.0,23,1,1,0,1340.8523300004163,False,0,5,0.0,523.3456350045856,1818.05078125,pre_replay,False,0.4895267400206649,1.0,50,50,50,50,0.09794511990548926,0.0,0,50,50,50,0.057561639969208045,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 1). After moves RUDUL where do you end?","[2, 0]","(2, 5)",0,0,0.0,2,2,0,0,201.43250100045407,False,5,5,1.0,523.3456350045856,1818.05078125,pre_replay,False,0.4895267400206649,1.0,50,50,50,50,0.09794511990548926,0.0,0,50,50,50,0.057561639969208045,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 3) goal (4, 3). What is the shortest path length?",4,10,0,0,0.0,1,1,0,0,108.5579520004103,False,10,4,2.5,523.3456350045856,1818.05078125,pre_replay,False,0.4895267400206649,1.0,50,50,50,50,0.09794511990548926,0.0,0,50,50,50,0.057561639969208045,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 0) to (3, 1)?",LD,"(4, 0) -> (3, 0) -> (2, 0) -> (2, 1) -> (3, 1)",0,0,0.0,14,1,1,0,849.8098850004681,False,0,2,0.0,523.3456350045856,1818.05078125,pre_replay,False,0.4895267400206649,1.0,50,50,50,50,0.09794511990548926,0.0,0,50,50,50,0.057561639969208045,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (4, 3). After moves DUDUU where do you end?","[4, 2]","(1, 1)",0,0,0.0,2,2,0,0,201.69207299932168,False,5,5,1.0,523.3456350045856,1818.05078125,pre_replay,False,0.4895267400206649,1.0,50,50,50,50,0.09794511990548926,0.0,0,50,50,50,0.057561639969208045,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 0) goal (1, 3). What is the shortest path length?",4,7,0,0,0.0,1,1,0,0,85.08494300076563,False,7,4,1.75,523.3456350045856,1818.05078125,pre_replay,False,0.4895267400206649,1.0,50,50,50,50,0.09794511990548926,0.0,0,50,50,50,0.057561639969208045,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 2) to (1, 4)?",DLLLD,"(4, 2) → (3, 2) → (2, 2) → (1, 2) → (1, 4)",0,0,0.0,14,1,1,0,850.7148110002163,False,0,5,0.0,523.3456350045856,1818.05078125,pre_replay,False,0.4895267400206649,1.0,50,50,50,50,0.09794511990548926,0.0,0,50,50,50,0.057561639969208045,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 0). After moves DRRUL where do you end?","[3, 0]","(1, 4)",0,0,0.0,2,2,0,0,201.6292620000968,False,5,5,1.0,523.3456350045856,1818.05078125,pre_replay,False,0.4895267400206649,1.0,50,50,50,50,0.09794511990548926,0.0,0,50,50,50,0.057561639969208045,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (1, 2) goal (4, 2). What is the shortest path length?",5,7,0,0,0.0,1,1,0,0,85.58287599953474,False,7,5,1.4,523.3456350045856,1818.05078125,pre_replay,False,0.4895267400206649,1.0,50,50,50,50,0.09794511990548926,0.0,0,50,50,50,0.057561639969208045,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 2) to (1, 4)?",DLLLD,"(4, 2) -> (3, 2) -> (2, 2) -> (1, 2) -> (1, 4)",0,0,0.0,14,1,1,0,849.9190849997831,False,0,5,0.0,523.3456350045856,1818.05078125,pre_replay,False,0.4895267400206649,1.0,50,50,50,50,0.09794511990548926,0.0,0,50,50,50,0.057561639969208045,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (1, 1). After moves RDUDD where do you end?","[2, 3]","(1, 5)",0,0,0.0,2,2,0,0,201.51311199970223,False,5,5,1.0,523.3456350045856,1818.05078125,pre_replay,False,0.4895267400206649,1.0,50,50,50,50,0.09794511990548926,0.0,0,50,50,50,0.057561639969208045,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 1) goal (1, 2). What is the shortest path length?",2,7,0,0,0.0,1,1,0,0,85.39749499959726,False,7,2,3.5,523.3456350045856,1818.05078125,pre_replay,False,0.4895267400206649,1.0,50,50,50,50,0.09794511990548926,0.0,0,50,50,50,0.057561639969208045,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (1, 2) to (4, 3)?",RDRR,"(1, 2) -> (1, 3) -> (2, 3) -> (2, 4) -> (3, 4) -> (3, 3) -> (4, 3)",0,0,0.0,20,1,1,0,1177.295010999842,False,0,4,0.0,523.3456350045856,1818.05078125,pre_replay,False,0.4895267400206649,1.0,50,50,50,50,0.09794511990548926,0.0,0,50,50,50,0.057561639969208045,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
