idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,time_ms_per_100,rss_mb,flags,gating_enabled
0,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,the Library,1,1,1.0,2,2,0,0,0.12711999988823663,0.0715274285149852,633.83984375,pre_replay,False
1,Alice went to the Mall. --- FLUSH --- Where did Alice go?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.010649999694578582,0.0715274285149852,633.83984375,pre_replay,False
2,Dave went to the Park. --- FLUSH --- Where did Dave go?,the Park,the Park,1,1,1.0,2,2,0,0,0.008110000180749921,0.0715274285149852,633.83984375,pre_replay,False
3,Carol went to the Library. --- FLUSH --- Where did Carol go?,the Library,the Library,1,1,1.0,2,2,0,0,0.00777000013840734,0.0715274285149852,633.83984375,pre_replay,False
4,Dave went to the Cafe. --- FLUSH --- Where did Dave go?,the Cafe,the Cafe,1,1,1.0,2,2,0,0,0.007170000117184827,0.0715274285149852,633.83984375,pre_replay,False
5,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,the Library,1,1,1.0,2,2,0,0,0.00731999989511678,0.0715274285149852,633.83984375,pre_replay,False
6,Bob went to the Mall. --- FLUSH --- Where did Bob go?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.0071110002863861155,0.0715274285149852,633.83984375,pre_replay,False
7,Alice went to the Cafe. --- FLUSH --- Where did Alice go?,the Cafe,the Cafe,1,1,1.0,2,2,0,0,0.006830000074842246,0.0715274285149852,633.83984375,pre_replay,False
8,Bob went to the Library. --- FLUSH --- Where did Bob go?,the Library,the Library,1,1,1.0,2,2,0,0,0.006889999895065557,0.0715274285149852,633.83984375,pre_replay,False
9,Bob went to the Park. --- FLUSH --- Where did Bob go?,the Park,the Park,1,1,1.0,2,2,0,0,0.006780000148864929,0.0715274285149852,633.83984375,pre_replay,False
10,Alice went to the Library. --- FLUSH --- Where did Alice go?,the Library,the Library,1,1,1.0,2,2,0,0,0.006859999757580226,0.0715274285149852,633.83984375,pre_replay,False
11,Bob went to the Library. --- FLUSH --- Where did Bob go?,the Library,the Library,1,1,1.0,2,2,0,0,0.006830000074842246,0.0715274285149852,633.83984375,pre_replay,False
12,Dave went to the Cafe. --- FLUSH --- Where did Dave go?,the Cafe,the Cafe,1,1,1.0,2,2,0,0,0.006740000117133604,0.0715274285149852,633.83984375,pre_replay,False
13,Carol went to the Park. --- FLUSH --- Where did Carol go?,the Park,the Park,1,1,1.0,2,2,0,0,0.006600000233447645,0.0715274285149852,633.83984375,pre_replay,False
14,Alice went to the Park. --- FLUSH --- Where did Alice go?,the Park,the Park,1,1,1.0,2,2,0,0,0.006560000201716321,0.0715274285149852,633.83984375,pre_replay,False
15,Bob went to the Park. --- FLUSH --- Where did Bob go?,the Park,the Park,1,1,1.0,2,2,0,0,0.006570000095962314,0.0715274285149852,633.83984375,pre_replay,False
16,Carol went to the Mall. --- FLUSH --- Where did Carol go?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.0066200000219396316,0.0715274285149852,633.83984375,pre_replay,False
17,Dave went to the Park. --- FLUSH --- Where did Dave go?,the Park,the Park,1,1,1.0,2,2,0,0,0.006719999873894267,0.0715274285149852,633.83984375,pre_replay,False
18,Carol went to the Library. --- FLUSH --- Where did Carol go?,the Library,the Library,1,1,1.0,2,2,0,0,0.006940000275790226,0.0715274285149852,633.83984375,pre_replay,False
19,Carol went to the Mall. --- FLUSH --- Where did Carol go?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.006589999884454301,0.0715274285149852,633.83984375,pre_replay,False
20,Carol went to the Mall. --- FLUSH --- Where did Carol go?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.0066200000219396316,0.0715274285149852,633.83984375,pre_replay,False
21,Alice went to the Mall. --- FLUSH --- Where did Alice go?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.0066799998421629425,0.0715274285149852,633.83984375,pre_replay,False
22,Carol went to the Library. --- FLUSH --- Where did Carol go?,the Library,the Library,1,1,1.0,2,2,0,0,0.013019999641983304,0.0715274285149852,633.83984375,pre_replay,False
23,Bob went to the Park. --- FLUSH --- Where did Bob go?,the Park,the Park,1,1,1.0,2,2,0,0,0.0067399996623862535,0.0715274285149852,633.83984375,pre_replay,False
24,Dave went to the Park. --- FLUSH --- Where did Dave go?,the Park,the Park,1,1,1.0,2,2,0,0,0.0067099999796482734,0.0715274285149852,633.83984375,pre_replay,False
25,Alice went to the Cafe. --- FLUSH --- Where did Alice go?,the Cafe,the Cafe,1,1,1.0,2,2,0,0,0.006819999725848902,0.0715274285149852,633.83984375,pre_replay,False
26,Dave went to the Mall. --- FLUSH --- Where did Dave go?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.006720000328641618,0.0715274285149852,633.83984375,pre_replay,False
27,Dave went to the Mall. --- FLUSH --- Where did Dave go?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.006570000095962314,0.0715274285149852,633.83984375,pre_replay,False
28,Bob went to the Mall. --- FLUSH --- Where did Bob go?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.0066799998421629425,0.0715274285149852,633.83984375,pre_replay,False
29,Bob went to the Cafe. --- FLUSH --- Where did Bob go?,the Cafe,the Cafe,1,1,1.0,2,2,0,0,0.006539999958476983,0.0715274285149852,633.83984375,pre_replay,False
30,Dave went to the Mall. --- FLUSH --- Where did Dave go?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.006570000095962314,0.0715274285149852,633.83984375,pre_replay,False
31,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,the Library,1,1,1.0,2,2,0,0,0.006750000011379598,0.0715274285149852,633.83984375,pre_replay,False
32,Bob went to the Park. --- FLUSH --- Where did Bob go?,the Park,the Park,1,1,1.0,2,2,0,0,0.0067399996623862535,0.0715274285149852,633.83984375,pre_replay,False
33,Bob went to the Mall. --- FLUSH --- Where did Bob go?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.0066500001594249625,0.0715274285149852,633.83984375,pre_replay,False
34,Alice went to the Park. --- FLUSH --- Where did Alice go?,the Park,the Park,1,1,1.0,2,2,0,0,0.006580999979632907,0.0715274285149852,633.83984375,pre_replay,False
35,Alice went to the Library. --- FLUSH --- Where did Alice go?,the Library,the Library,1,1,1.0,2,2,0,0,0.006819999725848902,0.0715274285149852,633.83984375,pre_replay,False
36,Alice went to the Mall. --- FLUSH --- Where did Alice go?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.006599999778700294,0.0715274285149852,633.83984375,pre_replay,False
37,Alice went to the Cafe. --- FLUSH --- Where did Alice go?,the Cafe,the Cafe,1,1,1.0,2,2,0,0,0.006649999704677612,0.0715274285149852,633.83984375,pre_replay,False
38,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,the Library,1,1,1.0,2,2,0,0,0.006750000011379598,0.0715274285149852,633.83984375,pre_replay,False
39,Carol went to the Mall. --- FLUSH --- Where did Carol go?,the Mall,the Mall,1,1,1.0,2,2,0,0,0.006570000095962314,0.0715274285149852,633.83984375,pre_replay,False
40,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,the Library,1,1,1.0,2,2,0,0,0.0066799998421629425,0.0715274285149852,633.83984375,pre_replay,False
41,Dave went to the Park. --- FLUSH --- Where did Dave go?,the Park,the Park,1,1,1.0,2,2,0,0,0.006799999937356915,0.0715274285149852,633.83984375,pre_replay,False
42,Bob went to the Library. --- FLUSH --- Where did Bob go?,the Library,the Library,1,1,1.0,2,2,0,0,0.00698000030752155,0.0715274285149852,633.83984375,pre_replay,False
43,Dave went to the Cafe. --- FLUSH --- Where did Dave go?,the Cafe,the Cafe,1,1,1.0,2,2,0,0,0.006690000191156287,0.0715274285149852,633.83984375,pre_replay,False
44,Dave went to the Cafe. --- FLUSH --- Where did Dave go?,the Cafe,the Cafe,1,1,1.0,2,2,0,0,0.006600000233447645,0.0715274285149852,633.83984375,pre_replay,False
45,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,the Library,1,1,1.0,2,2,0,0,0.006790000043110922,0.0715274285149852,633.83984375,pre_replay,False
46,Dave went to the Park. --- FLUSH --- Where did Dave go?,the Park,the Park,1,1,1.0,2,2,0,0,0.00959999988481286,0.0715274285149852,633.83984375,pre_replay,False
47,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,the Cafe,1,1,1.0,2,2,0,0,0.006779999694117578,0.0715274285149852,633.83984375,pre_replay,False
48,Bob went to the Cafe. --- FLUSH --- Where did Bob go?,the Cafe,the Cafe,1,1,1.0,2,2,0,0,0.006610000127693638,0.0715274285149852,633.83984375,pre_replay,False
49,Alice went to the Library. --- FLUSH --- Where did Alice go?,the Library,the Library,1,1,1.0,2,2,0,0,0.006780000148864929,0.0715274285149852,633.83984375,pre_replay,False
