idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Dave bought a apple at StoreA. StoreA is in Berlin. In which city did Dave buy the apple?,Berlin,Berlin,1,1,1.0,1,1,0,0,69.80383000336587,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dave bought a ball at StoreB. StoreB is in London. In which city did Dave buy the ball?,London,London,1,1,1.0,1,1,0,0,68.03509299788857,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Dave bought a book at StoreB. StoreB is in London. In which city did Dave buy the book?,London,London,1,1,1.0,1,1,0,0,67.79626200295752,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Bob bought a coin at StoreA. StoreA is in Paris. In which city did Bob buy the coin?,Paris,Paris.,0,1,0.0,1,1,0,1,90.99491799861426,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bob bought a apple at StoreA. StoreA is in Rome. In which city did Bob buy the apple?,Rome,Rome,1,1,1.0,1,1,0,0,91.19783899950562,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Alice bought a apple at StoreC. StoreC is in London. In which city did Alice buy the apple?,London,London.,0,1,0.0,1,1,0,1,91.17326900013722,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bob bought a coin at StoreA. StoreA is in Rome. In which city did Bob buy the coin?,Rome,Rome,1,1,1.0,1,1,0,0,91.2372390012024,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Carol bought a book at StoreB. StoreB is in London. In which city did Carol buy the book?,London,London.,0,1,0.0,1,1,0,1,91.01892900071107,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Carol bought a ball at StoreC. StoreC is in Berlin. In which city did Carol buy the ball?,Berlin,Berlin,1,1,1.0,1,1,0,0,67.64596099674236,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Dave bought a ball at StoreC. StoreC is in Rome. In which city did Dave buy the ball?,Rome,Rome,1,1,1.0,1,1,0,0,91.24940999754472,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bob bought a ball at StoreC. StoreC is in Berlin. In which city did Bob buy the ball?,Berlin,Berlin,1,1,1.0,1,1,0,0,67.8235420054989,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Carol bought a coin at StoreA. StoreA is in Berlin. In which city did Carol buy the coin?,Berlin,Berlin,1,1,1.0,1,1,0,0,67.94482300028903,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Carol bought a apple at StoreC. StoreC is in London. In which city did Carol buy the apple?,London,London,1,1,1.0,1,1,0,0,67.89428200136172,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Carol bought a coin at StoreB. StoreB is in Paris. In which city did Carol buy the coin?,Paris,Paris.,0,1,0.0,1,1,0,1,91.33662000385812,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Alice bought a coin at StoreB. StoreB is in Berlin. In which city did Alice buy the coin?,Berlin,Berlin,1,1,1.0,1,1,0,0,67.87399199674837,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Dave bought a apple at StoreB. StoreB is in London. In which city did Dave buy the apple?,London,London,1,1,1.0,1,1,0,0,68.45835499552777,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Alice bought a coin at StoreB. StoreB is in Berlin. In which city did Alice buy the coin?,Berlin,Berlin,1,1,1.0,1,1,0,0,67.86565199581673,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Bob bought a apple at StoreB. StoreB is in London. In which city did Bob buy the apple?,London,London,1,1,1.0,1,1,0,0,67.83733300107997,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Dave bought a book at StoreB. StoreB is in Paris. In which city did Dave buy the book?,Paris,Paris,1,1,1.0,1,1,0,0,67.88859199878061,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Bob bought a book at StoreB. StoreB is in Paris. In which city did Bob buy the book?,Paris,Paris,1,1,1.0,1,1,0,0,67.85052299528616,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Alice bought a coin at StoreC. StoreC is in London. In which city did Alice buy the coin?,London,London.,0,1,0.0,1,1,0,1,93.70845899684355,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carol bought a coin at StoreB. StoreB is in London. In which city did Carol buy the coin?,London,London,1,1,1.0,1,1,0,0,69.17998700373573,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Dave bought a ball at StoreA. StoreA is in London. In which city did Dave buy the ball?,London,London,1,1,1.0,1,1,0,0,67.90097300108755,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Dave bought a book at StoreC. StoreC is in Berlin. In which city did Dave buy the book?,Berlin,Berlin.,0,1,0.0,1,1,0,1,91.71467100532027,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Alice bought a coin at StoreC. StoreC is in London. In which city did Alice buy the coin?,London,London,1,1,1.0,1,1,0,0,68.04014299996197,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Dave bought a ball at StoreC. StoreC is in Rome. In which city did Dave buy the ball?,Rome,Rome,1,1,1.0,1,1,0,0,91.53365100064548,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Alice bought a apple at StoreA. StoreA is in Paris. In which city did Alice buy the apple?,Paris,Paris,1,1,1.0,1,1,0,0,68.05820299632614,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Bob bought a book at StoreC. StoreC is in Berlin. In which city did Bob buy the book?,Berlin,Berlin,1,1,1.0,1,1,0,0,68.04891399951885,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Bob bought a apple at StoreA. StoreA is in Rome. In which city did Bob buy the apple?,Rome,Rome.,0,1,0.0,1,1,0,1,114.80192699673353,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Carol bought a apple at StoreB. StoreB is in Paris. In which city did Carol buy the apple?,Paris,Paris.,0,1,0.0,1,1,0,1,91.41412999451859,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Bob bought a coin at StoreB. StoreB is in Paris. In which city did Bob buy the coin?,Paris,Paris,1,1,1.0,1,1,0,0,67.818402996636,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Carol bought a ball at StoreA. StoreA is in Rome. In which city did Carol buy the ball?,Rome,Rome.,0,1,0.0,1,1,0,1,115.25442900165217,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Alice bought a apple at StoreC. StoreC is in London. In which city did Alice buy the apple?,London,London,1,1,1.0,1,1,0,0,68.09833300212631,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Bob bought a book at StoreA. StoreA is in Paris. In which city did Bob buy the book?,Paris,Paris.,0,1,0.0,1,1,0,1,91.21910000249045,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Carol bought a book at StoreA. StoreA is in Berlin. In which city did Carol buy the book?,Berlin,Berlin.,0,1,0.0,1,1,0,1,91.24557900213404,159.33954203079492,4202.30078125,pre_replay,True,0.0,0.0,0,0,0,0,0.11958659983065445,0.0,0,200,200,200,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
