idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 0) goal (3, 4). What is the shortest path length?",7,10,,,,1,1,0,0,115.89566199995716,,,,,pre_replay,False,0.4545218600037515,1.0,50,50,50,50,0.10746753999455905,0.0,0,50,50,50,0.061938699989241286,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
1,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 0) to (3, 1)?",LD,"(4, 0) -> (3, 0) -> (3, 1)",,,,8,1,1,0,567.8435380000337,,,,,pre_replay,False,0.4545218600037515,1.0,50,50,50,50,0.10746753999455905,0.0,0,50,50,50,0.061938699989241286,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
2,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 1). After moves RLURR where do you end?","[2, 0]","(3, 1)",,,,2,2,0,0,216.18803399996978,,,,,pre_replay,False,0.4545218600037515,1.0,50,50,50,50,0.10746753999455905,0.0,0,50,50,50,0.061938699989241286,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
3,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 3) goal (4, 1). What is the shortest path length?",4,7,,,,1,1,0,0,89.9571620000188,,,,,pre_replay,False,0.4545218600037515,1.0,50,50,50,50,0.10746753999455905,0.0,0,50,50,50,0.061938699989241286,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
4,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 2) to (1, 4)?",DLLLD,"(4, 2) -> (3, 2) -> (2, 2) -> (1, 2) -> (1, 4)",,,,14,1,1,0,917.7713740000399,,,,,pre_replay,False,0.4545218600037515,1.0,50,50,50,50,0.10746753999455905,0.0,0,50,50,50,0.061938699989241286,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
5,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 1). After moves RUDUL where do you end?","[2, 0]","(3, 3)",,,,2,2,0,0,215.76551199996175,,,,,pre_replay,False,0.4545218600037515,1.0,50,50,50,50,0.10746753999455905,0.0,0,50,50,50,0.061938699989241286,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
6,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 3) goal (4, 3). What is the shortest path length?",4,10,,,,1,1,0,0,115.82945299994662,,,,,pre_replay,False,0.4545218600037515,1.0,50,50,50,50,0.10746753999455905,0.0,0,50,50,50,0.061938699989241286,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
7,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 0) to (3, 1)?",LD,"(4, 0) -> (4, 1) -> (4, 2) -> (4, 3) -> (4, 4) -> (3, 4) -> (3, 3) -> (3, 2) -> (3, 1)",,,,26,1,1,0,1596.983377000015,,,,,pre_replay,False,0.4545218600037515,1.0,50,50,50,50,0.10746753999455905,0.0,0,50,50,50,0.061938699989241286,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
8,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (4, 3). After moves DUDUU where do you end?","[4, 2]","(1, 2)",,,,2,2,0,0,216.69312599999557,,,,,pre_replay,False,0.4545218600037515,1.0,50,50,50,50,0.10746753999455905,0.0,0,50,50,50,0.061938699989241286,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
9,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 0) goal (1, 3). What is the shortest path length?",4,6,,,,1,1,0,0,91.21134600002279,,,,,pre_replay,False,0.4545218600037515,1.0,50,50,50,50,0.10746753999455905,0.0,0,50,50,50,0.061938699989241286,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
10,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 2) to (1, 4)?",DLLLD,"(4, 2) → (3, 2) → (2, 2) → (1, 2) → (1, 4)",,,,14,1,1,0,906.1705390000725,,,,,pre_replay,False,0.4545218600037515,1.0,50,50,50,50,0.10746753999455905,0.0,0,50,50,50,0.061938699989241286,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
11,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 0). After moves DRRUL where do you end?","[3, 0]","(2, 3)",,,,2,2,0,0,216.1655239999618,,,,,pre_replay,False,0.4545218600037515,1.0,50,50,50,50,0.10746753999455905,0.0,0,50,50,50,0.061938699989241286,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
12,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (1, 2) goal (4, 2). What is the shortest path length?",5,8,,,,1,1,0,0,89.95453200009251,,,,,pre_replay,False,0.4545218600037515,1.0,50,50,50,50,0.10746753999455905,0.0,0,50,50,50,0.061938699989241286,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
13,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 2) to (1, 4)?",DLLLD,"(4, 2) -> (3, 2) -> (2, 2) -> (1, 2) -> (1, 4)",,,,14,1,1,0,906.8896809999387,,,,,pre_replay,False,0.4545218600037515,1.0,50,50,50,50,0.10746753999455905,0.0,0,50,50,50,0.061938699989241286,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
14,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (1, 1). After moves RDUDD where do you end?","[2, 3]","(4, 1)",,,,2,2,0,0,214.78661899993767,,,,,pre_replay,False,0.4545218600037515,1.0,50,50,50,50,0.10746753999455905,0.0,0,50,50,50,0.061938699989241286,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
15,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 1) goal (1, 2). What is the shortest path length?",2,8,,,,1,1,0,0,90.85477500002526,,,,,pre_replay,False,0.4545218600037515,1.0,50,50,50,50,0.10746753999455905,0.0,0,50,50,50,0.061938699989241286,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
