idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol bought a apple at StoreB. StoreB is in Berlin. In which city did Carol buy the apple?,Berlin,Berlin,1,1,1.0,1,1,0,0,372.99924199942325,,,,,176.63664473783004,1709.234375,pre_replay,True,0.0,0.0,0,0,0,0,0.15942260008159792,0.0,0,50,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Carol bought a ball at StoreB. StoreB is in London. In which city did Carol buy the ball?,London,London,1,1,1.0,1,1,0,0,72.25145300071745,,,,,176.63664473783004,1709.234375,pre_replay,True,0.0,0.0,0,0,0,0,0.15942260008159792,0.0,0,50,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol bought a book at StoreB. StoreB is in Berlin. In which city did Carol buy the book?,Berlin,Berlin,1,1,1.0,1,1,0,0,75.26455299921508,,,,,176.63664473783004,1709.234375,pre_replay,True,0.0,0.0,0,0,0,0,0.15942260008159792,0.0,0,50,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Alice bought a ball at StoreB. StoreB is in Berlin. In which city did Alice buy the ball?,Berlin,Berlin.,0,1,0.0,1,1,0,1,98.81759000018064,,,,,176.63664473783004,1709.234375,pre_replay,True,0.0,0.0,0,0,0,0,0.15942260008159792,0.0,0,50,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Carol bought a book at StoreB. StoreB is in Paris. In which city did Carol buy the book?,Paris,Paris.,0,1,0.0,1,1,0,1,97.13375899991661,,,,,176.63664473783004,1709.234375,pre_replay,True,0.0,0.0,0,0,0,0,0.15942260008159792,0.0,0,50,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Dave bought a apple at StoreA. StoreA is in Rome. In which city did Dave buy the apple?,Rome,Rome.,0,1,0.0,1,1,0,1,123.51827500060608,,,,,176.63664473783004,1709.234375,pre_replay,True,0.0,0.0,0,0,0,0,0.15942260008159792,0.0,0,50,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Dave bought a ball at StoreA. StoreA is in Paris. In which city did Dave buy the ball?,Paris,Paris,1,1,1.0,1,1,0,0,74.17380600054457,,,,,176.63664473783004,1709.234375,pre_replay,True,0.0,0.0,0,0,0,0,0.15942260008159792,0.0,0,50,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Alice bought a book at StoreB. StoreB is in Paris. In which city did Alice buy the book?,Paris,Paris,1,1,1.0,1,1,0,0,71.31794599990826,,,,,176.63664473783004,1709.234375,pre_replay,True,0.0,0.0,0,0,0,0,0.15942260008159792,0.0,0,50,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Alice bought a apple at StoreA. StoreA is in Paris. In which city did Alice buy the apple?,Paris,Paris,1,1,1.0,1,1,0,0,71.11969499965198,,,,,176.63664473783004,1709.234375,pre_replay,True,0.0,0.0,0,0,0,0,0.15942260008159792,0.0,0,50,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Carol bought a apple at StoreB. StoreB is in Rome. In which city did Carol buy the apple?,Rome,Rome,1,1,1.0,1,1,0,0,96.5600750005251,,,,,176.63664473783004,1709.234375,pre_replay,True,0.0,0.0,0,0,0,0,0.15942260008159792,0.0,0,50,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
