idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.aggregated,gating.episodic.attempts,gating.episodic.blocked,gating.episodic.blocked_new_edges,gating.episodic.inserted,gating.episodic.null_input,gating.episodic.routed_to_episodic,gating.episodic.skipped,gating.relational.accepted,gating.relational.aggregated,gating.relational.attempts,gating.relational.blocked,gating.relational.blocked_new_edges,gating.relational.inserted,gating.relational.null_input,gating.relational.routed_to_episodic,gating.relational.skipped,gating.spatial.accepted,gating.spatial.aggregated,gating.spatial.attempts,gating.spatial.blocked,gating.spatial.blocked_new_edges,gating.spatial.inserted,gating.spatial.null_input,gating.spatial.routed_to_episodic,gating.spatial.skipped
0,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (4, 3) goal (6, 2). Respond with moves using U, D, L, R only, no spaces.",RRU,"R,U,R,U,R,U,R,U,L,U,R,U",0,0,0.0,1,1,0,0,361.2252949997128,False,12,3,4.0,279.65197478724286,1723.60546875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (4, 4) goal (6, 4). Respond with moves using U, D, L, R only, no spaces.",RR,"R,U,R,U,R,U,R,U,L,U,L,R,U,L,R,U,R,U,R",0,0,0.0,1,1,0,0,524.861707999662,False,19,2,9.5,279.65197478724286,1723.60546875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (4, 4) goal (3, 5). Respond with moves using U, D, L, R only, no spaces.",LD,"R,R,U,U,D,D,L,L,U,U,R,R,U,U,L,L,U,U,R,R",0,0,0.0,1,1,0,0,548.6949390005975,False,20,2,10.0,279.65197478724286,1723.60546875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (6, 2) goal (6, 4). Respond with moves using U, D, L, R only, no spaces.",DD,"R,U,R,U,U,R,U,U,L,U,U,R,U",0,0,0.0,1,1,0,0,381.4923319996524,False,13,2,6.5,279.65197478724286,1723.60546875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (3, 1) goal (1, 1). Respond with moves using U, D, L, R only, no spaces.",LL,"R,U,R,U,R,U,L,U,L,U,D,U",0,0,0.0,1,1,0,0,357.71651200047927,False,12,2,6.0,279.65197478724286,1723.60546875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (4, 4) goal (6, 4). Respond with moves using U, D, L, R only, no spaces.",RR,"R,R,U,U,L,L,D,D,R,R",0,0,0.0,1,1,0,0,314.2826599996624,False,10,2,5.0,279.65197478724286,1723.60546875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (2, 5) goal (2, 1). Respond with moves using U, D, L, R only, no spaces.",RUUULU,"R,R,U,U,D,D,L,L,R,R,U,U,D,D,L,L",0,0,0.0,1,1,0,0,451.2725130007311,False,16,6,2.6666666666666665,279.65197478724286,1723.60546875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (6, 1) goal (2, 1). Respond with moves using U, D, L, R only, no spaces.",DLDLLULU,"R,U,R,U,R,U,R,U,L,U,L,R,R,U,R,R,U,R",0,0,0.0,1,1,0,0,498.3620310003971,False,18,8,2.25,279.65197478724286,1723.60546875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (1, 1) goal (5, 3). Respond with moves using U, D, L, R only, no spaces.",RRDDRR,"L,U,L,U,R,U,U,R,U,D,U,U,L,U",0,0,0.0,1,1,0,0,405.2221340007236,False,14,6,2.3333333333333335,279.65197478724286,1723.60546875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (6, 1) goal (2, 1). Respond with moves using U, D, L, R only, no spaces.",DLDLLULU,"R,U,R,U,R,U,R,L,U,U,R,U,U",0,0,0.0,1,1,0,0,381.8698860004588,False,13,8,1.625,279.65197478724286,1723.60546875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (6, 5) goal (6, 6). Respond with moves using U, D, L, R only, no spaces.",D,"R,U,R,U,R,U,R,U,L,U,U,R,U,U",0,0,0.0,1,1,0,0,406.00589899986517,False,14,1,14.0,279.65197478724286,1723.60546875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (4, 4) goal (6, 4). Respond with moves using U, D, L, R only, no spaces.",RR,"R,R,L,U,U,R,R,D,D,R,R,L,L,U,U",0,0,0.0,1,1,0,0,427.56769500010705,False,15,2,7.5,279.65197478724286,1723.60546875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (5, 4) goal (2, 2). Respond with moves using U, D, L, R only, no spaces.",LLUUL,"R,R,U,U,L,L,D,D,U,U,R,R",0,0,0.0,1,1,0,0,358.6588699999993,False,12,5,2.4,279.65197478724286,1723.60546875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (4, 4) goal (6, 4). Respond with moves using U, D, L, R only, no spaces.",RR,"R,R,L,U,U,R,R,U,U,L,L,D,D,R,R",0,0,0.0,1,1,0,0,428.30147000040597,False,15,2,7.5,279.65197478724286,1723.60546875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (4, 3) goal (2, 2). Respond with moves using U, D, L, R only, no spaces.",LUL,"R,R,U,U,D,D,L,L,R,R,U,U,L,L",0,0,0.0,1,1,0,0,404.8113620001459,False,14,3,4.666666666666667,279.65197478724286,1723.60546875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (6, 2) goal (6, 4). Respond with moves using U, D, L, R only, no spaces.",DD,"R,U,R,U,U,R,U,U,L,U,U,R,U",0,0,0.0,1,1,0,0,384.38264399974287,False,13,2,6.5,279.65197478724286,1723.60546875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (5, 4) goal (5, 0). Respond with moves using U, D, L, R only, no spaces.",RUUUUL,"R,U,R,U,R,U,L,U,L,D,L",0,0,0.0,1,1,0,0,335.47568500034686,False,11,6,1.8333333333333333,279.65197478724286,1723.60546875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
