idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,memory_hit,retrieval_latency_ms,router_path,topk_keys,distance,justification,context_key,retrieval_requests,writes_count,store_size_before,store_size_after,context_match_rate,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.attempts,gating.episodic.skipped,gating.relational.accepted,gating.relational.attempts,gating.relational.skipped,gating.spatial.accepted,gating.spatial.attempts,gating.spatial.skipped
0,In which city did Carol buy the apple?,Berlin,New York City,0,0,0.0,3,1,1,0,401.1429940001108,0,0.0,,,,,semantic_mem/00001,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,In which city did Dave buy the apple?,Rome,New York City,0,0,0.0,3,1,1,0,118.39290799980517,0,0.0,,,,,semantic_mem/00002,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,In which city did Alice buy the ball?,Berlin,New York City,0,0,0.0,3,1,1,0,122.60996600161889,0,0.0,,,,,semantic_mem/00003,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,In which city did Carol buy the book?,London,New York City,0,0,0.0,3,1,1,0,120.31348099844763,0,0.0,,,,,semantic_mem/00004,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,In which city did Dave buy the ball?,Paris,New York City,0,0,0.0,3,1,1,0,120.33709200113663,0,0.0,,,,,semantic_mem/00005,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,In which city did Alice buy the book?,Paris,New York City,0,0,0.0,3,1,1,0,121.39558799754013,0,0.0,,,,,semantic_mem/00006,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,In which city did Carol buy the apple?,Rome,New York City,0,0,0.0,3,1,1,0,119.3546750000678,0,0.0,,,,,semantic_mem/00007,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,In which city did Bob buy the book?,Rome,New York City,0,0,0.0,3,1,1,0,120.35979100255645,0,0.0,,,,,semantic_mem/00008,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,In which city did Bob buy the book?,Berlin,New York City,0,0,0.0,3,1,1,0,119.33751499964274,0,0.0,,,,,semantic_mem/00009,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,In which city did Alice buy the coin?,Rome,New York City,0,0,0.0,3,1,1,0,120.87884499851498,0,0.0,,,,,semantic_mem/00010,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,In which city did Carol buy the book?,London,New York City,0,0,0.0,3,1,1,0,122.75874700208078,0,0.0,,,,,semantic_mem/00011,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,In which city did Alice buy the apple?,Rome,New York City,0,0,0.0,3,1,1,0,119.69705700175837,0,0.0,,,,,semantic_mem/00012,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,In which city did Alice buy the coin?,London,New York City,0,0,0.0,3,1,1,0,119.12370399659267,0,0.0,,,,,semantic_mem/00013,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,In which city did Bob buy the ball?,Rome,New York City,0,0,0.0,3,1,1,0,121.16154600153095,0,0.0,,,,,semantic_mem/00014,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,In which city did Dave buy the ball?,London,New York City,0,0,0.0,3,1,1,0,119.65444700035732,0,0.0,,,,,semantic_mem/00015,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,In which city did Bob buy the coin?,Berlin,New York City,0,0,0.0,3,1,1,0,123.67312299829791,0,0.0,,,,,semantic_mem/00016,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,In which city did Bob buy the coin?,Rome,New York City,0,0,0.0,3,1,1,0,118.71319100100663,0,0.0,,,,,semantic_mem/00017,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,In which city did Carol buy the coin?,Berlin,New York City,0,0,0.0,3,1,1,0,120.36317099773441,0,0.0,,,,,semantic_mem/00018,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,In which city did Carol buy the apple?,Paris,New York City,0,0,0.0,3,1,1,0,122.05526199977612,0,0.0,,,,,semantic_mem/00019,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,In which city did Carol buy the coin?,Berlin,New York City,0,0,0.0,3,1,1,0,120.52961299923481,0,0.0,,,,,semantic_mem/00020,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,In which city did Dave buy the apple?,Berlin,New York City,0,0,0.0,3,1,1,0,122.5139960006345,0,0.0,,,,,semantic_mem/00021,0,0,0,0,0.0,,,,,318.9595232511481,1696.8125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
