idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol saw at the Park on Thursday. Where was Carol?,the Park,Park,0,1,0.6666666666666666,1,2,0,0,359.62094999922556,,,,,339.889554310298,1685.0625,pre_replay,False,0.45835513999918476,1.0,50,50,50,50,0.1111775998288067,0.0,0,50,50,50,0.06185922022268642,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
1,Bob helped at the Cafe on Thursday. When was Bob at the Cafe?,Thursday,Thursday.,0,1,0.0,1,1,0,1,98.78262799975346,,,,,339.889554310298,1685.0625,pre_replay,False,0.45835513999918476,1.0,50,50,50,50,0.1111775998288067,0.0,0,50,50,50,0.06185922022268642,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol found at the Mall on Wednesday. Who was at the Mall?,Carol,Carol.,0,1,0.0,1,1,0,1,97.77967099944362,,,,,339.889554310298,1685.0625,pre_replay,False,0.45835513999918476,1.0,50,50,50,50,0.1111775998288067,0.0,0,50,50,50,0.06185922022268642,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
3,Dave saw at the Library on Wednesday. When was Dave at the Library?,Wednesday,Wednesday,1,1,1.0,1,1,0,0,73.57040199713083,,,,,339.889554310298,1685.0625,pre_replay,False,0.45835513999918476,1.0,50,50,50,50,0.1111775998288067,0.0,0,50,50,50,0.06185922022268642,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
4,Alice met at the Cafe on Thursday. Who was at the Cafe?,Alice,Alice was at the Cafe.,0,0,0.33333333333333337,5,1,1,1,196.13406500138808,,,,,339.889554310298,1685.0625,pre_replay,False,0.45835513999918476,1.0,50,50,50,50,0.1111775998288067,0.0,0,50,50,50,0.06185922022268642,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
5,Bob met at the Park on Tuesday. When was Bob at the Park?,Tuesday,Tuesday.,0,1,0.0,1,1,0,1,97.2811770006956,,,,,339.889554310298,1685.0625,pre_replay,False,0.45835513999918476,1.0,50,50,50,50,0.1111775998288067,0.0,0,50,50,50,0.06185922022268642,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
6,Carol met at the Park on Thursday. What did Carol do?,met,met at the Park,0,0,0.4,4,1,1,0,145.02931899914984,,,,,339.889554310298,1685.0625,pre_replay,False,0.45835513999918476,1.0,50,50,50,50,0.1111775998288067,0.0,0,50,50,50,0.06185922022268642,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
7,Carol saw at the Library on Tuesday. Who was at the Library?,Carol,Carol.,0,1,0.0,1,1,0,1,97.96885200194083,,,,,339.889554310298,1685.0625,pre_replay,False,0.45835513999918476,1.0,50,50,50,50,0.1111775998288067,0.0,0,50,50,50,0.06185922022268642,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
8,Dave met at the Mall on Wednesday. Where was Dave?,the Mall,The Mall.,0,1,0.0,2,2,0,1,121.4144639998267,,,,,339.889554310298,1685.0625,pre_replay,False,0.45835513999918476,1.0,50,50,50,50,0.1111775998288067,0.0,0,50,50,50,0.06185922022268642,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
9,Alice saw at the Park on Monday. What did Alice do?,saw,Saw at the Park.,0,0,0.0,4,1,1,1,195.57752099717618,,,,,339.889554310298,1685.0625,pre_replay,False,0.45835513999918476,1.0,50,50,50,50,0.1111775998288067,0.0,0,50,50,50,0.06185922022268642,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
