idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.aggregated,gating.episodic.attempts,gating.episodic.blocked,gating.episodic.blocked_new_edges,gating.episodic.inserted,gating.episodic.null_input,gating.episodic.routed_to_episodic,gating.episodic.skipped,gating.relational.accepted,gating.relational.aggregated,gating.relational.attempts,gating.relational.blocked,gating.relational.blocked_new_edges,gating.relational.inserted,gating.relational.null_input,gating.relational.routed_to_episodic,gating.relational.skipped,gating.spatial.accepted,gating.spatial.aggregated,gating.spatial.attempts,gating.spatial.blocked,gating.spatial.blocked_new_edges,gating.spatial.inserted,gating.spatial.null_input,gating.spatial.routed_to_episodic,gating.spatial.skipped
0,Alice found at the Library on Monday. Carol found at the Library on Monday. Dave found at the Cafe on Monday. Alice saw at the Mall on Monday. Dave met at the Cafe on Monday. Alice saw at the Cafe on Monday. What did Dave do?,met,Dave met at the Cafe on Monday.,0,0,0.25,7,1,1,1,244.21719000019948,,,,,210.20287779334438,2321.05859375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dave found at the Park on Monday. Alice saw at the Library on Monday. Bob met at the Cafe on Tuesday. Carol met at the Mall on Wednesday. Dave saw at the Park on Thursday. Carol found at the Park on Thursday. Who was at the Park?,Dave,Alice and Carol were at the Park.,0,0,0.0,7,1,1,1,242.75189000036335,,,,,210.20287779334438,2321.05859375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Alice helped at the Library on Wednesday. Bob helped at the Library on Wednesday. Carol helped at the Park on Monday. Bob helped at the Park on Tuesday. Alice helped at the Library on Thursday. Carol saw at the Library on Wednesday. Who was at the Library?,Alice,Alice and Carol were at the Library.,0,0,0.25,7,1,1,1,243.29538300025888,,,,,210.20287779334438,2321.05859375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Alice saw at the Library on Tuesday. Bob saw at the Mall on Tuesday. Carol met at the Cafe on Thursday. Bob saw at the Library on Tuesday. Carol helped at the Library on Wednesday. Dave helped at the Library on Tuesday. When was Carol at the Library?,Wednesday,Thursday.,0,0,0.0,1,1,0,1,102.62635699928069,,,,,210.20287779334438,2321.05859375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Dave saw at the Cafe on Tuesday. Bob found at the Park on Tuesday. Alice helped at the Park on Wednesday. Dave helped at the Park on Monday. Bob helped at the Mall on Thursday. Dave found at the Mall on Wednesday. Where was Bob?,the Mall,The Park,0,0,0.0,2,2,0,0,102.20231499988586,,,,,210.20287779334438,2321.05859375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Bob saw at the Park on Monday. Carol saw at the Library on Thursday. Bob met at the Cafe on Tuesday. Carol helped at the Cafe on Monday. Alice helped at the Park on Tuesday. Dave helped at the Park on Wednesday. What did Alice do?,helped,Alice helped at the Park on Tuesday.,0,0,0.25,7,1,1,1,244.34432099951664,,,,,210.20287779334438,2321.05859375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Dave helped at the Park on Wednesday. Bob helped at the Mall on Monday. Carol met at the Mall on Tuesday. Alice found at the Mall on Wednesday. Dave met at the Cafe on Wednesday. Alice met at the Cafe on Thursday. When was Dave at the Cafe?,Wednesday,Wednesday.,0,0,0.0,1,1,0,1,103.03592999935063,,,,,210.20287779334438,2321.05859375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Carol met at the Park on Wednesday. Alice saw at the Mall on Wednesday. Alice helped at the Park on Wednesday. Alice found at the Cafe on Wednesday. Carol helped at the Cafe on Monday. Dave met at the Cafe on Wednesday. Where was Carol?,the Cafe,at the Park,0,0,0.4,3,2,1,0,124.99758000012662,,,,,210.20287779334438,2321.05859375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Carol helped at the Park on Tuesday. Bob saw at the Library on Wednesday. Alice found at the Mall on Thursday. Bob saw at the Library on Monday. Dave helped at the Library on Monday. Carol helped at the Library on Wednesday. What did Dave do?,helped,Helped at the Library.,0,0,0.0,4,1,1,1,194.90603499980352,,,,,210.20287779334438,2321.05859375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Bob found at the Library on Tuesday. Alice met at the Park on Thursday. Carol found at the Cafe on Monday. Carol saw at the Cafe on Tuesday. Carol saw at the Park on Wednesday. Dave met at the Park on Tuesday. Who was at the Park?,Carol,"Alice, Dave, and Carol were at the Park on Thursday.",0,0,0.18181818181818182,10,1,1,1,357.52417000003334,,,,,210.20287779334438,2321.05859375,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
