idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.episodic.accepts,gates.episodic.aggregated,gates.episodic.attempts,gates.episodic.blocked_new_edges,gates.episodic.inserted,gates.episodic.routed_to_episodic,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol went to the Library. --- FLUSH --- Where did Carol go?,the Library,The Library.,,,,2,2,0,1,130.81529600003705,,,,,pre_replay,False,0.45492547997127986,1.0,50,50,50,50,0.1133215199888582,0.0,0,50,50,50,0.06299480000052426,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Carol went to the Mall. --- FLUSH --- Where did Carol go?,the Mall,Mall,,,,1,2,0,0,103.9646100000482,,,,,pre_replay,False,0.45492547997127986,1.0,50,50,50,50,0.1133215199888582,0.0,0,50,50,50,0.06299480000052426,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol went to the Park. --- FLUSH --- Where did Carol go?,the Park,Park,,,,1,2,0,0,80.6587249999211,,,,,pre_replay,False,0.45492547997127986,1.0,50,50,50,50,0.1133215199888582,0.0,0,50,50,50,0.06299480000052426,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,Library.,,,,1,2,0,1,104.79954499987798,,,,,pre_replay,False,0.45492547997127986,1.0,50,50,50,50,0.1133215199888582,0.0,0,50,50,50,0.06299480000052426,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,,,,1,2,0,0,105.40005799998653,,,,,pre_replay,False,0.45492547997127986,1.0,50,50,50,50,0.1133215199888582,0.0,0,50,50,50,0.06299480000052426,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Dave went to the Mall. --- FLUSH --- Where did Dave go?,the Mall,Mall,,,,1,2,0,0,104.97503700003108,,,,,pre_replay,False,0.45492547997127986,1.0,50,50,50,50,0.1133215199888582,0.0,0,50,50,50,0.06299480000052426,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Alice went to the Park. --- FLUSH --- Where did Alice go?,the Park,The Park.,,,,2,2,0,1,131.51095900002474,,,,,pre_replay,False,0.45492547997127986,1.0,50,50,50,50,0.1133215199888582,0.0,0,50,50,50,0.06299480000052426,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Dave went to the Mall. --- FLUSH --- Where did Dave go?,the Mall,Mall.,,,,1,2,0,1,129.93347100018582,,,,,pre_replay,False,0.45492547997127986,1.0,50,50,50,50,0.1133215199888582,0.0,0,50,50,50,0.06299480000052426,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,,,,1,2,0,0,104.81949499990151,,,,,pre_replay,False,0.45492547997127986,1.0,50,50,50,50,0.1133215199888582,0.0,0,50,50,50,0.06299480000052426,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,,,,1,2,0,0,103.5156380000899,,,,,pre_replay,False,0.45492547997127986,1.0,50,50,50,50,0.1133215199888582,0.0,0,50,50,50,0.06299480000052426,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,The Library.,,,,2,2,0,1,132.6770860000579,,,,,pre_replay,False,0.45492547997127986,1.0,50,50,50,50,0.1133215199888582,0.0,0,50,50,50,0.06299480000052426,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Bob went to the Park. --- FLUSH --- Where did Bob go?,the Park,The Park.,,,,2,2,0,1,130.04293099993447,,,,,pre_replay,False,0.45492547997127986,1.0,50,50,50,50,0.1133215199888582,0.0,0,50,50,50,0.06299480000052426,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Dave went to the Park. --- FLUSH --- Where did Dave go?,the Park,The Park.,,,,2,2,0,1,129.03237600016837,,,,,pre_replay,False,0.45492547997127986,1.0,50,50,50,50,0.1133215199888582,0.0,0,50,50,50,0.06299480000052426,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Bob went to the Cafe. --- FLUSH --- Where did Bob go?,the Cafe,Cafe,,,,1,2,0,0,103.13946600012969,,,,,pre_replay,False,0.45492547997127986,1.0,50,50,50,50,0.1133215199888582,0.0,0,50,50,50,0.06299480000052426,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Alice went to the Cafe. --- FLUSH --- Where did Alice go?,the Cafe,Cafe,,,,1,2,0,0,103.9307410001129,,,,,pre_replay,False,0.45492547997127986,1.0,50,50,50,50,0.1133215199888582,0.0,0,50,50,50,0.06299480000052426,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
