idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol went to the Library. --- FLUSH --- Where did Carol go?,the Library,Library.,,,,1,2,0,1,103.55443499997818,,,,,pre_replay,False,0.4287933600107863,1.0,50,50,50,50,0.10626548000118419,0.0,0,50,50,50,0.06320023999705882,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
1,Carol went to the Mall. --- FLUSH --- Where did Carol go?,the Mall,Mall,,,,1,2,0,0,103.47185400007675,,,,,pre_replay,False,0.4287933600107863,1.0,50,50,50,50,0.10626548000118419,0.0,0,50,50,50,0.06320023999705882,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol went to the Park. --- FLUSH --- Where did Carol go?,the Park,Park.,,,,1,2,0,1,102.89333200000783,,,,,pre_replay,False,0.4287933600107863,1.0,50,50,50,50,0.10626548000118419,0.0,0,50,50,50,0.06320023999705882,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
3,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,Library,,,,1,2,0,0,75.6747660000201,,,,,pre_replay,False,0.4287933600107863,1.0,50,50,50,50,0.10626548000118419,0.0,0,50,50,50,0.06320023999705882,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
4,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,,,,1,2,0,0,101.66605699998854,,,,,pre_replay,False,0.4287933600107863,1.0,50,50,50,50,0.10626548000118419,0.0,0,50,50,50,0.06320023999705882,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
5,Dave went to the Mall. --- FLUSH --- Where did Dave go?,the Mall,The Mall.,,,,2,2,0,1,128.07356100006473,,,,,pre_replay,False,0.4287933600107863,1.0,50,50,50,50,0.10626548000118419,0.0,0,50,50,50,0.06320023999705882,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
6,Alice went to the Park. --- FLUSH --- Where did Alice go?,the Park,The Park.,,,,2,2,0,1,129.23774399996546,,,,,pre_replay,False,0.4287933600107863,1.0,50,50,50,50,0.10626548000118419,0.0,0,50,50,50,0.06320023999705882,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
7,Dave went to the Mall. --- FLUSH --- Where did Dave go?,the Mall,The Mall.,,,,2,2,0,1,128.78637300002538,,,,,pre_replay,False,0.4287933600107863,1.0,50,50,50,50,0.10626548000118419,0.0,0,50,50,50,0.06320023999705882,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
8,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,,,,1,2,0,0,103.28846400000202,,,,,pre_replay,False,0.4287933600107863,1.0,50,50,50,50,0.10626548000118419,0.0,0,50,50,50,0.06320023999705882,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
9,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,,,,1,2,0,0,102.0079979999764,,,,,pre_replay,False,0.4287933600107863,1.0,50,50,50,50,0.10626548000118419,0.0,0,50,50,50,0.06320023999705882,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
