idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,memory_hit,retrieval_latency_ms,router_path,topk_keys,distance,justification,context_key,retrieval_requests,writes_count,store_size_before,store_size_after,context_match_rate,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.attempts,gating.episodic.skipped,gating.relational.accepted,gating.relational.attempts,gating.relational.skipped,gating.spatial.accepted,gating.spatial.attempts,gating.spatial.skipped
0,Where did Carol go? Answer with the location name only.,Library,Paris,0,0,0.0,1,1,0,0,386.532709999301,0,0.0,,,,,episodic_cross_mem/00001,0,0,0,0,0.0,,,,,224.37976589789696,1804.078125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Where did Carol go? Answer with the location name only.,Park,Paris,0,0,0.0,1,1,0,0,66.80603600034374,0,0.0,,,,,episodic_cross_mem/00002,0,0,0,0,0.0,,,,,224.37976589789696,1804.078125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Where did Carol go? Answer with the location name only.,Cafe,Paris,0,0,0.0,1,1,0,0,66.4508139998361,0,0.0,,,,,episodic_cross_mem/00003,0,0,0,0,0.0,,,,,224.37976589789696,1804.078125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Where did Alice go? Answer with the location name only.,Park,Wonderland,0,0,0.0,1,1,0,0,90.19434999936493,0,0.0,,,,,episodic_cross_mem/00004,0,0,0,0,0.0,,,,,224.37976589789696,1804.078125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Where did Carol go? Answer with the location name only.,Cafe,Paris,0,0,0.0,1,1,0,0,66.19134299762663,0,0.0,,,,,episodic_cross_mem/00005,0,0,0,0,0.0,,,,,224.37976589789696,1804.078125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Where did Alice go? Answer with the location name only.,Mall,Wonderland,0,0,0.0,1,1,0,0,92.79985800094437,0,0.0,,,,,episodic_cross_mem/00006,0,0,0,0,0.0,,,,,224.37976589789696,1804.078125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Where did Carol go? Answer with the location name only.,Mall,Paris,0,0,0.0,1,1,0,0,67.3996410005202,0,0.0,,,,,episodic_cross_mem/00007,0,0,0,0,0.0,,,,,224.37976589789696,1804.078125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Where did Bob go? Answer with the location name only.,Cafe,New York City,0,0,0.0,3,1,1,0,113.87092500081053,0,0.0,,,,,episodic_cross_mem/00008,0,0,0,0,0.0,,,,,224.37976589789696,1804.078125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Where did Alice go? Answer with the location name only.,Cafe,Wonderland,0,0,0.0,1,1,0,0,90.16440999766928,0,0.0,,,,,episodic_cross_mem/00009,0,0,0,0,0.0,,,,,224.37976589789696,1804.078125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Where did Alice go? Answer with the location name only.,Cafe,Wonderland,0,0,0.0,1,1,0,0,90.38556099767447,0,0.0,,,,,episodic_cross_mem/00010,0,0,0,0,0.0,,,,,224.37976589789696,1804.078125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Where did Alice go? Answer with the location name only.,Park,Wonderland,0,0,0.0,1,1,0,0,92.69156699883752,0,0.0,,,,,episodic_cross_mem/00011,0,0,0,0,0.0,,,,,224.37976589789696,1804.078125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Where did Carol go? Answer with the location name only.,Cafe,Paris,0,0,0.0,1,1,0,0,66.25720300144167,0,0.0,,,,,episodic_cross_mem/00012,0,0,0,0,0.0,,,,,224.37976589789696,1804.078125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Where did Dave go? Answer with the location name only.,Library,Paris,0,0,0.0,1,1,0,0,66.38275400109706,0,0.0,,,,,episodic_cross_mem/00013,0,0,0,0,0.0,,,,,224.37976589789696,1804.078125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Where did Carol go? Answer with the location name only.,Library,Paris,0,0,0.0,1,1,0,0,66.34360300085973,0,0.0,,,,,episodic_cross_mem/00014,0,0,0,0,0.0,,,,,224.37976589789696,1804.078125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Where did Bob go? Answer with the location name only.,Cafe,Paris,0,0,0.0,1,1,0,0,66.56622499940568,0,0.0,,,,,episodic_cross_mem/00015,0,0,0,0,0.0,,,,,224.37976589789696,1804.078125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
