idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.episodic.accepts,gates.episodic.aggregated,gates.episodic.attempts,gates.episodic.blocked_new_edges,gates.episodic.inserted,gates.episodic.routed_to_episodic,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol bought a apple at StoreB. StoreB is in Berlin. In which city did Carol buy the apple?,Berlin,Berlin,,,,1,1,0,0,81.05486199997358,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Carol bought a ball at StoreB. StoreB is in London. In which city did Carol buy the ball?,London,London.,,,,1,1,0,1,106.99757999987014,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol bought a book at StoreB. StoreB is in Berlin. In which city did Carol buy the book?,Berlin,Berlin,,,,1,1,0,0,81.6325149999102,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Alice bought a ball at StoreB. StoreB is in Berlin. In which city did Alice buy the ball?,Berlin,Berlin,,,,1,1,0,0,79.96884499993939,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Carol bought a book at StoreB. StoreB is in Paris. In which city did Carol buy the book?,Paris,Paris,,,,1,1,0,0,81.04781200017896,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Dave bought a apple at StoreA. StoreA is in Rome. In which city did Dave buy the apple?,Rome,Rome,,,,1,1,0,0,106.2671950001004,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Dave bought a ball at StoreA. StoreA is in Paris. In which city did Dave buy the ball?,Paris,Paris.,,,,1,1,0,1,106.29676599978666,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Alice bought a book at StoreB. StoreB is in Paris. In which city did Alice buy the book?,Paris,Paris,,,,1,1,0,0,80.64352900009908,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Alice bought a apple at StoreA. StoreA is in Paris. In which city did Alice buy the apple?,Paris,Paris,,,,1,1,0,0,81.2429830000383,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Carol bought a apple at StoreB. StoreB is in Rome. In which city did Carol buy the apple?,Rome,Rome,,,,1,1,0,0,107.13221000014528,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Alice bought a ball at StoreB. StoreB is in London. In which city did Alice buy the ball?,London,London,,,,1,1,0,0,80.2723680001236,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Alice bought a ball at StoreA. StoreA is in London. In which city did Alice buy the ball?,London,London,,,,1,1,0,0,82.04472700003862,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Bob bought a book at StoreC. StoreC is in Berlin. In which city did Bob buy the book?,Berlin,Berlin,,,,1,1,0,0,82.21773800005394,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Dave bought a book at StoreC. StoreC is in Berlin. In which city did Dave buy the book?,Berlin,Berlin.,,,,1,1,0,1,106.19020499984799,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Carol bought a ball at StoreB. StoreB is in Paris. In which city did Carol buy the ball?,Paris,Paris.,,,,1,1,0,1,109.48642399989694,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bob bought a book at StoreA. StoreA is in Rome. In which city did Bob buy the book?,Rome,Rome,,,,1,1,0,0,105.8061030000772,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Alice bought a apple at StoreB. StoreB is in Rome. In which city did Alice buy the apple?,Rome,Rome.,,,,1,1,0,1,132.88953699998274,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Alice bought a apple at StoreB. StoreB is in Rome. In which city did Alice buy the apple?,Rome,Rome,,,,1,1,0,0,105.76069199987614,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Alice bought a coin at StoreB. StoreB is in London. In which city did Alice buy the coin?,London,London,,,,1,1,0,0,79.96679500001846,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Alice bought a coin at StoreB. StoreB is in Berlin. In which city did Alice buy the coin?,Berlin,Berlin,,,,1,1,0,0,81.78834599993934,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Alice bought a apple at StoreB. StoreB is in Rome. In which city did Alice buy the apple?,Rome,Rome,,,,1,1,0,0,106.00671400015926,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Bob bought a apple at StoreA. StoreA is in Berlin. In which city did Bob buy the apple?,Berlin,Berlin,,,,1,1,0,0,103.79166099983195,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Dave bought a coin at StoreC. StoreC is in Rome. In which city did Dave buy the coin?,Rome,Rome.,,,,1,1,0,1,134.44376500001454,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Bob bought a apple at StoreC. StoreC is in Rome. In which city did Bob buy the apple?,Rome,Rome.,,,,1,1,0,1,132.8806760000134,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Dave bought a apple at StoreC. StoreC is in Berlin. In which city did Dave buy the apple?,Berlin,Berlin,,,,1,1,0,0,81.75388500012559,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Bob bought a coin at StoreC. StoreC is in Rome. In which city did Bob buy the coin?,Rome,Rome,,,,1,1,0,0,106.21485399997255,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Alice bought a book at StoreC. StoreC is in London. In which city did Alice buy the book?,London,London,,,,1,1,0,0,81.5834550001,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Dave bought a ball at StoreC. StoreC is in Rome. In which city did Dave buy the ball?,Rome,Rome.,,,,1,1,0,1,134.9797979999039,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Dave bought a ball at StoreA. StoreA is in Rome. In which city did Dave buy the ball?,Rome,Rome.,,,,1,1,0,1,133.6517909999202,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Dave bought a coin at StoreC. StoreC is in Berlin. In which city did Dave buy the coin?,Berlin,Berlin,,,,1,1,0,0,82.52587899983155,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Bob bought a ball at StoreC. StoreC is in London. In which city did Bob buy the ball?,London,London.,,,,1,1,0,1,105.60000100008438,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Dave bought a book at StoreB. StoreB is in Paris. In which city did Dave buy the book?,Paris,Paris,,,,1,1,0,0,81.33955299990703,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Carol bought a book at StoreB. StoreB is in Berlin. In which city did Carol buy the book?,Berlin,Berlin,,,,1,1,0,0,81.70640499997717,,,,,pre_replay,False,0.5028842200135841,1.0,50,50,50,50,0.11204066000118473,0.0,0,50,50,50,0.06623299998409493,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
