idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,memory_hit,retrieval_latency_ms,router_path,topk_keys,distance,justification,context_key,retrieval_requests,writes_count,store_size_before,store_size_after,context_match_rate,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.attempts,gating.episodic.skipped,gating.relational.accepted,gating.relational.attempts,gating.relational.skipped,gating.spatial.accepted,gating.spatial.attempts,gating.spatial.skipped
0,Where did Carol go? Answer with the location name only.,Library,Paris,0,0,0.0,1,1,0,0,422.3652939981548,0,0.0,,,,,episodic_cross_mem/00001,0,0,0,0,0.0,,,,,230.98688897093427,1844.45703125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Where did Carol go? Answer with the location name only.,Park,Paris,0,0,0.0,1,1,0,0,72.41256999986945,0,0.0,,,,,episodic_cross_mem/00002,0,0,0,0,0.0,,,,,230.98688897093427,1844.45703125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Where did Carol go? Answer with the location name only.,Cafe,Paris,0,0,0.0,1,1,0,0,70.96759099658811,0,0.0,,,,,episodic_cross_mem/00003,0,0,0,0,0.0,,,,,230.98688897093427,1844.45703125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Where did Alice go? Answer with the location name only.,Park,Wonderland,0,0,0.0,1,1,0,0,96.29936599958455,0,0.0,,,,,episodic_cross_mem/00004,0,0,0,0,0.0,,,,,230.98688897093427,1844.45703125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Where did Carol go? Answer with the location name only.,Cafe,Paris,0,0,0.0,1,1,0,0,70.47907800006215,0,0.0,,,,,episodic_cross_mem/00005,0,0,0,0,0.0,,,,,230.98688897093427,1844.45703125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Where did Alice go? Answer with the location name only.,Mall,Wonderland,0,0,0.0,1,1,0,0,97.07574999993085,0,0.0,,,,,episodic_cross_mem/00006,0,0,0,0,0.0,,,,,230.98688897093427,1844.45703125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Where did Carol go? Answer with the location name only.,Mall,Paris,0,0,0.0,1,1,0,0,70.41845799903967,0,0.0,,,,,episodic_cross_mem/00007,0,0,0,0,0.0,,,,,230.98688897093427,1844.45703125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Where did Bob go? Answer with the location name only.,Cafe,Paris,0,0,0.0,1,1,0,0,69.82852399960393,0,0.0,,,,,episodic_cross_mem/00008,0,0,0,0,0.0,,,,,230.98688897093427,1844.45703125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Where did Alice go? Answer with the location name only.,Cafe,Wonderland,0,0,0.0,1,1,0,0,95.51128000020981,0,0.0,,,,,episodic_cross_mem/00009,0,0,0,0,0.0,,,,,230.98688897093427,1844.45703125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Where did Alice go? Answer with the location name only.,Cafe,Wonderland,0,0,0.0,1,1,0,0,93.54440799870645,0,0.0,,,,,episodic_cross_mem/00010,0,0,0,0,0.0,,,,,230.98688897093427,1844.45703125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
