idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,time_ms_per_100,rss_mb,flags,gating_enabled
0,"Distractor: Bob likes red. Distractor: Carol likes yellow. Distractor: Bob likes red. Distractor: Dave likes yellow. Distractor: Alice likes red. Distractor: Alice likes blue. Distractor: Dave likes red. Distractor: Dave likes red. Alice likes yellow. Actually, Alice likes green. What color does Alice like?",green,green,1,1,1.0,1,1,0,0,0.1284009999835689,0.022166800004520662,633.59375,pre_replay,False
1,"Distractor: Bob likes blue. Distractor: Alice likes blue. Distractor: Dave likes yellow. Distractor: Carol likes red. Distractor: Alice likes blue. Distractor: Bob likes red. Distractor: Bob likes red. Distractor: Alice likes blue. Alice likes red. Actually, Alice likes yellow. What color does Alice like?",yellow,yellow,1,1,1.0,1,1,0,0,0.011040000117645832,0.022166800004520662,633.59375,pre_replay,False
2,"Distractor: Dave likes green. Distractor: Dave likes blue. Distractor: Carol likes yellow. Distractor: Dave likes yellow. Distractor: Alice likes yellow. Distractor: Alice likes green. Distractor: Bob likes green. Distractor: Bob likes green. Carol likes red. Actually, Carol likes blue. What color does Carol like?",blue,blue,1,1,1.0,1,1,0,0,0.008440000328846509,0.022166800004520662,633.59375,pre_replay,False
3,"Distractor: Carol likes green. Distractor: Alice likes blue. Distractor: Carol likes green. Distractor: Bob likes red. Distractor: Carol likes blue. Distractor: Dave likes green. Distractor: Bob likes green. Distractor: Alice likes yellow. Carol likes green. Actually, Carol likes yellow. What color does Carol like?",yellow,yellow,1,1,1.0,1,1,0,0,0.007749999895168003,0.022166800004520662,633.59375,pre_replay,False
4,"Distractor: Bob likes blue. Distractor: Bob likes blue. Distractor: Dave likes blue. Distractor: Carol likes red. Distractor: Alice likes yellow. Distractor: Bob likes blue. Distractor: Bob likes blue. Distractor: Carol likes green. Alice likes blue. Actually, Alice likes yellow. What color does Alice like?",yellow,yellow,1,1,1.0,1,1,0,0,0.007159999768191483,0.022166800004520662,633.59375,pre_replay,False
5,"Distractor: Carol likes blue. Distractor: Dave likes blue. Distractor: Dave likes blue. Distractor: Alice likes blue. Distractor: Bob likes yellow. Distractor: Carol likes blue. Distractor: Alice likes green. Distractor: Carol likes green. Bob likes green. Actually, Bob likes yellow. What color does Bob like?",yellow,yellow,1,1,1.0,1,1,0,0,0.007409999852825422,0.022166800004520662,633.59375,pre_replay,False
6,"Distractor: Carol likes red. Distractor: Bob likes green. Distractor: Dave likes yellow. Distractor: Dave likes green. Distractor: Carol likes red. Distractor: Bob likes blue. Distractor: Carol likes red. Distractor: Carol likes blue. Dave likes green. Actually, Dave likes yellow. What color does Dave like?",yellow,yellow,1,1,1.0,1,1,0,0,0.0071200001912075095,0.022166800004520662,633.59375,pre_replay,False
7,"Distractor: Bob likes red. Distractor: Alice likes blue. Distractor: Carol likes green. Distractor: Alice likes red. Distractor: Alice likes green. Distractor: Carol likes blue. Distractor: Carol likes green. Distractor: Bob likes red. Bob likes yellow. Actually, Bob likes green. What color does Bob like?",green,green,1,1,1.0,1,1,0,0,0.007130000085453503,0.022166800004520662,633.59375,pre_replay,False
8,"Distractor: Carol likes green. Distractor: Carol likes blue. Distractor: Carol likes yellow. Distractor: Alice likes green. Distractor: Alice likes yellow. Distractor: Bob likes red. Distractor: Dave likes yellow. Distractor: Carol likes yellow. Dave likes yellow. Actually, Dave likes red. What color does Dave like?",red,red,1,1,1.0,1,1,0,0,0.007000000096013537,0.022166800004520662,633.59375,pre_replay,False
9,"Distractor: Alice likes red. Distractor: Dave likes yellow. Distractor: Carol likes red. Distractor: Carol likes red. Distractor: Carol likes green. Distractor: Alice likes blue. Distractor: Dave likes green. Distractor: Alice likes green. Alice likes green. Actually, Alice likes blue. What color does Alice like?",blue,blue,1,1,1.0,1,1,0,0,0.007249999725900125,0.022166800004520662,633.59375,pre_replay,False
10,"Distractor: Dave likes red. Distractor: Carol likes green. Distractor: Carol likes red. Distractor: Alice likes red. Distractor: Carol likes green. Distractor: Dave likes red. Distractor: Bob likes green. Distractor: Carol likes green. Carol likes red. Actually, Carol likes yellow. What color does Carol like?",yellow,yellow,1,1,1.0,1,1,0,0,0.006859999757580226,0.022166800004520662,633.59375,pre_replay,False
11,"Distractor: Bob likes blue. Distractor: Carol likes red. Distractor: Dave likes yellow. Distractor: Dave likes blue. Distractor: Bob likes blue. Distractor: Alice likes yellow. Distractor: Carol likes blue. Distractor: Alice likes green. Bob likes blue. Actually, Bob likes green. What color does Bob like?",green,green,1,1,1.0,1,1,0,0,0.006939999821042875,0.022166800004520662,633.59375,pre_replay,False
12,"Distractor: Dave likes blue. Distractor: Dave likes blue. Distractor: Bob likes red. Distractor: Alice likes green. Distractor: Dave likes green. Distractor: Dave likes red. Distractor: Alice likes green. Distractor: Bob likes red. Bob likes red. Actually, Bob likes blue. What color does Bob like?",blue,blue,1,1,1.0,1,1,0,0,0.006759999905625591,0.022166800004520662,633.59375,pre_replay,False
13,"Distractor: Carol likes green. Distractor: Alice likes blue. Distractor: Alice likes blue. Distractor: Alice likes blue. Distractor: Bob likes blue. Distractor: Dave likes blue. Distractor: Alice likes red. Distractor: Bob likes blue. Carol likes blue. Actually, Carol likes yellow. What color does Carol like?",yellow,yellow,1,1,1.0,1,1,0,0,0.006750000011379598,0.022166800004520662,633.59375,pre_replay,False
14,"Distractor: Carol likes blue. Distractor: Carol likes blue. Distractor: Carol likes yellow. Distractor: Dave likes blue. Distractor: Bob likes green. Distractor: Bob likes blue. Distractor: Carol likes blue. Distractor: Carol likes green. Alice likes red. Actually, Alice likes yellow. What color does Alice like?",yellow,yellow,1,1,1.0,1,1,0,0,0.006570000095962314,0.022166800004520662,633.59375,pre_replay,False
15,"Distractor: Carol likes yellow. Distractor: Alice likes blue. Distractor: Bob likes red. Distractor: Bob likes red. Distractor: Carol likes green. Distractor: Bob likes blue. Distractor: Dave likes yellow. Distractor: Dave likes red. Bob likes yellow. Actually, Bob likes blue. What color does Bob like?",blue,blue,1,1,1.0,1,1,0,0,0.006579999990208307,0.022166800004520662,633.59375,pre_replay,False
16,"Distractor: Bob likes red. Distractor: Carol likes blue. Distractor: Alice likes green. Distractor: Alice likes red. Distractor: Alice likes green. Distractor: Alice likes green. Distractor: Carol likes green. Distractor: Bob likes red. Carol likes yellow. Actually, Carol likes blue. What color does Carol like?",blue,blue,1,1,1.0,1,1,0,0,0.006649999704677612,0.022166800004520662,633.59375,pre_replay,False
17,"Distractor: Alice likes green. Distractor: Bob likes green. Distractor: Carol likes green. Distractor: Bob likes red. Distractor: Alice likes yellow. Distractor: Bob likes red. Distractor: Carol likes red. Distractor: Bob likes blue. Alice likes blue. Actually, Alice likes green. What color does Alice like?",green,green,1,1,1.0,1,1,0,0,0.006880000000819564,0.022166800004520662,633.59375,pre_replay,False
18,"Distractor: Bob likes yellow. Distractor: Dave likes red. Distractor: Carol likes blue. Distractor: Bob likes blue. Distractor: Alice likes yellow. Distractor: Alice likes blue. Distractor: Carol likes blue. Distractor: Alice likes red. Bob likes yellow. Actually, Bob likes blue. What color does Bob like?",blue,blue,1,1,1.0,1,1,0,0,0.0069210000219754875,0.022166800004520662,633.59375,pre_replay,False
19,"Distractor: Dave likes blue. Distractor: Carol likes green. Distractor: Bob likes green. Distractor: Carol likes red. Distractor: Alice likes green. Distractor: Carol likes blue. Distractor: Dave likes yellow. Distractor: Carol likes blue. Dave likes yellow. Actually, Dave likes red. What color does Dave like?",red,red,1,1,1.0,1,1,0,0,0.006740000117133604,0.022166800004520662,633.59375,pre_replay,False
20,"Distractor: Bob likes blue. Distractor: Carol likes red. Distractor: Carol likes green. Distractor: Alice likes blue. Distractor: Carol likes yellow. Distractor: Bob likes red. Distractor: Carol likes red. Distractor: Carol likes green. Dave likes blue. Actually, Dave likes yellow. What color does Dave like?",yellow,yellow,1,1,1.0,1,1,0,0,0.006830000074842246,0.022166800004520662,633.59375,pre_replay,False
21,"Distractor: Dave likes red. Distractor: Dave likes blue. Distractor: Dave likes green. Distractor: Dave likes red. Distractor: Bob likes yellow. Distractor: Carol likes red. Distractor: Carol likes yellow. Distractor: Carol likes blue. Carol likes green. Actually, Carol likes blue. What color does Carol like?",blue,blue,1,1,1.0,1,1,0,0,0.006629999916185625,0.022166800004520662,633.59375,pre_replay,False
