idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,memory_hit,retrieval_latency_ms,router_path,topk_keys,distance,justification,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.attempts,gating.episodic.skipped,gating.relational.accepted,gating.relational.attempts,gating.relational.skipped,gating.spatial.accepted,gating.spatial.attempts,gating.spatial.skipped
0,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (3, 4) goal (1, 4). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",LL,URURDRLRDLLRDDULRUDDRCRDCR,0,0,0.0,1,1,0,0,392.9066440000497,0,0.1670110000304703,['spatial'],,,,False,24,2,12.0,1469.9093712975425,2307.828125,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.11465921999842976,1,0.0,0,16,50,800,800,0,0,0,0,0,0,2,50,48
1,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (4, 0). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UUUU,URUULRDLLRDDULLRDRLDRDRLDDLRDRCRCLLCRCRCR,0,0,0.0,1,1,0,0,644.0470589996039,0,0.10295999982190551,['spatial'],,,,False,36,4,9.0,1469.9093712975425,2307.828125,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.11465921999842976,1,0.0,0,16,50,800,800,0,0,0,0,0,0,2,50,48
2,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 5) goal (5, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UURU,URULLDRLLRDRLRDDLUURUDRLRUDDRUDDRLDDRRCRRDRLURULURURRDDRUURULURURUURRDDRUURULURRDDUUURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULURRDDRUURULUR,0,0,0.0,1,1,0,0,6591.338149999956,0,0.10430100019220845,['spatial'],,,,False,558,4,139.5,1469.9093712975425,2307.828125,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.11465921999842976,1,0.0,0,16,50,800,800,0,0,0,0,0,0,2,50,48
3,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (4, 0). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UUUU,URDRLRDRCULURURDDRCUURURDDRCUURURDDRCUURURDDRCUURURDDRCUURURDDRCUURURDDRCUURURDDRCUURURDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCUURURRDDRCU,0,0,0.0,1,1,0,0,6431.521862999944,0,0.11167999991812394,['spatial'],,,,False,451,4,112.75,1469.9093712975425,2307.828125,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.11465921999842976,1,0.0,0,16,50,800,800,0,0,0,0,0,0,2,50,48
4,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 1) goal (4, 4). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",DDD,URUULRDLLRDRLRUDDRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDDLRCRURRDDLUURRDD,0,0,0.0,1,1,0,0,6622.555222999836,0,0.10061100010716473,['spatial'],,,,False,481,3,160.33333333333334,1469.9093712975425,2307.828125,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.11465921999842976,1,0.0,0,16,50,800,800,0,0,0,0,0,0,2,50,48
5,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (2, 0) goal (4, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RRDD,RDLDRLUURRDDULRDLLURRRDRLDDRDRUCRUDDLUCLRRCRRCRRCR,0,0,0.0,1,1,0,0,727.7354879997802,0,0.14870099994368502,['spatial'],,,,False,45,4,11.25,1469.9093712975425,2307.828125,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.11465921999842976,1,0.0,0,16,50,800,800,0,0,0,0,0,0,2,50,48
6,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (3, 0) goal (4, 3). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RDDD,RLRDLLURRDDULRUDDRLR,0,0,0.0,1,1,0,0,319.3337249999786,0,0.10521999956836225,['spatial'],,,,False,20,4,5.0,1469.9093712975425,2307.828125,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.11465921999842976,1,0.0,0,16,50,800,800,0,0,0,0,0,0,2,50,48
7,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (2, 0) goal (4, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RRDD,RLDRDRLURRDDLLRDLLRDRCUULURUCUUURRCRCCRRCCCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRCRC,0,0,0.0,1,1,0,0,6483.734420000019,0,0.12303100038479897,['spatial'],,,,False,269,4,67.25,1469.9093712975425,2307.828125,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.11465921999842976,1,0.0,0,16,50,800,800,0,0,0,0,0,0,2,50,48
8,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (5, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",URU,RLRDLLURDRULLDDULRRDRLRDRCUUCUCCRCRCRUCUUCRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCRCLRCR,0,0,0.0,1,1,0,0,6426.583961000233,0,0.10936099988612114,['spatial'],,,,False,267,3,89.0,1469.9093712975425,2307.828125,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.11465921999842976,1,0.0,0,16,50,800,800,0,0,0,0,0,0,2,50,48
9,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (1, 1) goal (0, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",LD,UDRLRDLLURURRDDRLUDDLUURULURDRCRCLDRCLRRCRCCRRCCC,0,0,0.0,1,1,0,0,698.1972909998149,0,0.16132099972310243,['spatial'],,,,False,40,2,20.0,1469.9093712975425,2307.828125,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.11465921999842976,1,0.0,0,16,50,800,800,0,0,0,0,0,0,2,50,48
