suite,preset,em_raw_mean,em_raw_ci,em_norm_mean,em_norm_ci,f1_mean,f1_ci
episodic_cross,rag,1.0,0.0,1.0,0.0,1.0,0.0
semantic,rag,0.96,0.0,0.96,0.0,0.96,0.0
episodic_multi,rag,0.5,0.0,0.5,0.0,0.5,0.0
spatial,rag,0.0,0.0,0.0,0.0,0.0,0.0
episodic_capacity,rag,0.0,0.0,0.0,0.0,0.30999999999999994,0.0
episodic,rag,0.1,0.0,0.1,0.0,0.22855699855699854,0.0
episodic_cross,core,1.0,0.0,1.0,0.0,1.0,0.0
semantic,core,0.94,0.0,0.94,0.0,0.94,0.0
episodic_multi,core,0.54,0.0,0.54,0.0,0.54,0.0
spatial,core,0.0,0.0,0.0,0.0,0.0,0.0
episodic_capacity,core,0.0,0.0,0.0,0.0,0.27333333333333326,0.0
episodic,core,0.1,0.0,0.1,0.0,0.19482539682539685,0.0
episodic_cross,span_short,1.0,0.0,1.0,0.0,1.0,0.0
semantic,span_short,0.96,0.0,0.96,0.0,0.96,0.0
episodic_multi,span_short,0.52,0.0,0.52,0.0,0.52,0.0
spatial,span_short,0.0,0.0,0.0,0.0,0.0,0.0
episodic_capacity,span_short,0.0,0.0,0.0,0.0,0.3066666666666666,0.0
episodic,span_short,0.14,0.0,0.14,0.0,0.27353383458646613,0.0
episodic_cross,longctx,1.0,0.0,1.0,0.0,1.0,0.0
semantic,longctx,1.0,0.0,1.0,0.0,1.0,0.0
episodic_multi,longctx,0.66,0.0,0.66,0.0,0.66,0.0
spatial,longctx,0.0,0.0,0.0,0.0,0.0,0.0
episodic_capacity,longctx,0.0,0.0,0.0,0.0,0.29999999999999993,0.0
episodic,longctx,0.18,0.0,0.18,0.0,0.34922222222222216,0.0
