idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,memory_hit,retrieval_latency_ms,router_path,topk_keys,distance,justification,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.attempts,gating.episodic.skipped,gating.relational.accepted,gating.relational.attempts,gating.relational.skipped,gating.spatial.accepted,gating.spatial.attempts,gating.spatial.skipped
0,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (3, 4) goal (1, 4). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",LL,URDDLURRDDLLRDRLRUDDRCRDRD,0,0,0.0,1,1,0,0,389.95068200165406,0,0.0,,,,,False,25,2,12.5,1421.1707599103606,2725.421875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (4, 0). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UUUU,URDRDULRDULLRDDLLRLRUURDDURRRUDDLUULRDLLRDLLRDLLRUURUDRLURURURRDDLLRUURRDDLRDDRRLRRRURDDLLRDLLRUURUDRLURURURRDDLLRUURRDDLRDDRRLRRRURDDLLRDLLRUURUDRLURURURRDDLLRUURRDDLRDDRRLRRRURDDLLRDLLRUURUDRLURURURRDDLLRUURRDDLRDDRRLRRRURDDLLRDLLRUURUDRLURURURRDDLLRUURRDDLRDDRRLRRRURDDLLRDLLRUURUDRLURURURRDDLLRUURRDDLRDDRRLRRRURDDLLRDLLRUURUDRLURURURRDDLLRUURRDDLRDDRRLRRRURDDLLRDLLRUURUDRLURURURRDDLLRUURRDDLRDDRRLRRRURDDLLRDLLRUURUDRLURURURRDDLLRUURRDDLRDDRRLRRRURDDLLRDLLRUURUDRLURURURRDDLLRUURRDDLRDDRRLRRRURDDLLRDLLRUURUDRLURURURRDDLLRUURRDD,0,0,0.0,1,1,0,0,6538.685086001351,0,0.0,,,,,False,534,4,133.5,1421.1707599103606,2725.421875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 5) goal (5, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UURU,URDRRLUDDLUDDLURRDLLURRUURRDDRRDDURULURUDLRDRCRCLCRCCRCRCRCCRCRCRCCRCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCRCCRCRCR,0,0,0.0,1,1,0,0,6447.01834299849,0,0.0,,,,,False,221,4,55.25,1421.1707599103606,2725.421875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (4, 0). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UUUU,URDRLRDRCUULURRDDRCUUDRCUURDRUCUDDRCUULLRCUURDCRUCUDDRCUULRCUURDCRUDDRCUURRCRUDDLRCUURDCRUDDRCUULRCUURDCRUDDRCUURRCRUDDLRCUURDCRUDDRCUULRCUURDCRUDDRCUURRCRUDDLRCUURDCRUDDRCUULRCUURDCRUDDRCUURRCRUDDLRCUURDCRUDDRCUULRCUURRCRUDDLRCUURDCRUDDRCUULRCUURRCRUDDLRCUURDCRUDDRCUULRCUURRCRUDDLRCUURDCRUDDRCUULRCUURRCRUDDLRCUURDCRUDDRCUULRCUURRCRUDDLRCUURDCRUDDRCUULRCUURRCRUDDLRCUURDCRUDDRCUULRCUURRCRUDDLRCUURDCRUDDRCUULRCUURRCRUDDLRCUURDCRUDDRCUULRCUURRCRUDDLRCUURDCRUDDRCUULRCUURRC,0,0,0.0,1,1,0,0,6488.770627001941,0,0.0,,,,,False,389,4,97.25,1421.1707599103606,2725.421875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 1) goal (4, 4). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",DDD,RLURDRULURDRCRRLRDRCR,0,0,0.0,1,1,0,0,363.56197799977963,0,0.0,,,,,False,19,3,6.333333333333333,1421.1707599103606,2725.421875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (2, 0) goal (4, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RRDD,RDLDRLURDDLUDDL,0,0,0.0,1,1,0,0,244.92762299996684,0,0.0,,,,,False,15,4,3.75,1421.1707599103606,2725.421875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (3, 0) goal (4, 3). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RDDD,URRUULRDLLRDDRLDDLUULURRDRCRRDRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRCRCCCRCRCCRC,0,0,0.0,1,1,0,0,6463.832866997109,0,0.0,,,,,False,190,4,47.5,1421.1707599103606,2725.421875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (2, 0) goal (4, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RRDD,RLRUURDLDDRLLRDRLUURRDDULRRRLDRDRCMLRDRCMLRUURRDDUCMRCLRDRRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRD,0,0,0.0,1,1,0,0,6447.368247001577,0,0.0,,,,,False,355,4,88.75,1421.1707599103606,2725.421875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (5, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",URU,URDLLRDRLUDDURRDDLUDDLURRDRCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCURUCUR,0,0,0.0,1,1,0,0,6453.667554997082,0,0.0,,,,,False,392,3,130.66666666666666,1421.1707599103606,2725.421875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (1, 1) goal (0, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",LD,UDRLURDRLRDLLDRULURRDDULLR,0,0,0.0,1,1,0,0,390.7157849971554,0,0.0,,,,,False,26,2,13.0,1421.1707599103606,2725.421875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
