idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,memory_hit,retrieval_latency_ms,router_path,topk_keys,distance,justification,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.attempts,gating.episodic.skipped,gating.relational.accepted,gating.relational.attempts,gating.relational.skipped,gating.spatial.accepted,gating.spatial.attempts,gating.spatial.skipped
0,Carol found at the Library on Wednesday. Alice found at the Mall on Monday. Bob helped at the Mall on Wednesday. Where was Bob?,the Mall,Mall.,0,0,0.0,1,2,0,1,1021.2882760024513,0,0.0,,,,,,,,,260.8927542744246,1593.0,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Carol met at the Mall on Tuesday. Alice helped at the Mall on Wednesday. Dave helped at the Cafe on Wednesday. When was Dave at the Cafe?,Wednesday,Wednesday,1,1,1.0,1,1,0,0,72.0671319977555,0,0.0,,,,,,,,,260.8927542744246,1593.0,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Bob saw at the Cafe on Wednesday. Bob found at the Park on Monday. Alice found at the Cafe on Monday. Who was at the Cafe?,Alice,Alice.,0,0,0.0,1,1,0,1,99.32013099751202,0,0.0,,,,,,,,,260.8927542744246,1593.0,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Dave saw at the Library on Monday. Dave found at the Mall on Monday. Bob met at the Park on Tuesday. When was Bob at the Park?,Tuesday,Tuesday.,0,0,0.0,1,1,0,1,97.5380479976593,0,0.0,,,,,,,,,260.8927542744246,1593.0,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Alice saw at the Park on Monday. Alice found at the Park on Monday. Carol helped at the Cafe on Tuesday. Where was Carol?,the Cafe,Café,0,0,0.0,1,2,0,0,122.83794399991166,0,0.0,,,,,,,,,260.8927542744246,1593.0,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Dave helped at the Mall on Monday. Bob helped at the Park on Tuesday. Dave helped at the Library on Monday. Who was at the Library?,Dave,Dave.,0,0,0.0,1,1,0,1,101.55933700298192,0,0.0,,,,,,,,,260.8927542744246,1593.0,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bob saw at the Mall on Tuesday. Dave found at the Park on Monday. Carol saw at the Library on Wednesday. When was Carol at the Library?,Wednesday,Wednesday.,0,0,0.0,1,1,0,1,97.24849700069171,0,0.0,,,,,,,,,260.8927542744246,1593.0,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Alice helped at the Mall on Thursday. Dave found at the Library on Wednesday. Carol helped at the Mall on Wednesday. When was Carol at the Mall?,Wednesday,Wednesday.,0,0,0.0,1,1,0,1,97.5419989990769,0,0.0,,,,,,,,,260.8927542744246,1593.0,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Carol found at the Mall on Tuesday. Alice found at the Library on Thursday. Dave met at the Park on Monday. Who was at the Park?,Dave,Dave.,0,0,0.0,1,1,0,1,100.65436999866506,0,0.0,,,,,,,,,260.8927542744246,1593.0,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Carol met at the Library on Monday. Dave helped at the Cafe on Tuesday. Dave saw at the Park on Wednesday. Who was at the Park?,Dave,Dave was at the Park on Wednesday.,0,0,0.25,7,1,1,1,245.4647179984022,0,0.0,,,,,,,,,260.8927542744246,1593.0,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
