idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,memory_hit,retrieval_latency_ms,router_path,topk_keys,distance,justification,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.attempts,gating.episodic.skipped,gating.relational.accepted,gating.relational.attempts,gating.relational.skipped,gating.spatial.accepted,gating.spatial.attempts,gating.spatial.skipped
0,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (3, 4) goal (1, 4). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",LL,URRUULRDLLRDDRLDDURRRULDRD,0,0,0.0,1,1,0,0,365.9793560000253,0,0.16629099991405383,['spatial'],,,,False,26,2,13.0,1276.783969012605,2309.55859375,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.09745621998263232,1,0.0,0,16,50,800,800,0,0,0,0,0,0,2,50,48
1,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (4, 0). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UUUU,URULLRDLLULDDRUUDDRLRDDLLURURRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUDRLRDDLLURRRDDLUURUD,0,0,0.0,1,1,0,0,6045.060781000302,0,0.09740999985297094,['spatial'],,,,False,540,4,135.0,1276.783969012605,2309.55859375,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.09745621998263232,1,0.0,0,16,50,800,800,0,0,0,0,0,0,2,50,48
2,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 5) goal (5, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UURU,RLRDLLURDDULDRDRCUDDLUULRDRCRUDDLUURRDRCRUDDLUURRDRCRUDDLUURRD,0,0,0.0,1,1,0,0,810.8371030002672,0,0.10046099987448542,['spatial'],,,,False,58,4,14.5,1276.783969012605,2309.55859375,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.09745621998263232,1,0.0,0,16,50,800,800,0,0,0,0,0,0,2,50,48
3,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (4, 0). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UUUU,RLRUURDLDDRLLRDULURRDDRLRRDDLUUULLRRDDD,0,0,0.0,1,1,0,0,481.6078670000934,0,0.09890100000120583,['spatial'],,,,False,39,4,9.75,1276.783969012605,2309.55859375,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.09745621998263232,1,0.0,0,16,50,800,800,0,0,0,0,0,0,2,50,48
4,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 1) goal (4, 4). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",DDD,RLRDDLURRDRLRRD,0,0,0.0,1,1,0,0,246.9051150001178,0,0.09571999999025138,['spatial'],,,,False,15,3,5.0,1276.783969012605,2309.55859375,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.09745621998263232,1,0.0,0,16,50,800,800,0,0,0,0,0,0,2,50,48
5,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (2, 0) goal (4, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RRDD,RLRDLLURDRURDLR,0,0,0.0,1,1,0,0,251.5847089998715,0,0.09003100012705545,['spatial'],,,,False,15,4,3.75,1276.783969012605,2309.55859375,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.09745621998263232,1,0.0,0,16,50,800,800,0,0,0,0,0,0,2,50,48
6,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (3, 0) goal (4, 3). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RDDD,UDRLDRULURRDDLLRDURDDRUURDDLUDDLRCMLRDRCMLRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCMLRDRCML,0,0,0.0,1,1,0,0,6066.165965999971,0,0.10083100005431334,['spatial'],,,,False,352,4,88.0,1276.783969012605,2309.55859375,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.09745621998263232,1,0.0,0,16,50,800,800,0,0,0,0,0,0,2,50,48
7,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (2, 0) goal (4, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RRDD,RDLDRLUURRDDLLRDLLDRRUDDRCRRR,0,0,0.0,1,1,0,0,413.50306499998624,0,0.10127999985343195,['spatial'],,,,False,28,4,7.0,1276.783969012605,2309.55859375,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.09745621998263232,1,0.0,0,16,50,800,800,0,0,0,0,0,0,2,50,48
8,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (5, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",URU,RLRDLLURDDULRRD,0,0,0.0,1,1,0,0,247.95947599977808,0,0.09146099955614773,['spatial'],,,,False,15,3,5.0,1276.783969012605,2309.55859375,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.09745621998263232,1,0.0,0,16,50,800,800,0,0,0,0,0,0,2,50,48
9,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (1, 1) goal (0, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",LD,UDRLRDLLURRDDULLDRD,0,0,0.0,1,1,0,0,271.86085599987564,0,0.08293100017908728,['spatial'],,,,False,19,2,9.5,1276.783969012605,2309.55859375,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.09745621998263232,1,0.0,0,16,50,800,800,0,0,0,0,0,0,2,50,48
