idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.episodic.accepts,gates.episodic.aggregated,gates.episodic.attempts,gates.episodic.blocked_new_edges,gates.episodic.inserted,gates.episodic.routed_to_episodic,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol saw at the Park on Thursday. Where was Carol?,the Park,Park,,,,1,2,0,0,77.60967000012897,,,,,pre_replay,False,0.5026561200065771,1.0,50,50,50,50,0.11444165999364486,0.0,0,50,50,50,0.06705736000640172,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Bob helped at the Cafe on Thursday. When was Bob at the Cafe?,Thursday,Thursday.,,,,1,1,0,1,106.94707199991171,,,,,pre_replay,False,0.5026561200065771,1.0,50,50,50,50,0.11444165999364486,0.0,0,50,50,50,0.06705736000640172,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol found at the Mall on Wednesday. Who was at the Mall?,Carol,Carol.,,,,1,1,0,1,106.93110199986222,,,,,pre_replay,False,0.5026561200065771,1.0,50,50,50,50,0.11444165999364486,0.0,0,50,50,50,0.06705736000640172,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Dave saw at the Library on Wednesday. When was Dave at the Library?,Wednesday,Wednesday,,,,1,1,0,0,77.18209700010448,,,,,pre_replay,False,0.5026561200065771,1.0,50,50,50,50,0.11444165999364486,0.0,0,50,50,50,0.06705736000640172,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Alice met at the Cafe on Thursday. Who was at the Cafe?,Alice,Alice.,,,,1,1,0,1,107.31673400005093,,,,,pre_replay,False,0.5026561200065771,1.0,50,50,50,50,0.11444165999364486,0.0,0,50,50,50,0.06705736000640172,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Bob met at the Park on Tuesday. When was Bob at the Park?,Tuesday,Tuesday.,,,,1,1,0,1,104.05688499986354,,,,,pre_replay,False,0.5026561200065771,1.0,50,50,50,50,0.11444165999364486,0.0,0,50,50,50,0.06705736000640172,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Carol met at the Park on Thursday. What did Carol do?,met,met at the Park on Thursday.,,,,6,1,1,1,237.7016350001213,,,,,pre_replay,False,0.5026561200065771,1.0,50,50,50,50,0.11444165999364486,0.0,0,50,50,50,0.06705736000640172,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Carol saw at the Library on Tuesday. Who was at the Library?,Carol,Carol was at the Library.,,,,5,1,1,1,211.14623800008303,,,,,pre_replay,False,0.5026561200065771,1.0,50,50,50,50,0.11444165999364486,0.0,0,50,50,50,0.06705736000640172,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Dave met at the Mall on Wednesday. Where was Dave?,the Mall,The Mall,,,,2,2,0,0,105.27140299996063,,,,,pre_replay,False,0.5026561200065771,1.0,50,50,50,50,0.11444165999364486,0.0,0,50,50,50,0.06705736000640172,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Alice saw at the Park on Monday. What did Alice do?,saw,saw at the Park,,,,4,1,1,0,184.9572520000038,,,,,pre_replay,False,0.5026561200065771,1.0,50,50,50,50,0.11444165999364486,0.0,0,50,50,50,0.06705736000640172,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
