idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.episodic.accepts,gates.episodic.aggregated,gates.episodic.attempts,gates.episodic.blocked_new_edges,gates.episodic.inserted,gates.episodic.routed_to_episodic,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol bought a apple at StoreB. StoreB is in Berlin. In which city did Carol buy the apple?,Berlin,Berlin.,,,,1,1,0,1,104.2383730000438,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Carol bought a ball at StoreB. StoreB is in London. In which city did Carol buy the ball?,London,London,,,,1,1,0,0,80.12635099998988,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol bought a book at StoreB. StoreB is in Berlin. In which city did Carol buy the book?,Berlin,Berlin,,,,1,1,0,0,81.70061100008752,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Alice bought a ball at StoreB. StoreB is in Berlin. In which city did Alice buy the ball?,Berlin,Berlin,,,,1,1,0,0,79.46502699996927,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Carol bought a book at StoreB. StoreB is in Paris. In which city did Carol buy the book?,Paris,Paris.,,,,1,1,0,1,105.61929100003908,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Dave bought a apple at StoreA. StoreA is in Rome. In which city did Dave buy the apple?,Rome,Rome.,,,,1,1,0,1,131.55510399997183,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Dave bought a ball at StoreA. StoreA is in Paris. In which city did Dave buy the ball?,Paris,Paris,,,,1,1,0,0,80.75022499997431,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Alice bought a book at StoreB. StoreB is in Paris. In which city did Alice buy the book?,Paris,Paris.,,,,1,1,0,1,114.0639600000668,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Alice bought a apple at StoreA. StoreA is in Paris. In which city did Alice buy the apple?,Paris,Paris.,,,,1,1,0,1,110.92009300000427,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Carol bought a apple at StoreB. StoreB is in Rome. In which city did Carol buy the apple?,Rome,Rome,,,,1,1,0,0,106.48442499996236,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Alice bought a ball at StoreB. StoreB is in London. In which city did Alice buy the ball?,London,London.,,,,1,1,0,1,105.21797899991725,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Alice bought a ball at StoreA. StoreA is in London. In which city did Alice buy the ball?,London,London.,,,,1,1,0,1,105.76244100002441,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Bob bought a book at StoreC. StoreC is in Berlin. In which city did Bob buy the book?,Berlin,Berlin,,,,1,1,0,0,80.3007620002063,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Dave bought a book at StoreC. StoreC is in Berlin. In which city did Dave buy the book?,Berlin,Berlin,,,,1,1,0,0,81.38436799981719,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Carol bought a ball at StoreB. StoreB is in Paris. In which city did Carol buy the ball?,Paris,Paris,,,,1,1,0,0,81.00326599992513,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bob bought a book at StoreA. StoreA is in Rome. In which city did Bob buy the book?,Rome,Rome,,,,1,1,0,0,104.11177200012389,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Alice bought a apple at StoreB. StoreB is in Rome. In which city did Alice buy the apple?,Rome,Rome,,,,1,1,0,0,106.23326400013866,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Alice bought a apple at StoreB. StoreB is in Rome. In which city did Alice buy the apple?,Rome,Rome,,,,1,1,0,0,139.7217119999823,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Alice bought a coin at StoreB. StoreB is in London. In which city did Alice buy the coin?,London,London.,,,,1,1,0,1,105.40658900004019,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Alice bought a coin at StoreB. StoreB is in Berlin. In which city did Alice buy the coin?,Berlin,Berlin.,,,,1,1,0,1,105.67409100008263,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Alice bought a apple at StoreB. StoreB is in Rome. In which city did Alice buy the apple?,Rome,Rome.,,,,1,1,0,1,133.69376500008912,,,,,pre_replay,False,0.5150693600035083,1.0,50,50,50,50,0.11166877999585267,0.0,0,50,50,50,0.06475810001120408,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
