idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol went to the Library. --- FLUSH --- Where did Carol go?,the Library,The Library.,0,1,0.0,2,2,0,1,394.5118370002092,,,,,258.5358821733091,1708.29296875,pre_replay,False,0.4735913800141134,1.0,50,50,50,50,0.10491253990039695,0.0,0,50,50,50,0.05945091992543894,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
1,Carol went to the Mall. --- FLUSH --- Where did Carol go?,the Mall,Mall.,0,1,0.0,1,2,0,1,125.7289920004041,,,,,258.5358821733091,1708.29296875,pre_replay,False,0.4735913800141134,1.0,50,50,50,50,0.10491253990039695,0.0,0,50,50,50,0.05945091992543894,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol went to the Park. --- FLUSH --- Where did Carol go?,the Park,Park,0,1,0.6666666666666666,1,2,0,0,78.45581600031437,,,,,258.5358821733091,1708.29296875,pre_replay,False,0.4735913800141134,1.0,50,50,50,50,0.10491253990039695,0.0,0,50,50,50,0.05945091992543894,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
3,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,The Library.,0,1,0.0,2,2,0,1,124.17824900057894,,,,,258.5358821733091,1708.29296875,pre_replay,False,0.4735913800141134,1.0,50,50,50,50,0.10491253990039695,0.0,0,50,50,50,0.05945091992543894,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
4,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,0,1,0.6666666666666666,1,2,0,0,98.38535699964268,,,,,258.5358821733091,1708.29296875,pre_replay,False,0.4735913800141134,1.0,50,50,50,50,0.10491253990039695,0.0,0,50,50,50,0.05945091992543894,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
5,Dave went to the Mall. --- FLUSH --- Where did Dave go?,the Mall,Mall.,0,1,0.0,1,2,0,1,119.83087099997647,,,,,258.5358821733091,1708.29296875,pre_replay,False,0.4735913800141134,1.0,50,50,50,50,0.10491253990039695,0.0,0,50,50,50,0.05945091992543894,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
6,Alice went to the Park. --- FLUSH --- Where did Alice go?,the Park,The Park.,0,1,0.0,2,2,0,1,119.67905999972572,,,,,258.5358821733091,1708.29296875,pre_replay,False,0.4735913800141134,1.0,50,50,50,50,0.10491253990039695,0.0,0,50,50,50,0.05945091992543894,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
7,Dave went to the Mall. --- FLUSH --- Where did Dave go?,the Mall,Mall.,0,1,0.0,1,2,0,1,120.34874499931902,,,,,258.5358821733091,1708.29296875,pre_replay,False,0.4735913800141134,1.0,50,50,50,50,0.10491253990039695,0.0,0,50,50,50,0.05945091992543894,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
8,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,0,1,0.6666666666666666,1,2,0,0,97.30632699938724,,,,,258.5358821733091,1708.29296875,pre_replay,False,0.4735913800141134,1.0,50,50,50,50,0.10491253990039695,0.0,0,50,50,50,0.05945091992543894,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
9,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,0,1,0.6666666666666666,1,2,0,0,102.87650500049494,,,,,258.5358821733091,1708.29296875,pre_replay,False,0.4735913800141134,1.0,50,50,50,50,0.10491253990039695,0.0,0,50,50,50,0.05945091992543894,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
