idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.episodic.accepts,gates.episodic.aggregated,gates.episodic.attempts,gates.episodic.blocked_new_edges,gates.episodic.inserted,gates.episodic.routed_to_episodic,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 0) goal (3, 4). What is the shortest path length?",7,10,0,0,0.0,1,1,0,0,429.95270600022195,False,10,7,1.4285714285714286,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 0) to (3, 1)?",LD,"(4, 0) -> (3, 0) -> (3, 1)",0,0,0.0,8,1,1,0,551.2231140000949,False,0,2,0.0,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 1). After moves RLURR where do you end?","[2, 0]","(3, 1)",0,0,0.0,2,2,0,0,215.98901899960765,False,5,5,1.0,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 3) goal (4, 1). What is the shortest path length?",4,6,0,0,0.0,1,1,0,0,91.02661699944292,False,6,4,1.5,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 2) to (1, 4)?",DLLLD,"(4, 2) -> (4, 1) -> (4, 2) -> (3, 2) -> (2, 2) -> (2, 3) -> (2, 4) -> (3, 4) -> (4, 4) -> (4, 3) -> (4, 2) -> (4, 1) -> (4, 0) -> (4, 4) -> (4, 5) -> (4, 4) -> (3, 4) -> (3, 3) -> (3, 2) -> (2, 2) -> (2, 1) -> (2, 0) -> (1, 0) -> (1, 4)",0,0,0.0,71,1,1,0,4149.276424999698,False,0,5,0.0,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 1). After moves RUDUL where do you end?","[2, 0]","(2, 5)",0,0,0.0,2,2,0,0,216.50989099998696,False,5,5,1.0,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 3) goal (4, 3). What is the shortest path length?",4,10,0,0,0.0,1,1,0,0,114.6046590001788,False,10,4,2.5,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 0) to (3, 1)?",LD,"(4, 0) → (3, 0) → (3, 1)",0,0,0.0,8,1,1,0,551.3391140002568,False,0,2,0.0,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (4, 3). After moves DUDUU where do you end?","[4, 2]","(1, 2)",0,0,0.0,2,2,0,0,224.23606800020934,False,5,5,1.0,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 0) goal (1, 3). What is the shortest path length?",4,7,0,0,0.0,1,1,0,0,94.75829900020472,False,7,4,1.75,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 2) to (1, 4)?",DLLLD,"(4, 2) -> (3, 2) -> (2, 2) -> (1, 2) -> (1, 4)",0,0,0.0,14,1,1,0,895.773313999598,False,0,5,0.0,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 0). After moves DRRUL where do you end?","[3, 0]","(1, 5)",0,0,0.0,2,2,0,0,211.19027999975515,False,5,5,1.0,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (1, 2) goal (4, 2). What is the shortest path length?",5,8,0,0,0.0,1,1,0,0,89.3413869998767,False,8,5,1.6,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 2) to (1, 4)?",DLLLD,"(4, 2) → (3, 2) → (2, 2) → (1, 2) → (1, 4)",0,0,0.0,14,1,1,0,887.126970999816,False,0,5,0.0,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (1, 1). After moves RDUDD where do you end?","[2, 3]","(4, 4)",0,0,0.0,2,2,0,0,210.54725500016502,False,5,5,1.0,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 1) goal (1, 2). What is the shortest path length?",2,8,0,0,0.0,1,1,0,0,89.2123060002632,False,8,2,4.0,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (1, 2) to (4, 3)?",RDRR,"(1, 2) -> (2, 2) -> (3, 2) -> (3, 3) -> (4, 3)",0,0,0.0,14,1,1,0,888.9905529995303,False,0,4,0.0,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (4, 1). After moves DDLDU where do you end?","[3, 3]","(4, 3)",0,0,0.0,2,2,0,0,209.3035569996573,False,5,5,1.0,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (4, 2) goal (0, 0). What is the shortest path length?",6,11,0,0,0.0,1,1,0,0,114.33554799987178,False,11,6,1.8333333333333333,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 2) to (1, 4)?",DLLLD,"(4, 2) -> (4, 1) -> (3, 1) -> (2, 1) -> (2, 2) -> (2, 3) -> (2, 4) -> (3, 4) -> (4, 4) -> (4, 5) -> (4, 4) -> (4, 3) -> (4, 2) -> (1, 2) -> (1, 3) -> (1, 4)",0,0,0.0,47,1,1,0,2770.2849649995187,False,0,5,0.0,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (4, 1). After moves DDUDU where do you end?","[4, 2]","(1, 5)",0,0,0.0,2,2,0,0,210.58651499970438,False,5,5,1.0,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 1) goal (2, 3). What is the shortest path length?",2,7,0,0,0.0,1,1,0,0,88.3854710000378,False,7,2,3.5,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 2) to (1, 4)?",DLLLD,"(4, 2) → (4, 3) → (4, 4) → (4, 5) → (3, 5) → (2, 5) → (1, 5) → (1, 4)",0,0,0.0,23,1,1,0,1412.3399549998794,False,0,5,0.0,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (3, 3). After moves LUURR where do you end?","[4, 1]","(1, 3)",0,0,0.0,2,2,0,0,215.69312600058765,False,5,5,1.0,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 3) goal (0, 2). What is the shortest path length?",1,7,0,0,0.0,1,1,0,0,90.10508200026379,False,7,1,7.0,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 0) to (3, 1)?",LD,"(4, 0) -> (3, 0) -> (2, 0) -> (2, 1) -> (3, 1)",0,0,0.0,14,1,1,0,886.9063279998954,False,0,2,0.0,606.2073878693697,1782.5,pre_replay,False,0.45085641995683545,1.0,50,50,50,50,0.10554668002441758,0.0,0,50,50,50,0.06043097999281599,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
