idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,memory_hit,retrieval_latency_ms,router_path,topk_keys,distance,justification,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.attempts,gating.episodic.skipped,gating.relational.accepted,gating.relational.attempts,gating.relational.skipped,gating.spatial.accepted,gating.spatial.attempts,gating.spatial.skipped
0,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (3, 4) goal (1, 4). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",LL,URRUULRDLLRRDDLUUUUURRDDRLRDRCUURDRDRCUDRLRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDDRCDD,0,0,0.0,1,1,0,0,6784.687829000177,0,0.0,,,,,False,391,2,195.5,1432.8012527171065,2729.9140625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (4, 0). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UUUU,RLURDRDRLRDLLURUDRUDDRCRULURRDDLCRRRLDDRCLRDRCRURDDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDLRCRRLDRUCRRLURCDL,0,0,0.0,1,1,0,0,6789.020265998261,0,0.0,,,,,False,370,4,92.5,1432.8012527171065,2729.9140625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 5) goal (5, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UURU,RDLDRLURRDDLUDDULDRD,0,0,0.0,1,1,0,0,321.93065300089074,0,0.0,,,,,False,20,4,5.0,1432.8012527171065,2729.9140625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (4, 0). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UUUU,RLRRDDLLURRDULRUDDRLRDDLLUULLDDRRLDRD,0,0,0.0,1,1,0,0,536.1675620006281,0,0.0,,,,,False,37,4,9.25,1432.8012527171065,2729.9140625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 1) goal (4, 4). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",DDD,URUULRDLLURRDDRLRUDDLUURRRD,0,0,0.0,1,1,0,0,428.6071989990887,0,0.0,,,,,False,27,3,9.0,1432.8012527171065,2729.9140625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (2, 0) goal (4, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RRDD,RLRRDLLRDLLRDRCUDDRCRUURULURURULURRDDRCRUURUDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRUURRDDRCRU,0,0,0.0,1,1,0,0,6761.512384000525,0,0.0,,,,,False,509,4,127.25,1432.8012527171065,2729.9140625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (3, 0) goal (4, 3). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RDDD,UDRLRDLLRDLLRUURRDDLLR,0,0,0.0,1,1,0,0,355.1804219969199,0,0.0,,,,,False,22,4,5.5,1432.8012527171065,2729.9140625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (2, 0) goal (4, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RRDD,URDRRDLLULURDLLRUDDRCUURURRDDLUURRRRLDDRRLRDRCRDLCRRDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRDRCRRCDDRCRD,0,0,0.0,1,1,0,0,6763.01992200024,0,0.0,,,,,False,357,4,89.25,1432.8012527171065,2729.9140625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (5, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",URU,URDLLRUDDLUULRDLLURRLRDDRCRRDRCRDRUCUURDDLCRUCRDCRCLRCRUCUURRCRCCRRDRCRDRUCUURRDDRCRRCRDCRRDRCRRCRUCUURRDDRCRRCRDCRRDRCRRCRUCUURRDDRCRRCRDCRRDRCRRCRUCUURRDDRCRRCRDCRRDRCRRCRUCUURRDDRCRRCRDCRRDRCRRCRUCUURRDDRCRRCRDCRRDRCRRCRUCUURRDDRCRRCRDCRRDRCRRCRUCUURRDDRCRRCRDCRRDRCRRCRUCUURRDDRCRRCRDCRRDRCRRCRUCUURRDDRCRRCRDCRRDRCRRCRUCUURRDDRCRRCRDCRRDRCRRCRUCUURRDDRCRRCRDCRRDRCRRCRUCUURRDDRCRRCRDCRRDRCRRCRUCUURRDDRCRRCRDCRRDRCRRCRUCUURRDDRC,0,0,0.0,1,1,0,0,6796.146878998115,0,0.0,,,,,False,334,3,111.33333333333333,1432.8012527171065,2729.9140625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (1, 1) goal (0, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",LD,UDRLDRDRLRDLLURRDDLUDDRUDDRCR,0,0,0.0,1,1,0,0,453.57934099956765,0,0.0,,,,,False,28,2,14.0,1432.8012527171065,2729.9140625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
