idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,memory_hit,retrieval_latency_ms,router_path,topk_keys,distance,justification,context_key,retrieval_requests,writes_count,store_size_before,store_size_after,context_match_rate,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.attempts,gating.episodic.skipped,gating.relational.accepted,gating.relational.attempts,gating.relational.skipped,gating.spatial.accepted,gating.spatial.attempts,gating.spatial.skipped
0,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (0, 3) goal (5, 1). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RRRRRUU,URUULRDLLURRDDRLRDRCR,0,0,0.0,1,1,0,0,622.1713069971884,0,0.0,,,,,spatial_multi/00001,0,0,0,0,0.0,False,20,7,2.857142857142857,1362.5590164554794,1696.7890625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (1, 0) goal (3, 1). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RRD,URRUULRDLLDDRLDDRRCUUCR,0,0,0.0,1,1,0,0,360.7411810007761,0,0.0,,,,,spatial_multi/00002,0,0,0,0,0.0,False,21,3,7.0,1362.5590164554794,1696.7890625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (1, 3) goal (1, 4). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",D,URDRDRLRDRCUULURUCRUDDRCR,0,0,0.0,1,1,0,0,412.7671879978152,0,0.0,,,,,spatial_multi/00003,0,0,0,0,0.0,False,22,1,22.0,1362.5590164554794,1696.7890625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (0, 1) goal (4, 1). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RRRR,UDRLRDLLURRDDRLR,0,0,0.0,1,1,0,0,262.68817399977706,0,0.0,,,,,spatial_multi/00004,0,0,0,0,0.0,False,16,4,4.0,1362.5590164554794,1696.7890625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (3, 0) goal (3, 4). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",DDDD,URDLLRUDDLUURRDRLRDDRCRRDURURDDRUCUUURRRRRRDDRCUDDRCRLLRDRCRLLRDDRCRLLRDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDDRCRLLRDD,0,0,0.0,1,1,0,0,6458.817146998626,0,0.0,,,,,spatial_multi/00005,0,0,0,0,0.0,False,451,4,112.75,1362.5590164554794,1696.7890625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (5, 2) goal (2, 0). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",LLULU,URDDLURRDDLUULRDRLUDDRUURURD,0,0,0.0,1,1,0,0,416.4131309989898,0,0.0,,,,,spatial_multi/00006,0,0,0,0,0.0,False,28,5,5.6,1362.5590164554794,1696.7890625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (0, 2) goal (4, 4). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RDRRRD,URRUDDLUURRDDLLRDRLRRD,0,0,0.0,1,1,0,0,343.18421599891735,0,0.0,,,,,spatial_multi/00007,0,0,0,0,0.0,False,22,6,3.6666666666666665,1362.5590164554794,1696.7890625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 0) goal (5, 0). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",R,UDRUULRDRLRDDRDRCRUCUURDCRRDRCR,0,0,0.0,1,1,0,0,492.7847959988867,0,0.0,,,,,spatial_multi/00008,0,0,0,0,0.0,False,27,1,27.0,1362.5590164554794,1696.7890625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (3, 5) goal (4, 3). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RUU,URDLLRDLLURRDDLUURRLDRDRLURDDRUURRRULURDDLUURRRRDDLUURRRUDDLRDDRUDRLRDLLURDDLUURRDDRUURRLDRDRLURDDLUURRDDRUURRLDRDRLURDDLUURRDDRUURRLDRDRLURDDLUURRDDRUURRLDRDRLURDDLUURRDDRUURRLDRDRLURDDLUURRDDRUURRLDRDRLURDDLUURRDDRUURRLDRDRLURDDLUURRDDRUURRLDRDRLURDDLUURRDDRUURRLDRDRLURDDLUURRDDRUURRLDRDRLURDDLUURRDDRUURRLDRDRLURDDLUURRDDRUURRLDRDRLURDDLUURRDDRUURRLDRDRLURDDLUURRDDRUURRLDRDRLURDDLUURRDDRUURRLDRDRLURDDLUURRDDRUURRLDRDRLURDDLUURRDDRUURRLDRDRLURDDLUURRDDRUURRLDRDRLURDDLUURRDDRUURRLDRDRLURDDLUURRDDRUURRLDRDRLUR,0,0,0.0,1,1,0,0,6548.626674000843,0,0.0,,,,,spatial_multi/00009,0,0,0,0,0.0,False,514,3,171.33333333333334,1362.5590164554794,1696.7890625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (5, 3) goal (0, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",LLLLLU,URUDDLUULRDRLRDDL,0,0,0.0,1,1,0,0,287.3795430023165,0,0.0,,,,,spatial_multi/00010,0,0,0,0,0.0,False,17,6,2.8333333333333335,1362.5590164554794,1696.7890625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
