idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.aggregated,gating.episodic.attempts,gating.episodic.blocked,gating.episodic.blocked_new_edges,gating.episodic.inserted,gating.episodic.null_input,gating.episodic.routed_to_episodic,gating.episodic.skipped,gating.relational.accepted,gating.relational.aggregated,gating.relational.attempts,gating.relational.blocked,gating.relational.blocked_new_edges,gating.relational.inserted,gating.relational.null_input,gating.relational.routed_to_episodic,gating.relational.skipped,gating.spatial.accepted,gating.spatial.aggregated,gating.spatial.attempts,gating.spatial.blocked,gating.spatial.blocked_new_edges,gating.spatial.inserted,gating.spatial.null_input,gating.spatial.routed_to_episodic,gating.spatial.skipped
0,"Bob bought a apple at StoreA. StoreA is in Paris. Alice bought a apple at StoreA. StoreA is in London. Alice bought a apple. It was sold at StoreA. StoreA is located in Paris. However, others report StoreA is located in London. Despite conflicting reports, in which city did Alice buy the apple?",Paris,Paris,1,1,1.0,1,1,0,0,83.41648100031307,,,,,89.78857954186293,2325.73046875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Alice bought a book at StoreA. StoreA is in Paris. Bob bought a book at StoreB. StoreB is in London. Alice purchased a book. The book was sold at StoreA. StoreA is in Paris. However, others report StoreA is in London. Despite conflicting reports, in which city did Alice buy the book?",Paris,Paris.,0,0,0.0,1,1,0,1,106.69686599976558,,,,,89.78857954186293,2325.73046875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Bob bought a book at StoreB. StoreB is in Paris. Bob bought a apple at StoreA. StoreA is located in Paris. Bob bought a book. It was sold at StoreB. StoreB is in Paris. However, others report StoreB is in London. Despite conflicting reports, in which city did Bob buy the book?",Paris,Paris.,0,0,0.0,1,1,0,1,107.37546099971951,,,,,89.78857954186293,2325.73046875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Alice bought a apple at StoreA. StoreA is located in Paris. Alice bought a apple at StoreA. StoreA is in Paris. Bob bought a apple. It was sold at StoreA. StoreA is in London. However, others report StoreA is in Paris. Despite conflicting reports, in which city did Bob buy the apple?",London,Paris,0,0,0.0,1,1,0,0,82.90643799955433,,,,,89.78857954186293,2325.73046875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Alice bought a apple at StoreA. StoreA is located in Paris. Bob bought a book at StoreA. StoreA is in London. Bob bought a apple. The apple was sold at StoreA. StoreA is in London. However, others report StoreA is in Paris. Despite conflicting reports, in which city did Bob buy the apple?",London,London,1,1,1.0,1,1,0,0,82.56423500006349,,,,,89.78857954186293,2325.73046875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Bob bought a book at StoreA. StoreA is in Paris. Alice purchased a apple at StoreA. StoreA is in Paris. Bob bought a apple. The apple was sold at StoreB. StoreB is located in London. However, others report StoreB is located in Paris. Despite conflicting reports, in which city did Bob buy the apple?",London,Paris,0,0,0.0,1,1,0,0,85.80888800042885,,,,,89.78857954186293,2325.73046875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Bob purchased a apple at StoreB. StoreB is in London. Alice bought a apple at StoreA. StoreA is in London. Bob bought a book. The book could be found at StoreA. It is in London. However, others report StoreA is in Paris. Despite conflicting reports, in which city did Bob buy the book?",London,London.,0,0,0.0,1,1,0,1,106.75933600032295,,,,,89.78857954186293,2325.73046875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Bob purchased a apple at StoreA. StoreA is in London. Alice purchased a book at StoreB. StoreB is located in London. Bob purchased a book. It could be found at StoreA. StoreA is in London. However, others report StoreA is in Paris. Despite conflicting reports, in which city did Bob buy the book?",London,London.,0,0,0.0,1,1,0,1,106.61878599967167,,,,,89.78857954186293,2325.73046875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Bob bought a apple at StoreA. StoreA is located in Paris. Bob bought a apple at StoreA. StoreA is in Paris. Bob bought a book. The book could be found at StoreA. StoreA is located in London. However, others report StoreA is located in Paris. Despite conflicting reports, in which city did Bob buy the book?",London,Paris,0,0,0.0,1,1,0,0,83.24729000014486,,,,,89.78857954186293,2325.73046875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Bob purchased a apple at StoreB. StoreB is in London. Bob bought a book at StoreB. StoreB is in London. Alice bought a book. The book was sold at StoreA. StoreA is in Paris. However, others report it is in London. Despite conflicting reports, in which city did Alice buy the book?",Paris,London,0,0,0.0,1,1,0,0,82.8630769992742,,,,,89.78857954186293,2325.73046875,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
