idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol saw at the Park on Thursday. Where was Carol?,the Park,The Park,0,1,0.5,2,2,0,0,372.06959600007394,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
1,Bob helped at the Cafe on Thursday. When was Bob at the Cafe?,Thursday,Thursday.,0,1,0.0,1,1,0,1,99.30850399996416,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol found at the Mall on Wednesday. Who was at the Mall?,Carol,Carol,1,1,1.0,1,1,0,0,74.7518799998943,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
3,Dave saw at the Library on Wednesday. When was Dave at the Library?,Wednesday,Wednesday,1,1,1.0,1,1,0,0,75.30534499983332,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
4,Alice met at the Cafe on Thursday. Who was at the Cafe?,Alice,Alice.,0,1,0.0,1,1,0,1,98.9170800003194,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
5,Bob met at the Park on Tuesday. When was Bob at the Park?,Tuesday,Tuesday.,0,1,0.0,1,1,0,1,99.75742699953116,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
6,Carol met at the Park on Thursday. What did Carol do?,met,met at the Park,0,0,0.4,4,1,1,0,147.9779259998395,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
7,Carol saw at the Library on Tuesday. Who was at the Library?,Carol,Carol.,0,1,0.0,1,1,0,1,101.33916099948692,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
8,Dave met at the Mall on Wednesday. Where was Dave?,the Mall,The Mall,0,1,0.5,2,2,0,0,98.53834600016853,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
9,Alice saw at the Park on Monday. What did Alice do?,saw,saw at the Park,0,0,0.4,4,1,1,0,172.540329000185,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
10,Carol met at the Library on Thursday. Where was Carol?,the Library,Library.,0,1,0.0,1,2,0,1,100.19375100000616,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
11,Alice found at the Park on Tuesday. Who was at the Park?,Alice,Alice.,0,1,0.0,1,1,0,1,99.20743200018478,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
12,Alice saw at the Park on Wednesday. What did Alice do?,saw,Saw at the park.,0,0,0.0,4,1,1,1,199.16942100007873,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
13,Dave helped at the Library on Tuesday. Where was Dave?,the Library,The Library.,0,1,0.0,2,2,0,1,122.57690400019783,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
14,Dave saw at the Mall on Wednesday. Who was at the Mall?,Dave,Dave was at the Mall.,0,0,0.33333333333333337,5,1,1,1,197.65632599956007,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
15,Dave helped at the Park on Thursday. Where was Dave?,the Park,Park.,0,1,0.0,1,2,0,1,100.74692600028357,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
16,Dave found at the Mall on Tuesday. Where was Dave?,the Mall,The Mall.,0,1,0.0,2,2,0,1,122.7329950006606,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
17,Alice found at the Cafe on Wednesday. Who was at the Cafe?,Alice,Alice,1,1,1.0,1,1,0,0,76.02902100006759,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
18,Dave saw at the Cafe on Thursday. What did Dave do?,saw,saw at the Cafe on Thursday.,0,0,0.2857142857142857,6,1,1,1,244.15912800031947,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
19,Bob helped at the Cafe on Thursday. What did Bob do?,helped,helped at the Cafe.,0,0,0.4,4,1,1,1,196.45703399964987,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
20,Carol met at the Library on Monday. When was Carol at the Library?,Monday,Monday.,0,1,0.0,1,1,0,1,99.85152599983849,,,,,316.600790041133,1691.65234375,pre_replay,False,0.4369961200609396,1.0,50,50,50,50,0.10609338005451718,0.0,0,50,50,50,0.06161315999634098,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
