idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.aggregated,gating.episodic.attempts,gating.episodic.blocked,gating.episodic.blocked_new_edges,gating.episodic.inserted,gating.episodic.null_input,gating.episodic.routed_to_episodic,gating.episodic.skipped,gating.relational.accepted,gating.relational.aggregated,gating.relational.attempts,gating.relational.blocked,gating.relational.blocked_new_edges,gating.relational.inserted,gating.relational.null_input,gating.relational.routed_to_episodic,gating.relational.skipped,gating.spatial.accepted,gating.spatial.aggregated,gating.spatial.attempts,gating.spatial.blocked,gating.spatial.blocked_new_edges,gating.spatial.inserted,gating.spatial.null_input,gating.spatial.routed_to_episodic,gating.spatial.skipped
0,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (3, 4) goal (1, 4). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",LL,UDRLURDLURRDULDRUDRLRUDDRLRDDLUULRDLLRDLLRDRLRUUULLRRDLLLLLDDRLRDRLRUUUULRRDDLLLDLLRDRLRDRLRDRLRDRLRUDDLURDLURRDULDRDRLRUDDRLRDDLUULRDLLRDLLRDRLRUUULLRRDLLLLLDDRLRDRLRUUUULRRDDLLLDLLRDRLRDRLRDRLRDRLRUDDLURDLURRDULDRDRLRUDDRLRDDLUULRDLLRDLLRDRLRUUULLRRDLLLLLDDRLRDRLRUUUULRRDDLLLDLLRDRLRDRLRDRLRDRLRUDDLURDLURRDULDRDRLRUDDRLRDDLUULRDLLRDLLRDRLRUUULLRRDLLLLLDDRLRDRLRUUUULRRDDLLLDLLRDRLRDRLRDRLRDRLRUDDLURDLURRDULDRDRLRUDDRLRDDLUULRDLLRDLLRDRLRUUULLRRDLLLLLDDRLRDRLRUUUULRRDDLLLDLLRDRLRDRLRDRLRDRLRUDDLURDLURRDULDRDRLRU,0,0,0.0,1,1,0,0,6428.165010998782,False,517,2,258.5,1479.3054771583543,2316.453125,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.10685088011086918,1,0.0,0,16,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (4, 0). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UUUU,URUULRDLLRLRDDRLLRDRCRUCUURDRCRUCRUURDRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCRUCUURRCLRRDCR,0,0,0.0,1,1,0,0,6420.630080996489,False,327,4,81.75,1479.3054771583543,2316.453125,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.10685088011086918,1,0.0,0,16,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 5) goal (5, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UURU,RLURDRLLRDULRRUDRCUDDLUUCRDLRDDRCRLLURDRCRDDLRCRRLURDLRCRRLURDLRCRRLURD,0,0,0.0,1,1,0,0,1031.6706259982311,False,64,4,16.0,1479.3054771583543,2316.453125,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.10685088011086918,1,0.0,0,16,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (4, 0). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",UUUU,URDLLRDRLUURRDDLUDDRUURRLURULURDRLURUDRLRDRLRUDDRUURRLURULDRCRRDRLLRLLRRDDRLLRDRLURRRRLLRDRLRDDRLURURRDDRLRLLRLLRLLLRRDDLRURULURDDLRLRUURRDLLRLRDRLURRDDRLRRRLLRDRLRDDRLURURRDDRLRLLRLLRLLLRRDDLRURULURDDLRLRUURRDLLRLRDRLURRDDRLRRRLLRDRLRDDRLURURRDDRLRLLRLLRLLLRRDDLRURULURDDLRLRUURRDLLRLRDRLURRDDRLRRRLLRDRLRDDRLURURRDDRLRLLRLLRLLLRRDDLRURULURDDLRLRUURRDLLRLRDRLURRDDRLRRRLLRDRLRDDRLURURRDDRLRLLRLLRLLLRRDDLRURULURDDLRLRUURRDLLRLRDRLURRDDRLRRRLLRDRLRDDRLURURRDDRLRLLRLLRLLLRRDDLRURULURDDLRLRUURRDLLRLRDRLURRDDRLRRRLLRDRL,0,0,0.0,1,1,0,0,6425.287120000576,False,517,4,129.25,1479.3054771583543,2316.453125,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.10685088011086918,1,0.0,0,16,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 1) goal (4, 4). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",DDD,URUURRDDLUULRDRLRRDDRUURUDL,0,0,0.0,1,1,0,0,411.97544500028016,False,27,3,9.0,1479.3054771583543,2316.453125,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.10685088011086918,1,0.0,0,16,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (2, 0) goal (4, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RRDD,RLRDLLURURRDDRLRDRCUURULURDDRCUURUDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURULURRDDRCUURUL,0,0,0.0,1,1,0,0,6451.125264000439,False,468,4,117.0,1479.3054771583543,2316.453125,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.10685088011086918,1,0.0,0,16,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (3, 0) goal (4, 3). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RDDD,RLRDLLURDDULURDLR,0,0,0.0,1,1,0,0,287.7424170001177,False,17,4,4.25,1479.3054771583543,2316.453125,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.10685088011086918,1,0.0,0,16,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (2, 0) goal (4, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",RRDD,RLRDDLURULRDRLRUDDRLUDDRCR,0,0,0.0,1,1,0,0,411.80626900313655,False,25,4,6.25,1479.3054771583543,2316.453125,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.10685088011086918,1,0.0,0,16,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (5, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",URU,RLURDLURRUULRDLLRDRCUDDRCR,0,0,0.0,1,1,0,0,413.0827799963299,False,24,3,8.0,1479.3054771583543,2316.453125,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.10685088011086918,1,0.0,0,16,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (1, 1) goal (0, 2). Respond with moves using U, D, L, R only, no spaces (e.g., UDLR).",LD,UDRLRDLLURDRDURRDDRUDDRLRDRLRURRDDLUURULURUDDRUDDRLRDRLRURRDDLUURULURUDDRUDDRLRDRLRURRDDLUURULURUDDRUDDRLRDRLRURRDDLUURULURUDDRUDDRLRDRLRURRDDLUURULURUDDRUDDRLRDRLRURRDDLUURULURUDDRUDDRLRDRLRURRDDLUURULURUDDRUDDRLRDRLRURRDDLUURULURUDDRUDDRLRDRLRURRDDLUURULURUDDRUDDRLRDRLRURRDDLUURULURUDDRUDDRLRDRLRURRDDLUURULURUDDRUDDRLRDRLRURRDDLUURULURUDDRUDDRLRDRLRURRDDLUURULURUDDRUDDRLRDRLRURRDDLUURULURUDDRUDDRLRDRLRURRDDLUURULURUDDRUDDRLRDRLRURRDDLUURULURUDDRUDDRLRDRLRURRDDLUURULURUDDRUDDRLRDRLRURRDDLU,0,0,0.0,1,1,0,0,6437.697819004825,False,495,2,247.5,1479.3054771583543,2316.453125,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.10685088011086918,1,0.0,0,16,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
