idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 0) goal (3, 4). What is the shortest path length?",7,10,0,0,0.0,1,1,0,0,114.10514800081728,False,10,7,1.4285714285714286,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
1,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 0) to (3, 1)?",LD,"(4, 0) → (3, 0) → (3, 1)",0,0,0.0,8,1,1,0,558.7632479982858,False,0,2,0.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
2,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 1). After moves RLURR where do you end?","[2, 0]","(3, 3)",0,0,0.0,2,2,0,0,212.73705799831077,False,5,5,1.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
3,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 3) goal (4, 1). What is the shortest path length?",4,7,0,0,0.0,1,1,0,0,89.94473900020239,False,7,4,1.75,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
4,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 2) to (1, 4)?",DLLLD,"(4, 2) -> (3, 2) -> (2, 2) -> (1, 2) -> (1, 4)",0,0,0.0,14,1,1,0,898.6809529997117,False,0,5,0.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
5,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 1). After moves RUDUL where do you end?","[2, 0]","(2, 5)",0,0,0.0,2,2,0,0,210.47599099983927,False,5,5,1.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
6,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 3) goal (4, 3). What is the shortest path length?",4,10,0,0,0.0,1,1,0,0,114.60139100017841,False,10,4,2.5,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
7,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 0) to (3, 1)?",LD,"(4, 0) -> (4, 1) -> (4, 2) -> (4, 3) -> (4, 4) -> (3, 4) -> (3, 3) -> (3, 2) -> (3, 1)",0,0,0.0,26,1,1,0,1586.5200879998156,False,0,2,0.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
8,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (4, 3). After moves DUDUU where do you end?","[4, 2]","(1, 2)",0,0,0.0,2,2,0,0,210.56593199682538,False,5,5,1.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
9,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 0) goal (1, 3). What is the shortest path length?",4,7,0,0,0.0,1,1,0,0,89.762076997431,False,7,4,1.75,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
10,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 2) to (1, 4)?",DLLLD,"(4, 2) -> (3, 2) -> (2, 2) -> (2, 1) -> (1, 1) -> (1, 2) -> (1, 3) -> (1, 4)",0,0,0.0,23,1,1,0,1404.8157240031287,False,0,5,0.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
11,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 0). After moves DRRUL where do you end?","[3, 0]","(1, 5)",0,0,0.0,2,2,0,0,212.28209199762205,False,5,5,1.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
12,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (1, 2) goal (4, 2). What is the shortest path length?",5,7,0,0,0.0,1,1,0,0,90.36401100092917,False,7,5,1.4,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
13,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 2) to (1, 4)?",DLLLD,"(4, 2) -> (3, 2) -> (2, 2) -> (1, 2) -> (1, 4)",0,0,0.0,14,1,1,0,903.1063370021002,False,0,5,0.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
14,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (1, 1). After moves RDUDD where do you end?","[2, 3]","(3, 1)",0,0,0.0,2,2,0,0,213.11579800021718,False,5,5,1.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
15,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 1) goal (1, 2). What is the shortest path length?",2,8,0,0,0.0,1,1,0,0,90.36709100109874,False,8,2,4.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
16,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (1, 2) to (4, 3)?",RDRR,"(1, 2) -> (2, 2) -> (3, 2) -> (3, 3) -> (4, 3)",0,0,0.0,14,1,1,0,910.2209739976388,False,0,4,0.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
17,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (4, 1). After moves DDLDU where do you end?","[3, 3]","(3, 3)",0,1,0.0,2,2,0,0,217.48954799841158,True,5,5,1.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
18,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (4, 2) goal (0, 0). What is the shortest path length?",6,10,0,0,0.0,1,1,0,0,114.26762799965218,False,10,6,1.6666666666666667,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
19,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 2) to (1, 4)?",DLLLD,"(4, 2) -> (4, 3) -> (4, 4) -> (4, 5) -> (3, 5) -> (2, 5) -> (2, 4) -> (1, 4)",0,0,0.0,23,1,1,0,1424.7132529999362,False,0,5,0.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
20,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (4, 1). After moves DDUDU where do you end?","[4, 2]","(4, 3)",0,0,0.0,2,2,0,0,213.09385600034148,False,5,5,1.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
21,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 1) goal (2, 3). What is the shortest path length?",2,8,0,0,0.0,1,1,0,0,90.3090300016629,False,8,2,4.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
22,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 2) to (1, 4)?",DLLLD,"(4, 2) -> (4, 3) -> (4, 4) -> (4, 5) -> (3, 5) -> (2, 5) -> (1, 5) -> (1, 4)",0,0,0.0,23,1,1,0,1414.8847700016631,False,0,5,0.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
23,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (3, 3). After moves LUURR where do you end?","[4, 1]","(1, 3)",0,0,0.0,2,2,0,0,212.0170779999171,False,5,5,1.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
24,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 3) goal (0, 2). What is the shortest path length?",1,7,0,0,0.0,1,1,0,0,90.27101999890874,False,7,1,7.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
25,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 0) to (3, 1)?",LD,"(4, 0) -> (4, 1) -> (4, 2) -> (4, 3) -> (4, 4) -> (4, 5) -> (3, 5) -> (3, 4) -> (3, 3) -> (3, 2) -> (3, 1)",0,0,0.0,32,1,1,0,1926.3270310002554,False,0,2,0.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
26,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 3). After moves UDRLL where do you end?","[1, 3]","(1, 3)",0,1,0.0,2,2,0,0,214.6093049996125,True,5,5,1.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
27,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (4, 4) goal (3, 1). What is the shortest path length?",4,6,0,0,0.0,1,1,0,0,89.3266829989443,False,6,4,1.5,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
28,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 2) to (1, 4)?",DLLLD,"(4, 2) -> (3, 2) -> (2, 2) -> (1, 2) -> (1, 4)",0,0,0.0,14,1,1,0,899.5968700000958,False,0,5,0.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
29,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (3, 0). After moves DLULR where do you end?","[2, 0]","(3, 1)",0,0,0.0,2,2,0,0,213.6843990010675,False,5,5,1.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
30,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (1, 2) goal (4, 2). What is the shortest path length?",5,8,0,0,0.0,1,1,0,0,89.57502399789519,False,8,5,1.6,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
31,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (1, 2) to (4, 3)?",RDRR,"(1, 2) -> (2, 2) -> (3, 2) -> (3, 3) -> (3, 4) -> (4, 4) -> (4, 3)",0,0,0.0,20,1,1,0,1235.8384399994975,False,0,4,0.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
32,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (4, 0). After moves LDUDU where do you end?","[3, 0]","(1, 4)",0,0,0.0,2,2,0,0,214.40071299730334,False,5,5,1.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
33,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 1) goal (1, 3). What is the shortest path length?",3,8,0,0,0.0,1,1,0,0,89.41339299781248,False,8,3,2.6666666666666665,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
34,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 0) to (3, 1)?",LD,"(4, 0) -> (4, 1) -> (4, 2) -> (4, 3) -> (4, 4) -> (4, 5) -> (3, 5) -> (3, 4) -> (3, 3) -> (3, 2) -> (3, 1)",0,0,0.0,32,1,1,0,1939.2469939994044,False,0,2,0.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
35,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (4, 3). After moves UULLR where do you end?","[3, 1]","(1, 3)",0,0,0.0,2,2,0,0,211.89045499704662,False,5,5,1.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
36,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (1, 1) goal (0, 3). What is the shortest path length?",3,6,0,0,0.0,1,1,0,0,88.0179030027648,False,6,3,2.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
37,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (1, 2) to (4, 3)?",RDRR,"(1, 2) -> (2, 2) -> (3, 2) -> (3, 3) -> (4, 3)",0,0,0.0,14,1,1,0,899.4085300000734,False,0,4,0.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
38,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (2, 0). After moves DDULR where do you end?","[2, 1]","(2, 4)",0,0,0.0,2,2,0,0,212.50876900012372,False,5,5,1.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
39,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 0) goal (2, 1). What is the shortest path length?",3,7,0,0,0.0,1,1,0,0,88.51752600094187,False,7,3,2.3333333333333335,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
40,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 0) to (3, 1)?",LD,"(4, 0) -> (3, 1) via (3, 2).",0,0,0.0,8,1,1,1,557.0179470014409,False,0,2,0.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
41,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (1, 0). After moves LRDDR where do you end?","[2, 2]","(3, 1)",0,0,0.0,2,2,0,0,213.79739699841593,False,5,5,1.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
42,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (0, 3) goal (1, 3). What is the shortest path length?",1,8,0,0,0.0,1,1,0,0,90.42745999977342,False,8,1,8.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
43,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (1, 2) to (4, 3)?",RDRR,"(1, 2) → (1, 3) → (2, 3) → (2, 4) → (3, 4) → (3, 3) → (4, 3)",0,0,0.0,20,1,1,0,1241.9552589999512,False,0,4,0.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
44,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (4, 3). After moves UULLL where do you end?","[1, 1]","(1, 3)",0,0,0.0,2,2,0,0,215.49982799842837,False,5,5,1.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
45,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. Start (3, 0) goal (0, 1). What is the shortest path length?",4,7,0,0,0.0,1,1,0,0,89.42119200219167,False,7,4,1.75,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
46,"Grid 5x5 with obstacles [(0, 4), (2, 4), (3, 2)]. What move sequence leads from (4, 0) to (3, 1)?",LD,"(4, 0) -> (4, 1) -> (4, 2) -> (4, 3) -> (4, 4) -> (4, 5) -> (3, 5) -> (3, 4) -> (3, 3) -> (3, 2) -> (3, 1)",0,0,0.0,32,1,1,0,1946.1431329982588,False,0,2,0.0,583.3021642968873,3268.90625,pre_replay,False,0.4361998998501804,1.0,50,50,50,50,0.1081956801499473,0.0,0,50,50,50,0.062210619944380596,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
