idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol bought a apple at StoreB. StoreB is in Berlin. In which city did Carol buy the apple?,Berlin,Berlin,1,1,1.0,1,1,0,0,396.79410199914855,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
1,Carol bought a ball at StoreB. StoreB is in London. In which city did Carol buy the ball?,London,London.,0,1,0.0,1,1,0,1,101.18484400027228,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol bought a book at StoreB. StoreB is in Berlin. In which city did Carol buy the book?,Berlin,Berlin.,0,1,0.0,1,1,0,1,100.83458300050552,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
3,Alice bought a ball at StoreB. StoreB is in Berlin. In which city did Alice buy the ball?,Berlin,Berlin,1,1,1.0,1,1,0,0,76.46913899952779,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
4,Carol bought a book at StoreB. StoreB is in Paris. In which city did Carol buy the book?,Paris,Paris,1,1,1.0,1,1,0,0,76.4639500002886,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
5,Dave bought a apple at StoreA. StoreA is in Rome. In which city did Dave buy the apple?,Rome,Rome.,0,1,0.0,1,1,0,1,125.39307699989877,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
6,Dave bought a ball at StoreA. StoreA is in Paris. In which city did Dave buy the ball?,Paris,Paris,1,1,1.0,1,1,0,0,76.8482720004613,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
7,Alice bought a book at StoreB. StoreB is in Paris. In which city did Alice buy the book?,Paris,Paris,1,1,1.0,1,1,0,0,76.7882810005176,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
8,Alice bought a apple at StoreA. StoreA is in Paris. In which city did Alice buy the apple?,Paris,Paris.,0,1,0.0,1,1,0,1,102.09424999993644,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
9,Carol bought a apple at StoreB. StoreB is in Rome. In which city did Carol buy the apple?,Rome,Rome.,0,1,0.0,1,1,0,1,127.66443100008473,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
10,Alice bought a ball at StoreB. StoreB is in London. In which city did Alice buy the ball?,London,London,1,1,1.0,1,1,0,0,76.97678299973632,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
11,Alice bought a ball at StoreA. StoreA is in London. In which city did Alice buy the ball?,London,London.,0,1,0.0,1,1,0,1,105.74600100062526,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
12,Bob bought a book at StoreC. StoreC is in Berlin. In which city did Bob buy the book?,Berlin,Berlin.,0,1,0.0,1,1,0,1,101.68778799925349,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
13,Dave bought a book at StoreC. StoreC is in Berlin. In which city did Dave buy the book?,Berlin,Berlin,1,1,1.0,1,1,0,0,76.4719190001415,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
14,Carol bought a ball at StoreB. StoreB is in Paris. In which city did Carol buy the ball?,Paris,Paris,1,1,1.0,1,1,0,0,77.0595529993443,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
15,Bob bought a book at StoreA. StoreA is in Rome. In which city did Bob buy the book?,Rome,Rome,1,1,1.0,1,1,0,0,101.0488340007214,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
16,Alice bought a apple at StoreB. StoreB is in Rome. In which city did Alice buy the apple?,Rome,Rome.,0,1,0.0,1,1,0,1,127.42952899952797,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
17,Alice bought a apple at StoreB. StoreB is in Rome. In which city did Alice buy the apple?,Rome,Rome.,0,1,0.0,1,1,0,1,125.12370500007819,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
18,Alice bought a coin at StoreB. StoreB is in London. In which city did Alice buy the coin?,London,London.,0,1,0.0,1,1,0,1,100.89320299994142,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
19,Alice bought a coin at StoreB. StoreB is in Berlin. In which city did Alice buy the coin?,Berlin,Berlin.,0,1,0.0,1,1,0,1,100.50862099978985,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
20,Alice bought a apple at StoreB. StoreB is in Rome. In which city did Alice buy the apple?,Rome,Rome,1,1,1.0,1,1,0,0,101.16721499980486,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
21,Bob bought a apple at StoreA. StoreA is in Berlin. In which city did Bob buy the apple?,Berlin,Berlin,1,1,1.0,1,1,0,0,75.42475300033402,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
22,Dave bought a coin at StoreC. StoreC is in Rome. In which city did Dave buy the coin?,Rome,Rome.,0,1,0.0,1,1,0,1,131.85686500037264,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
23,Bob bought a apple at StoreC. StoreC is in Rome. In which city did Bob buy the apple?,Rome,Rome.,0,1,0.0,1,1,0,1,131.090540000514,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
24,Dave bought a apple at StoreC. StoreC is in Berlin. In which city did Dave buy the apple?,Berlin,Berlin.,0,1,0.0,1,1,0,1,102.03580999950645,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
25,Bob bought a coin at StoreC. StoreC is in Rome. In which city did Bob buy the coin?,Rome,Rome,1,1,1.0,1,1,0,0,101.71982799965917,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
26,Alice bought a book at StoreC. StoreC is in London. In which city did Alice buy the book?,London,London,1,1,1.0,1,1,0,0,77.41912399978901,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
27,Dave bought a ball at StoreC. StoreC is in Rome. In which city did Dave buy the ball?,Rome,Rome,1,1,1.0,1,1,0,0,101.8171590003476,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
28,Dave bought a ball at StoreA. StoreA is in Rome. In which city did Dave buy the ball?,Rome,Rome,1,1,1.0,1,1,0,0,102.57412299961288,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
29,Dave bought a coin at StoreC. StoreC is in Berlin. In which city did Dave buy the coin?,Berlin,Berlin.,0,1,0.0,1,1,0,1,100.84661199925904,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
30,Bob bought a ball at StoreC. StoreC is in London. In which city did Bob buy the ball?,London,London,1,1,1.0,1,1,0,0,77.89441800014174,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
31,Dave bought a book at StoreB. StoreB is in Paris. In which city did Dave buy the book?,Paris,Paris.,0,1,0.0,1,1,0,1,99.78419600065536,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
32,Carol bought a book at StoreB. StoreB is in Berlin. In which city did Carol buy the book?,Berlin,Berlin,1,1,1.0,1,1,0,0,76.00556599936681,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
33,Dave bought a apple at StoreA. StoreA is in Berlin. In which city did Dave buy the apple?,Berlin,Berlin,1,1,1.0,1,1,0,0,77.90368699988903,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
34,Bob bought a coin at StoreA. StoreA is in London. In which city did Bob buy the coin?,London,London,1,1,1.0,1,1,0,0,75.33419299943489,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
35,Carol bought a book at StoreB. StoreB is in London. In which city did Carol buy the book?,London,London,1,1,1.0,1,1,0,0,76.17364799989446,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
36,Carol bought a ball at StoreB. StoreB is in Paris. In which city did Carol buy the ball?,Paris,Paris.,0,1,0.0,1,1,0,1,100.68088099978922,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
37,Bob bought a book at StoreC. StoreC is in Berlin. In which city did Bob buy the book?,Berlin,Berlin,1,1,1.0,1,1,0,0,76.38783899983537,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
38,Carol bought a book at StoreA. StoreA is in London. In which city did Carol buy the book?,London,London,1,1,1.0,1,1,0,0,76.9145620006384,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
39,Dave bought a book at StoreC. StoreC is in Berlin. In which city did Dave buy the book?,Berlin,Berlin,1,1,1.0,1,1,0,0,76.57562999975198,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
40,Dave bought a book at StoreA. StoreA is in London. In which city did Dave buy the book?,London,London,1,1,1.0,1,1,0,0,76.01304699983302,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
41,Bob bought a apple at StoreA. StoreA is in Paris. In which city did Bob buy the apple?,Paris,Paris.,0,1,0.0,1,1,0,1,101.70918699986942,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
42,Dave bought a coin at StoreC. StoreC is in Berlin. In which city did Dave buy the coin?,Berlin,Berlin.,0,1,0.0,1,1,0,1,100.79885300001479,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
43,Carol bought a ball at StoreA. StoreA is in Berlin. In which city did Carol buy the ball?,Berlin,Berlin,1,1,1.0,1,1,0,0,76.64005999959045,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
44,Carol bought a book at StoreA. StoreA is in Paris. In which city did Carol buy the book?,Paris,Paris.,0,1,0.0,1,1,0,1,102.69598299964855,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
45,Alice bought a ball at StoreC. StoreC is in London. In which city did Alice buy the ball?,London,London.,0,1,0.0,1,1,0,1,101.85846900003526,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
46,Bob bought a apple at StoreA. StoreA is in Paris. In which city did Bob buy the apple?,Paris,Paris.,0,1,0.0,1,1,0,1,102.75623400048062,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
47,Bob bought a coin at StoreC. StoreC is in London. In which city did Bob buy the coin?,London,London.,0,1,0.0,1,1,0,1,101.85655800069071,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
48,Alice bought a coin at StoreA. StoreA is in Berlin. In which city did Alice buy the coin?,Berlin,Berlin,1,1,1.0,1,1,0,0,76.65804099997331,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
49,Carol bought a coin at StoreB. StoreB is in London. In which city did Carol buy the coin?,London,London.,0,1,0.0,1,1,0,1,101.4713260001372,,,,,194.86041547389368,1796.08984375,pre_replay,False,0.44149435989311314,1.0,50,50,50,50,0.10535980007261969,0.0,0,50,50,50,0.061854820014559664,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
