idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol saw at the Park on Thursday. Where was Carol?,the Park,The Park,0,1,0.5,2,2,0,0,424.02048299936723,,,,,319.5906827617573,1808.96875,pre_replay,False,0.47002771998450044,1.0,50,50,50,50,0.10900696006501676,0.0,0,50,50,50,0.06374086000505486,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
1,Bob helped at the Cafe on Thursday. When was Bob at the Cafe?,Thursday,Thursday.,0,1,0.0,1,1,0,1,101.23098500025662,,,,,319.5906827617573,1808.96875,pre_replay,False,0.47002771998450044,1.0,50,50,50,50,0.10900696006501676,0.0,0,50,50,50,0.06374086000505486,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol found at the Mall on Wednesday. Who was at the Mall?,Carol,Carol,1,1,1.0,1,1,0,0,74.9124900003153,,,,,319.5906827617573,1808.96875,pre_replay,False,0.47002771998450044,1.0,50,50,50,50,0.10900696006501676,0.0,0,50,50,50,0.06374086000505486,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
3,Dave saw at the Library on Wednesday. When was Dave at the Library?,Wednesday,Wednesday,1,1,1.0,1,1,0,0,75.89126599941665,,,,,319.5906827617573,1808.96875,pre_replay,False,0.47002771998450044,1.0,50,50,50,50,0.10900696006501676,0.0,0,50,50,50,0.06374086000505486,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
4,Alice met at the Cafe on Thursday. Who was at the Cafe?,Alice,Alice was at the Cafe.,0,0,0.33333333333333337,5,1,1,1,200.5542790002437,,,,,319.5906827617573,1808.96875,pre_replay,False,0.47002771998450044,1.0,50,50,50,50,0.10900696006501676,0.0,0,50,50,50,0.06374086000505486,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
5,Bob met at the Park on Tuesday. When was Bob at the Park?,Tuesday,Tuesday.,0,1,0.0,1,1,0,1,100.70918199926382,,,,,319.5906827617573,1808.96875,pre_replay,False,0.47002771998450044,1.0,50,50,50,50,0.10900696006501676,0.0,0,50,50,50,0.06374086000505486,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
6,Carol met at the Park on Thursday. What did Carol do?,met,met at the Park,0,0,0.4,4,1,1,0,150.01012199991237,,,,,319.5906827617573,1808.96875,pre_replay,False,0.47002771998450044,1.0,50,50,50,50,0.10900696006501676,0.0,0,50,50,50,0.06374086000505486,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
7,Carol saw at the Library on Tuesday. Who was at the Library?,Carol,Carol was at the Library.,0,0,0.33333333333333337,5,1,1,1,199.1727209997407,,,,,319.5906827617573,1808.96875,pre_replay,False,0.47002771998450044,1.0,50,50,50,50,0.10900696006501676,0.0,0,50,50,50,0.06374086000505486,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
8,Dave met at the Mall on Wednesday. Where was Dave?,the Mall,The Mall.,0,1,0.0,2,2,0,1,124.1497500004698,,,,,319.5906827617573,1808.96875,pre_replay,False,0.47002771998450044,1.0,50,50,50,50,0.10900696006501676,0.0,0,50,50,50,0.06374086000505486,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
9,Alice saw at the Park on Monday. What did Alice do?,saw,Saw at the Park on Monday.,0,0,0.0,6,1,1,1,249.93514000016148,,,,,319.5906827617573,1808.96875,pre_replay,False,0.47002771998450044,1.0,50,50,50,50,0.10900696006501676,0.0,0,50,50,50,0.06374086000505486,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
