idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,memory_hit,retrieval_latency_ms,router_path,topk_keys,distance,justification,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.attempts,gating.episodic.skipped,gating.relational.accepted,gating.relational.attempts,gating.relational.skipped,gating.spatial.accepted,gating.spatial.attempts,gating.spatial.skipped
0,Frank walked to the Park earlier today. --- FLUSH --- Carol traveled to the Office this morning. Alice drove to the Office yesterday. Where did Frank go? Answer with the location name only.,Park,Park,1,1,1.0,1,1,0,0,91.37829999963287,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Frank drove to the Cinema this morning. --- FLUSH --- Heidi journeyed to the Park yesterday. Where did Frank go? Answer with the location name only.,Cinema,Cinema,1,1,1.0,1,1,0,0,103.60726499857265,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Heidi traveled to the Mall this morning. --- FLUSH --- Eve traveled to the Park in the evening. Alice journeyed to the Cinema in the evening. Where did Heidi go? Answer with the location name only.,Mall,Mall,1,1,1.0,1,1,0,0,118.2398259988986,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Alice drove to the Library in the evening. --- FLUSH --- Grace traveled to the Cafe last week. Where did Alice go? Answer with the location name only.,Library,Library,1,1,1.0,1,1,0,0,75.97212399923592,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bob traveled to the Office earlier today. --- FLUSH --- Alice journeyed to the Museum this morning. Eve traveled to the School in the evening. Where did Bob go? Answer with the location name only.,Office,Office,1,1,1.0,1,1,0,0,90.00820000073873,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Alice traveled to the Office in the evening. --- FLUSH --- Frank journeyed to the School last week. Where did Alice go? Answer with the location name only.,Office,Office,1,1,1.0,1,1,0,0,78.57530200271867,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Alice journeyed to the Museum earlier today. --- FLUSH --- Heidi drove to the Office in the evening. Where did Alice go? Answer with the location name only.,Museum,Museum,1,1,1.0,1,1,0,0,102.3983059967577,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Frank walked to the Office yesterday. --- FLUSH --- Alice walked to the Library yesterday. Where did Frank go? Answer with the location name only.,Office,Office,1,1,1.0,1,1,0,0,77.81077700201422,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Dave journeyed to the Museum this morning. --- FLUSH --- Frank drove to the Library this morning. Where did Dave go? Answer with the location name only.,Museum,Museum,1,1,1.0,1,1,0,0,102.24054499849444,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Alice walked to the Cinema last week. --- FLUSH --- Grace walked to the Mall earlier today. Where did Alice go? Answer with the location name only.,Cinema,Cinema,1,1,1.0,1,1,0,0,101.75034200074151,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bob walked to the Mall in the evening. --- FLUSH --- Grace traveled to the Library last week. Eve journeyed to the Office earlier today. Where did Bob go? Answer with the location name only.,Mall,Mall,1,1,1.0,1,1,0,0,120.91813399820239,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Eve traveled to the Park this morning. --- FLUSH --- Frank journeyed to the Library earlier today. Bob drove to the Cinema in the evening. Where did Eve go? Answer with the location name only.,Park,Park,1,1,1.0,1,1,0,0,91.63820200046757,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Frank went to the Cafe in the evening. --- FLUSH --- Grace walked to the Office in the evening. Where did Frank go? Answer with the location name only.,Cafe,Cafe,1,1,1.0,1,1,0,0,103.02462999970885,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Frank walked to the Cinema last week. --- FLUSH --- Dave drove to the Office earlier today. Bob walked to the Office last week. Where did Frank go? Answer with the location name only.,Cinema,Cinema,1,1,1.0,1,1,0,0,116.75090599965188,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Grace drove to the Library yesterday. --- FLUSH --- Alice walked to the Museum earlier today. Eve journeyed to the Museum earlier today. Where did Grace go? Answer with the location name only.,Library,Library,1,1,1.0,1,1,0,0,89.77195899933577,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Carol journeyed to the Cafe in the evening. --- FLUSH --- Bob drove to the Cinema yesterday. Grace walked to the Park yesterday. Where did Carol go? Answer with the location name only.,Cafe,Cafe,1,1,1.0,1,1,0,0,119.65285499900347,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Heidi walked to the Mall in the evening. --- FLUSH --- Carol went to the School last week. Eve journeyed to the Museum yesterday. Where did Heidi go? Answer with the location name only.,Mall,Mall,1,1,1.0,1,1,0,0,116.55655399954412,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Heidi went to the Office last week. --- FLUSH --- Dave journeyed to the Cafe earlier today. Where did Heidi go? Answer with the location name only.,Office,Office,1,1,1.0,1,1,0,0,76.26558599804412,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Heidi traveled to the Cafe last week. --- FLUSH --- Bob traveled to the Museum yesterday. Where did Heidi go? Answer with the location name only.,Cafe,Cafe,1,1,1.0,1,1,0,0,103.35825299989665,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Heidi drove to the Museum this morning. --- FLUSH --- Alice drove to the School this morning. Grace went to the School last week. Where did Heidi go? Answer with the location name only.,Museum,Museum,1,1,1.0,1,1,0,0,118.15175400261069,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Bob walked to the Cafe last week. --- FLUSH --- Grace went to the Park yesterday. Where did Bob go? Answer with the location name only.,Cafe,Cafe,1,1,1.0,1,1,0,0,103.81929600043804,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carol journeyed to the Cinema in the evening. --- FLUSH --- Alice traveled to the Mall earlier today. Where did Carol go? Answer with the location name only.,Cinema,Cinema,1,1,1.0,1,1,0,0,103.23574100038968,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Frank drove to the Museum last week. --- FLUSH --- Alice traveled to the Cafe this morning. Where did Frank go? Answer with the location name only.,Museum,Museum,1,1,1.0,1,1,0,0,106.34317400035798,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Eve went to the Cinema yesterday. --- FLUSH --- Alice journeyed to the Office yesterday. Where did Eve go? Answer with the location name only.,Cinema,Cinema,1,1,1.0,1,1,0,0,104.24059899742133,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Grace journeyed to the Office in the evening. --- FLUSH --- Bob went to the Cinema earlier today. Carol walked to the Mall yesterday. Where did Grace go? Answer with the location name only.,Office,Office,1,1,1.0,1,1,0,0,91.2474389988347,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Frank journeyed to the Cafe yesterday. --- FLUSH --- Heidi went to the Museum this morning. Where did Frank go? Answer with the location name only.,Cafe,Cafe,1,1,1.0,1,1,0,0,105.52509800254484,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Grace drove to the Cinema earlier today. --- FLUSH --- Alice traveled to the Mall last week. Where did Grace go? Answer with the location name only.,Cinema,Cinema,1,1,1.0,1,1,0,0,102.57939700022689,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Bob traveled to the Cinema yesterday. --- FLUSH --- Eve journeyed to the Library yesterday. Where did Bob go? Answer with the location name only.,Cinema,Cinema,1,1,1.0,1,1,0,0,101.0351270015235,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Dave drove to the Park yesterday. --- FLUSH --- Frank walked to the School yesterday. Grace walked to the Cinema this morning. Where did Dave go? Answer with the location name only.,Park,Park,1,1,1.0,1,1,0,0,76.48929800052429,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Alice walked to the Museum this morning. --- FLUSH --- Heidi journeyed to the Park in the evening. Where did Alice go? Answer with the location name only.,Museum,Museum,1,1,1.0,1,1,0,0,102.5974469994253,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Frank went to the Mall in the evening. --- FLUSH --- Grace drove to the Cafe in the evening. Where did Frank go? Answer with the location name only.,Mall,Mall,1,1,1.0,1,1,0,0,110.21826100113685,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Grace drove to the Cafe yesterday. --- FLUSH --- Frank drove to the School earlier today. Where did Grace go? Answer with the location name only.,Cafe,Cafe,1,1,1.0,1,1,0,0,102.2913749984582,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Bob journeyed to the School in the evening. --- FLUSH --- Frank traveled to the Office yesterday. Eve walked to the Office this morning. Where did Bob go? Answer with the location name only.,School,School,1,1,1.0,1,1,0,0,90.07864099839935,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Alice traveled to the Park yesterday. --- FLUSH --- Heidi drove to the School last week. Where did Alice go? Answer with the location name only.,Park,Park,1,1,1.0,1,1,0,0,76.75856000059866,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Carol walked to the Mall earlier today. --- FLUSH --- Dave walked to the Cafe in the evening. Bob journeyed to the Library earlier today. Where did Carol go? Answer with the location name only.,Mall,Mall,1,1,1.0,1,1,0,0,116.72669499967014,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Eve walked to the Library earlier today. --- FLUSH --- Bob went to the Cinema last week. Bob traveled to the Cinema last week. Where did Eve go? Answer with the location name only.,Library,Library,1,1,1.0,1,1,0,0,92.33459700044477,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Alice went to the Cafe last week. --- FLUSH --- Bob traveled to the Mall yesterday. Grace drove to the School in the evening. Where did Alice go? Answer with the location name only.,Cafe,Cafe,1,1,1.0,1,1,0,0,117.93829300222569,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Grace went to the Cinema last week. --- FLUSH --- Frank walked to the Museum last week. Where did Grace go? Answer with the location name only.,Cinema,Cinema,1,1,1.0,1,1,0,0,102.6941780000925,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Alice went to the Mall this morning. --- FLUSH --- Dave walked to the Park yesterday. Dave walked to the Office this morning. Where did Alice go? Answer with the location name only.,Mall,Mall,1,1,1.0,1,1,0,0,117.08663799799979,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Bob journeyed to the Office this morning. --- FLUSH --- Dave went to the Museum last week. Where did Bob go? Answer with the location name only.,Office,Office,1,1,1.0,1,1,0,0,77.77674600220053,0,0.0,,,,,,,,,154.12434043413273,2995.6640625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
