idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.episodic.accepts,gates.episodic.aggregated,gates.episodic.attempts,gates.episodic.blocked_new_edges,gates.episodic.inserted,gates.episodic.routed_to_episodic,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (3, 4) goal (1, 4). What is the shortest path length?",2,7,0,0,0.0,1,1,0,0,395.8621639994817,False,7,2,3.5,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. What move sequence leads from (4, 4) to (4, 0)?",UUUU,"(4, 4) -> (3, 4) -> (2, 4) -> (1, 4) -> (0, 4) -> (0, 5) -> (0, 4) -> (0, 3) -> (0, 2) -> (0, 1) -> (0, 0)",0,0,0.0,32,1,1,0,1848.4911280011147,False,0,4,0.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 5). After moves ULRDL where do you end?","[3, 5]","(3, 4)",0,0,0.0,2,2,0,0,198.09914299912634,False,5,5,1.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (5, 0) goal (5, 3). What is the shortest path length?",3,7,0,0,0.0,1,1,0,0,80.28251399991859,False,7,3,2.3333333333333335,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. What move sequence leads from (2, 0) to (4, 2)?",RRDD,"(2, 0) -> (3, 0) -> (3, 1) -> (3, 2) -> (4, 2)",0,0,0.0,14,1,1,0,857.6766609985498,False,0,4,0.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (3, 0). After moves DDDUD where do you end?","[3, 3]","(5, 3)",0,0,0.0,2,2,0,0,200.36924900159647,False,5,5,1.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 4) goal (5, 2). What is the shortest path length?",3,7,0,0,0.0,1,1,0,0,80.2131839991489,False,7,3,2.3333333333333335,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. What move sequence leads from (1, 1) to (0, 2)?",LD,"(1, 1) -> (1, 2) -> (2, 2) -> (3, 2) -> (4, 2) -> (5, 2) -> (5, 3) -> (5, 4) -> (5, 5) -> (5, 2) -> (4, 2) -> (3, 2) -> (2, 2) -> (1, 2) -> (1, 1)",0,0,0.0,44,1,1,0,2502.467053000146,False,0,2,0.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (1, 0). After moves LDRRR where do you end?","[3, 1]","(3, 0)",0,0,0.0,2,2,0,0,197.78849899921624,False,5,5,1.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (1, 3) goal (2, 4). What is the shortest path length?",2,7,0,0,0.0,1,1,0,0,80.53644699975848,False,7,2,3.5,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. What move sequence leads from (2, 0) to (4, 2)?",RRDD,"(2, 0) -> (3, 0) -> (4, 0) -> (4, 2)",0,0,0.0,11,1,1,0,695.7944969999517,False,0,4,0.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (0, 3). After moves UDRLU where do you end?","[0, 2]","(2, 3)",0,0,0.0,2,2,0,0,197.67931800015504,False,5,5,1.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (2, 3) goal (0, 1). What is the shortest path length?",4,7,0,0,0.0,1,1,0,0,80.27881399902981,False,7,4,1.75,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. What move sequence leads from (1, 1) to (0, 2)?",LD,"(1, 1) -> (1, 2) -> (2, 2) -> (3, 2) -> (4, 2) -> (5, 2) -> (5, 3) -> (5, 4) -> (5, 5) -> (4, 5) -> (3, 5) -> (2, 5) -> (2, 4) -> (2, 3) -> (2, 2) -> (1, 2) -> (1, 1)",0,0,0.0,50,1,1,0,2833.2410479997634,False,0,2,0.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (1, 1). After moves RRDDD where do you end?","[3, 4]","(3, 3)",0,0,0.0,2,2,0,0,206.36682300028042,False,5,5,1.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 2) goal (1, 1). What is the shortest path length?",4,7,0,0,0.0,1,1,0,0,88.82741800152871,False,7,4,1.75,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. What move sequence leads from (2, 0) to (4, 2)?",RRDD,"(2, 0) -> (2, 2) -> (3, 2) -> (4, 2)",0,0,0.0,11,1,1,0,766.125992000525,False,0,4,0.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (2, 3). After moves DLURD where do you end?","[2, 4]","(5, 3)",0,0,0.0,2,2,0,0,202.2424909991969,False,5,5,1.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 1) goal (5, 3). What is the shortest path length?",3,10,0,0,0.0,1,1,0,0,109.58416399989801,False,10,3,3.3333333333333335,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. What move sequence leads from (1, 1) to (0, 2)?",LD,"(1, 1) -> (1, 3) -> (2, 3) -> (2, 5) -> (2, 2) -> (2, 0) -> (2, 1) -> (2, 2) -> (0, 2)",0,0,0.0,26,1,1,0,1566.9739530003426,False,0,2,0.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 2). After moves DURUU where do you end?","[5, 0]","(3, 1)",0,0,0.0,2,2,0,0,202.6184030000877,False,5,5,1.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 3) goal (5, 3). What is the shortest path length?",1,9,0,0,0.0,1,1,0,0,80.54896600151551,False,9,1,9.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. What move sequence leads from (4, 4) to (4, 0)?",UUUU,"(4, 4) -> (3, 4) -> (2, 4) -> (1, 4) -> (1, 5) -> (2, 5) -> (3, 5) -> (3, 4) -> (2, 4) -> (1, 4) -> (0, 4) -> (0, 5) -> (1, 5) -> (2, 5) -> (3, 5) -> (4, 5) -> (4, 4) -> (4, 3) -> (4, 2) -> (4, 1) -> (4, 0).",0,0,0.0,62,1,1,1,3519.9800039990805,False,0,4,0.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 2). After moves RUDLD where do you end?","[4, 3]","(3, 5)",0,0,0.0,2,2,0,0,213.63224500055367,False,5,5,1.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (5, 0) goal (2, 0). What is the shortest path length?",3,7,0,0,0.0,1,1,0,0,87.00047300044389,False,7,3,2.3333333333333335,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. What move sequence leads from (1, 1) to (0, 2)?",LD,"(1, 1) → (3, 1) → (4, 1) → (4, 2) → (0, 2)",0,0,0.0,14,1,1,0,868.1522319984651,False,0,2,0.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (3, 4). After moves DRLUR where do you end?","[4, 4]","(5, 5)",0,0,0.0,2,2,0,0,198.24324899855128,False,5,5,1.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (1, 2) goal (0, 3). What is the shortest path length?",2,7,0,0,0.0,1,1,0,0,81.58345300034853,False,7,2,3.5,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. What move sequence leads from (2, 0) to (4, 2)?",RRDD,"(2, 0) -> (3, 0) -> (4, 0) -> (4, 1) -> (4, 2)",0,0,0.0,14,1,1,0,916.7671949999203,False,0,4,0.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (1, 2). After moves DUULD where do you end?","[0, 2]","(3, 3)",0,0,0.0,2,2,0,0,209.7827950001374,False,5,5,1.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (5, 1) goal (4, 4). What is the shortest path length?",4,7,0,0,0.0,1,1,0,0,87.65571799995087,False,7,4,1.75,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. What move sequence leads from (2, 0) to (4, 2)?",RRDD,"(2, 0) -> (3, 0) -> (3, 1) -> (4, 1) -> (4, 2)",0,0,0.0,14,1,1,0,920.2389199999743,False,0,4,0.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (5, 0). After moves DULLL where do you end?","[2, 0]","(3, 4)",0,0,0.0,2,2,0,0,213.32611100115173,False,5,5,1.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (4, 3) goal (3, 5). What is the shortest path length?",3,7,0,0,0.0,1,1,0,0,86.94219300014083,False,7,3,2.3333333333333335,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. What move sequence leads from (2, 0) to (4, 2)?",RRDD,"(2, 0) -> (3, 0) -> (4, 0) -> (4, 2)",0,0,0.0,11,1,1,0,743.3947310000804,False,0,4,0.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (0, 1). After moves RRLRU where do you end?","[2, 0]","(3, 3)",0,0,0.0,2,2,0,0,216.13647199956176,False,5,5,1.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (3, 2) goal (5, 0). What is the shortest path length?",4,7,0,0,0.0,1,1,0,0,87.65616799973941,False,7,4,1.75,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. What move sequence leads from (4, 4) to (4, 0)?",UUUU,"(4, 4) -> (3, 4) -> (2, 4) -> (2, 3) -> (2, 2) -> (1, 2) -> (1, 1) -> (0, 1) -> (0, 0)",0,0,0.0,26,1,1,0,1625.3380279995326,False,0,4,0.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (0, 2). After moves DRRDL where do you end?","[1, 4]","(3, 4)",0,0,0.0,2,2,0,0,213.51846200013824,False,5,5,1.0,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"Grid 6x6 with obstacles [(0, 4), (1, 5), (2, 2), (2, 5), (5, 4), (5, 5)]. Start (0, 0) goal (1, 4). What is the shortest path length?",5,7,0,0,0.0,1,1,0,0,87.43159600089712,False,7,5,1.4,527.4766794680402,1782.91015625,pre_replay,True,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.10650305994204246,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
