idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.episodic.accepts,gates.episodic.aggregated,gates.episodic.attempts,gates.episodic.blocked_new_edges,gates.episodic.inserted,gates.episodic.routed_to_episodic,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,"Carol likes blue. Actually, Carol likes green. What color does Carol like?",green,green,,,,1,1,0,0,79.76321399996777,,,,,pre_replay,False,0.4938837199961199,1.0,50,50,50,50,0.11117342000034114,0.0,0,50,50,50,0.06395569998858264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Dave likes green. Actually, Dave likes blue. What color does Dave like?",blue,blue,,,,1,1,0,0,81.12835199995061,,,,,pre_replay,False,0.4938837199961199,1.0,50,50,50,50,0.11117342000034114,0.0,0,50,50,50,0.06395569998858264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Dave likes blue. Actually, Dave likes yellow. What color does Dave like?",yellow,yellow,,,,1,1,0,0,78.30720499987365,,,,,pre_replay,False,0.4938837199961199,1.0,50,50,50,50,0.11117342000034114,0.0,0,50,50,50,0.06395569998858264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Carol likes red. Actually, Carol likes green. What color does Carol like?",green,green,,,,1,1,0,0,79.902243999868,,,,,pre_replay,False,0.4938837199961199,1.0,50,50,50,50,0.11117342000034114,0.0,0,50,50,50,0.06395569998858264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Dave likes red. Actually, Dave likes yellow. What color does Dave like?",yellow,yellow,,,,1,1,0,0,78.85383799998635,,,,,pre_replay,False,0.4938837199961199,1.0,50,50,50,50,0.11117342000034114,0.0,0,50,50,50,0.06395569998858264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Carol likes yellow. Actually, Carol likes blue. What color does Carol like?",blue,blue,,,,1,1,0,0,80.6402389998766,,,,,pre_replay,False,0.4938837199961199,1.0,50,50,50,50,0.11117342000034114,0.0,0,50,50,50,0.06395569998858264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Carol likes red. Actually, Carol likes green. What color does Carol like?",green,green,,,,1,1,0,0,79.96607500012942,,,,,pre_replay,False,0.4938837199961199,1.0,50,50,50,50,0.11117342000034114,0.0,0,50,50,50,0.06395569998858264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Alice likes yellow. Actually, Alice likes red. What color does Alice like?",red,red,,,,1,1,0,0,79.59284300000036,,,,,pre_replay,False,0.4938837199961199,1.0,50,50,50,50,0.11117342000034114,0.0,0,50,50,50,0.06395569998858264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Bob likes green. Actually, Bob likes yellow. What color does Bob like?",yellow,yellow,,,,1,1,0,0,78.14760300016133,,,,,pre_replay,False,0.4938837199961199,1.0,50,50,50,50,0.11117342000034114,0.0,0,50,50,50,0.06395569998858264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Dave likes green. Actually, Dave likes red. What color does Dave like?",red,red,,,,1,1,0,0,79.813293999905,,,,,pre_replay,False,0.4938837199961199,1.0,50,50,50,50,0.11117342000034114,0.0,0,50,50,50,0.06395569998858264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Alice likes red. Actually, Alice likes blue. What color does Alice like?",blue,blue,,,,1,1,0,0,80.34463699982552,,,,,pre_replay,False,0.4938837199961199,1.0,50,50,50,50,0.11117342000034114,0.0,0,50,50,50,0.06395569998858264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Dave likes red. Actually, Dave likes yellow. What color does Dave like?",yellow,yellow,,,,1,1,0,0,80.7625590000498,,,,,pre_replay,False,0.4938837199961199,1.0,50,50,50,50,0.11117342000034114,0.0,0,50,50,50,0.06395569998858264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Alice likes blue. Actually, Alice likes red. What color does Alice like?",red,red,,,,1,1,0,0,78.51275600000918,,,,,pre_replay,False,0.4938837199961199,1.0,50,50,50,50,0.11117342000034114,0.0,0,50,50,50,0.06395569998858264,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
