idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.aggregated,gating.episodic.attempts,gating.episodic.blocked,gating.episodic.blocked_new_edges,gating.episodic.inserted,gating.episodic.null_input,gating.episodic.routed_to_episodic,gating.episodic.skipped,gating.relational.accepted,gating.relational.aggregated,gating.relational.attempts,gating.relational.blocked,gating.relational.blocked_new_edges,gating.relational.inserted,gating.relational.null_input,gating.relational.routed_to_episodic,gating.relational.skipped,gating.spatial.accepted,gating.spatial.aggregated,gating.spatial.attempts,gating.spatial.blocked,gating.spatial.blocked_new_edges,gating.spatial.inserted,gating.spatial.null_input,gating.spatial.routed_to_episodic,gating.spatial.skipped
0,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (4, 3) goal (6, 2). Respond with moves using U, D, L, R only, no spaces.",RRU,"R,U,R,U,R,U,R,U,L,U,L,U,R,U",0,0,0.0,1,1,0,0,404.86964599949715,False,14,3,4.666666666666667,336.12594614053967,1731.828125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (4, 4) goal (6, 4). Respond with moves using U, D, L, R only, no spaces.",RR,"R,U,R,U,R,U,R,U,L,L,U,U,L,R,U,U,R,U,R",0,0,0.0,1,1,0,0,519.1108709996115,False,19,2,9.5,336.12594614053967,1731.828125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (4, 4) goal (3, 5). Respond with moves using U, D, L, R only, no spaces.",LD,"R,R,U,U,L,L,D,D,R,R,U,U",0,0,0.0,1,1,0,0,358.3283970001503,False,12,2,6.0,336.12594614053967,1731.828125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (6, 2) goal (6, 4). Respond with moves using U, D, L, R only, no spaces.",DD,"R,U,R,U,U,R,U,U,L,U,U,R,U,U,R",0,0,0.0,1,1,0,0,426.9790489997831,False,15,2,7.5,336.12594614053967,1731.828125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (3, 1) goal (1, 1). Respond with moves using U, D, L, R only, no spaces.",LL,"R,U,R,U,R,U,L,U,L,R,U",0,0,0.0,1,1,0,0,334.3489030003184,False,11,2,5.5,336.12594614053967,1731.828125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (4, 4) goal (6, 4). Respond with moves using U, D, L, R only, no spaces.",RR,"R,U,R,U,R,U,R,U,L,U,U,R,U,U,R,U,U,R,U",0,0,0.0,1,1,0,0,522.1509630000583,False,19,2,9.5,336.12594614053967,1731.828125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (2, 5) goal (2, 1). Respond with moves using U, D, L, R only, no spaces.",RUUULU,"R,R,U,U,L,L,D,D,R,R",0,0,0.0,1,1,0,0,311.7353280003954,False,10,6,1.6666666666666667,336.12594614053967,1731.828125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (6, 1) goal (2, 1). Respond with moves using U, D, L, R only, no spaces.",DLDLLULU,"R,U,R,U,R,U,R,L,U,U,L,R,U,U",0,0,0.0,1,1,0,0,404.1729939999641,False,14,8,1.75,336.12594614053967,1731.828125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (1, 1) goal (5, 3). Respond with moves using U, D, L, R only, no spaces.",RRDDRR,"L,U,L,U,R,U,U,U,D,R,U,U,R,U,R,U",0,0,0.0,1,1,0,0,450.63495300018985,False,16,6,2.6666666666666665,336.12594614053967,1731.828125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Grid 7x7 with obstacles [(0, 3), (0, 4), (1, 0), (1, 2), (1, 5), (1, 6), (2, 0), (2, 3), (2, 4), (4, 0), (4, 1), (4, 2), (5, 1)]. Start (6, 1) goal (2, 1). Respond with moves using U, D, L, R only, no spaces.",DLDLLULU,"R,U,R,U,R,U,R,U,L,U,R,U",0,0,0.0,1,1,0,0,358.15334800008714,False,12,8,1.5,336.12594614053967,1731.828125,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
