idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol went to the Library. --- FLUSH --- Where did Carol go?,the Library,The Library.,,,,2,2,0,1,125.87267100002464,,,,,pre_replay,False,0.444197579986394,1.0,50,50,50,50,0.10828106000644766,0.0,0,50,50,50,0.06291428000167798,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
1,Carol went to the Mall. --- FLUSH --- Where did Carol go?,the Mall,Mall.,,,,1,2,0,1,127.7460589999464,,,,,pre_replay,False,0.444197579986394,1.0,50,50,50,50,0.10828106000644766,0.0,0,50,50,50,0.06291428000167798,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol went to the Park. --- FLUSH --- Where did Carol go?,the Park,The Park.,,,,2,2,0,1,127.45239800005947,,,,,pre_replay,False,0.444197579986394,1.0,50,50,50,50,0.10828106000644766,0.0,0,50,50,50,0.06291428000167798,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
3,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,The Library.,,,,2,2,0,1,126.94599499991455,,,,,pre_replay,False,0.444197579986394,1.0,50,50,50,50,0.10828106000644766,0.0,0,50,50,50,0.06291428000167798,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
4,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,,,,1,2,0,0,103.56215499996324,,,,,pre_replay,False,0.444197579986394,1.0,50,50,50,50,0.10828106000644766,0.0,0,50,50,50,0.06291428000167798,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
5,Dave went to the Mall. --- FLUSH --- Where did Dave go?,the Mall,Mall.,,,,1,2,0,1,126.92281599993294,,,,,pre_replay,False,0.444197579986394,1.0,50,50,50,50,0.10828106000644766,0.0,0,50,50,50,0.06291428000167798,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
6,Alice went to the Park. --- FLUSH --- Where did Alice go?,the Park,The Park.,,,,2,2,0,1,129.81503700007124,,,,,pre_replay,False,0.444197579986394,1.0,50,50,50,50,0.10828106000644766,0.0,0,50,50,50,0.06291428000167798,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
7,Dave went to the Mall. --- FLUSH --- Where did Dave go?,the Mall,Mall,,,,1,2,0,0,102.59496100002252,,,,,pre_replay,False,0.444197579986394,1.0,50,50,50,50,0.10828106000644766,0.0,0,50,50,50,0.06291428000167798,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
8,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,,,,1,2,0,0,103.2551829998738,,,,,pre_replay,False,0.444197579986394,1.0,50,50,50,50,0.10828106000644766,0.0,0,50,50,50,0.06291428000167798,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
9,Carol went to the Cafe. --- FLUSH --- Where did Carol go?,the Cafe,Cafe,,,,1,2,0,0,100.88197400000354,,,,,pre_replay,False,0.444197579986394,1.0,50,50,50,50,0.10828106000644766,0.0,0,50,50,50,0.06291428000167798,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
10,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,Library.,,,,1,2,0,1,102.53413100008402,,,,,pre_replay,False,0.444197579986394,1.0,50,50,50,50,0.10828106000644766,0.0,0,50,50,50,0.06291428000167798,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
11,Bob went to the Park. --- FLUSH --- Where did Bob go?,the Park,The Park.,,,,2,2,0,1,127.1674360000361,,,,,pre_replay,False,0.444197579986394,1.0,50,50,50,50,0.10828106000644766,0.0,0,50,50,50,0.06291428000167798,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
12,Dave went to the Park. --- FLUSH --- Where did Dave go?,the Park,Park.,,,,1,2,0,1,103.8641259999622,,,,,pre_replay,False,0.444197579986394,1.0,50,50,50,50,0.10828106000644766,0.0,0,50,50,50,0.06291428000167798,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
13,Bob went to the Cafe. --- FLUSH --- Where did Bob go?,the Cafe,Cafe,,,,1,2,0,0,102.40204999990965,,,,,pre_replay,False,0.444197579986394,1.0,50,50,50,50,0.10828106000644766,0.0,0,50,50,50,0.06291428000167798,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
14,Alice went to the Cafe. --- FLUSH --- Where did Alice go?,the Cafe,Cafe,,,,1,2,0,0,100.87143399982779,,,,,pre_replay,False,0.444197579986394,1.0,50,50,50,50,0.10828106000644766,0.0,0,50,50,50,0.06291428000167798,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
15,Dave went to the Cafe. --- FLUSH --- Where did Dave go?,the Cafe,Cafe,,,,1,2,0,0,101.54904699993494,,,,,pre_replay,False,0.444197579986394,1.0,50,50,50,50,0.10828106000644766,0.0,0,50,50,50,0.06291428000167798,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
16,Alice went to the Library. --- FLUSH --- Where did Alice go?,the Library,Library.,,,,1,2,0,1,103.67620499982877,,,,,pre_replay,False,0.444197579986394,1.0,50,50,50,50,0.10828106000644766,0.0,0,50,50,50,0.06291428000167798,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
17,Bob went to the Cafe. --- FLUSH --- Where did Bob go?,the Cafe,Cafe,,,,1,2,0,0,100.83127299981243,,,,,pre_replay,False,0.444197579986394,1.0,50,50,50,50,0.10828106000644766,0.0,0,50,50,50,0.06291428000167798,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
18,Carol went to the Library. --- FLUSH --- Where did Carol go?,the Library,The Library.,,,,2,2,0,1,126.8701559999954,,,,,pre_replay,False,0.444197579986394,1.0,50,50,50,50,0.10828106000644766,0.0,0,50,50,50,0.06291428000167798,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
19,Dave went to the Park. --- FLUSH --- Where did Dave go?,the Park,The Park.,,,,2,2,0,1,126.30380299992794,,,,,pre_replay,False,0.444197579986394,1.0,50,50,50,50,0.10828106000644766,0.0,0,50,50,50,0.06291428000167798,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
