idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.episodic.accepts,gates.episodic.aggregated,gates.episodic.attempts,gates.episodic.blocked_new_edges,gates.episodic.inserted,gates.episodic.routed_to_episodic,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol saw at the Park on Thursday. Where was Carol?,the Park,Park,,,,1,2,0,0,80.31135999999606,,,,,pre_replay,False,0.498117900010584,1.0,50,50,50,50,0.11090653999872302,0.0,0,50,50,50,0.06584539999948902,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Bob helped at the Cafe on Thursday. When was Bob at the Cafe?,Thursday,Thursday.,,,,1,1,0,1,104.91347100014536,,,,,pre_replay,False,0.498117900010584,1.0,50,50,50,50,0.11090653999872302,0.0,0,50,50,50,0.06584539999948902,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol found at the Mall on Wednesday. Who was at the Mall?,Carol,Carol.,,,,1,1,0,1,104.70971900008408,,,,,pre_replay,False,0.498117900010584,1.0,50,50,50,50,0.11090653999872302,0.0,0,50,50,50,0.06584539999948902,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Dave saw at the Library on Wednesday. When was Dave at the Library?,Wednesday,Wednesday,,,,1,1,0,0,80.5887609999445,,,,,pre_replay,False,0.498117900010584,1.0,50,50,50,50,0.11090653999872302,0.0,0,50,50,50,0.06584539999948902,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Alice met at the Cafe on Thursday. Who was at the Cafe?,Alice,Alice.,,,,1,1,0,1,103.43437200003791,,,,,pre_replay,False,0.498117900010584,1.0,50,50,50,50,0.11090653999872302,0.0,0,50,50,50,0.06584539999948902,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Bob met at the Park on Tuesday. When was Bob at the Park?,Tuesday,Tuesday.,,,,1,1,0,1,106.76093100005346,,,,,pre_replay,False,0.498117900010584,1.0,50,50,50,50,0.11090653999872302,0.0,0,50,50,50,0.06584539999948902,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Carol met at the Park on Thursday. What did Carol do?,met,met at the Park on Thursday.,,,,6,1,1,1,234.47026099984214,,,,,pre_replay,False,0.498117900010584,1.0,50,50,50,50,0.11090653999872302,0.0,0,50,50,50,0.06584539999948902,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Carol saw at the Library on Tuesday. Who was at the Library?,Carol,Carol.,,,,1,1,0,1,105.455283000083,,,,,pre_replay,False,0.498117900010584,1.0,50,50,50,50,0.11090653999872302,0.0,0,50,50,50,0.06584539999948902,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Dave met at the Mall on Wednesday. Where was Dave?,the Mall,The Mall.,,,,2,2,0,1,136.52394200016715,,,,,pre_replay,False,0.498117900010584,1.0,50,50,50,50,0.11090653999872302,0.0,0,50,50,50,0.06584539999948902,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Alice saw at the Park on Monday. What did Alice do?,saw,saw at the Park,,,,4,1,1,0,183.13433699995585,,,,,pre_replay,False,0.498117900010584,1.0,50,50,50,50,0.11090653999872302,0.0,0,50,50,50,0.06584539999948902,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Carol met at the Library on Thursday. Where was Carol?,the Library,Library.,,,,1,2,0,1,104.58614899994245,,,,,pre_replay,False,0.498117900010584,1.0,50,50,50,50,0.11090653999872302,0.0,0,50,50,50,0.06584539999948902,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Alice found at the Park on Tuesday. Who was at the Park?,Alice,Alice,,,,1,1,0,0,80.94325299998673,,,,,pre_replay,False,0.498117900010584,1.0,50,50,50,50,0.11090653999872302,0.0,0,50,50,50,0.06584539999948902,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Alice saw at the Park on Wednesday. What did Alice do?,saw,saw at the Park,,,,4,1,1,0,184.56618499999422,,,,,pre_replay,False,0.498117900010584,1.0,50,50,50,50,0.11090653999872302,0.0,0,50,50,50,0.06584539999948902,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Dave helped at the Library on Tuesday. Where was Dave?,the Library,Library.,,,,1,2,0,1,105.80957499996657,,,,,pre_replay,False,0.498117900010584,1.0,50,50,50,50,0.11090653999872302,0.0,0,50,50,50,0.06584539999948902,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Dave saw at the Mall on Wednesday. Who was at the Mall?,Dave,Dave.,,,,1,1,0,1,105.70970499998111,,,,,pre_replay,False,0.498117900010584,1.0,50,50,50,50,0.11090653999872302,0.0,0,50,50,50,0.06584539999948902,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Dave helped at the Park on Thursday. Where was Dave?,the Park,Park,,,,1,2,0,0,79.21569300015108,,,,,pre_replay,False,0.498117900010584,1.0,50,50,50,50,0.11090653999872302,0.0,0,50,50,50,0.06584539999948902,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Dave found at the Mall on Tuesday. Where was Dave?,the Mall,Mall,,,,1,2,0,0,103.24948000015866,,,,,pre_replay,False,0.498117900010584,1.0,50,50,50,50,0.11090653999872302,0.0,0,50,50,50,0.06584539999948902,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Alice found at the Cafe on Wednesday. Who was at the Cafe?,Alice,Alice.,,,,1,1,0,1,106.67137999985243,,,,,pre_replay,False,0.498117900010584,1.0,50,50,50,50,0.11090653999872302,0.0,0,50,50,50,0.06584539999948902,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Dave saw at the Cafe on Thursday. What did Dave do?,saw,saw at the Cafe on Thursday.,,,,6,1,1,1,259.73300599980575,,,,,pre_replay,False,0.498117900010584,1.0,50,50,50,50,0.11090653999872302,0.0,0,50,50,50,0.06584539999948902,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Bob helped at the Cafe on Thursday. What did Bob do?,helped,Helped at the Cafe.,,,,4,1,1,1,209.04334500005461,,,,,pre_replay,False,0.498117900010584,1.0,50,50,50,50,0.11090653999872302,0.0,0,50,50,50,0.06584539999948902,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
