idx,prompt,answer,pred,correct,latency_ms,flags,gating_enabled
0,Carol saw at the Park on Thursday. Where was Carol?,the Park,the Park,1,0.0,pre_replay,False
1,Bob helped at the Cafe on Thursday. When was Bob at the Cafe?,Thursday,Thursday,1,0.0,pre_replay,False
2,Carol found at the Mall on Wednesday. Who was at the Mall?,Carol,Carol,1,0.0,pre_replay,False
3,Dave saw at the Library on Wednesday. When was Dave at the Library?,Wednesday,Wednesday,1,0.0,pre_replay,False
4,Alice met at the Cafe on Thursday. Who was at the Cafe?,Alice,Alice,1,0.0,pre_replay,False
5,Bob met at the Park on Tuesday. When was Bob at the Park?,Tuesday,Tuesday,1,0.0,pre_replay,False
6,Carol met at the Park on Thursday. What did Carol do?,met,met,1,0.0,pre_replay,False
7,Carol saw at the Library on Tuesday. Who was at the Library?,Carol,Carol,1,0.0,pre_replay,False
8,Dave met at the Mall on Wednesday. Where was Dave?,the Mall,the Mall,1,0.0,pre_replay,False
9,Alice saw at the Park on Monday. What did Alice do?,saw,saw,1,0.0,pre_replay,False
10,Carol met at the Library on Thursday. Where was Carol?,the Library,the Library,1,0.0,pre_replay,False
11,Alice found at the Park on Tuesday. Who was at the Park?,Alice,Alice,1,0.0,pre_replay,False
12,Alice saw at the Park on Wednesday. What did Alice do?,saw,saw,1,0.0,pre_replay,False
13,Dave helped at the Library on Tuesday. Where was Dave?,the Library,the Library,1,0.0,pre_replay,False
14,Dave saw at the Mall on Wednesday. Who was at the Mall?,Dave,Dave,1,0.0,pre_replay,False
15,Dave helped at the Park on Thursday. Where was Dave?,the Park,the Park,1,0.0,pre_replay,False
16,Dave found at the Mall on Tuesday. Where was Dave?,the Mall,the Mall,1,0.0,pre_replay,False
17,Alice found at the Cafe on Wednesday. Who was at the Cafe?,Alice,Alice,1,0.0,pre_replay,False
18,Dave saw at the Cafe on Thursday. What did Dave do?,saw,saw,1,0.0,pre_replay,False
19,Bob helped at the Cafe on Thursday. What did Bob do?,helped,helped,1,0.0,pre_replay,False
20,Carol met at the Library on Monday. When was Carol at the Library?,Monday,Monday,1,0.0,pre_replay,False
21,Dave met at the Mall on Thursday. Who was at the Mall?,Dave,Dave,1,0.0,pre_replay,False
22,Bob saw at the Cafe on Thursday. When was Bob at the Cafe?,Thursday,Thursday,1,0.0,pre_replay,False
23,Carol helped at the Cafe on Thursday. Where was Carol?,the Cafe,the Cafe,1,0.0,pre_replay,False
24,Bob met at the Cafe on Wednesday. What did Bob do?,met,met,1,0.0,pre_replay,False
25,Alice saw at the Mall on Tuesday. Who was at the Mall?,Alice,Alice,1,0.0,pre_replay,False
26,Dave helped at the Mall on Thursday. What did Dave do?,helped,helped,1,0.0,pre_replay,False
27,Bob helped at the Park on Thursday. Who was at the Park?,Bob,Bob,1,0.0,pre_replay,False
28,Bob met at the Cafe on Thursday. Where was Bob?,the Cafe,the Cafe,1,0.0,pre_replay,False
29,Bob met at the Mall on Wednesday. When was Bob at the Mall?,Wednesday,Wednesday,1,0.0,pre_replay,False
30,Carol met at the Cafe on Monday. Who was at the Cafe?,Carol,Carol,1,0.0,pre_replay,False
31,Dave found at the Mall on Thursday. What did Dave do?,found,found,1,0.0,pre_replay,False
32,Bob saw at the Cafe on Thursday. What did Bob do?,saw,saw,1,0.0,pre_replay,False
33,Bob found at the Library on Monday. What did Bob do?,found,found,1,0.0,pre_replay,False
34,Dave helped at the Cafe on Wednesday. Where was Dave?,the Cafe,the Cafe,1,0.0,pre_replay,False
35,Dave helped at the Park on Monday. Where was Dave?,the Park,the Park,1,0.0,pre_replay,False
36,Bob met at the Cafe on Monday. When was Bob at the Cafe?,Monday,Monday,1,0.0,pre_replay,False
37,Alice found at the Cafe on Monday. When was Alice at the Cafe?,Monday,Monday,1,0.0,pre_replay,False
38,Carol found at the Library on Monday. When was Carol at the Library?,Monday,Monday,1,0.0,pre_replay,False
39,Carol helped at the Cafe on Tuesday. What did Carol do?,helped,helped,1,0.0,pre_replay,False
40,Dave saw at the Library on Tuesday. Where was Dave?,the Library,the Library,1,0.0,pre_replay,False
41,Carol saw at the Library on Thursday. Where was Carol?,the Library,the Library,1,0.0,pre_replay,False
42,Carol found at the Park on Tuesday. Who was at the Park?,Carol,Carol,1,0.0,pre_replay,False
43,Bob saw at the Library on Monday. Who was at the Library?,Bob,Bob,1,0.0,pre_replay,False
44,Alice helped at the Library on Monday. When was Alice at the Library?,Monday,Monday,1,0.0,pre_replay,False
45,Dave found at the Cafe on Tuesday. What did Dave do?,found,found,1,0.0,pre_replay,False
46,Bob met at the Library on Monday. Where was Bob?,the Library,the Library,1,0.0,pre_replay,False
47,Carol met at the Park on Thursday. Where was Carol?,the Park,the Park,1,0.0,pre_replay,False
48,Carol helped at the Cafe on Wednesday. Who was at the Cafe?,Carol,Carol,1,0.0,pre_replay,False
49,Dave helped at the Library on Thursday. Who was at the Library?,Dave,Dave,1,0.0,pre_replay,False
