suite,preset,em_raw_mean,em_raw_ci,em_norm_mean,em_norm_ci,f1_mean,f1_ci
episodic_cross,rag,1.0,0.0,1.0,0.0,1.0,0.0
semantic,rag,0.94,0.0,0.94,0.0,0.94,0.0
episodic_multi,rag,0.46,0.0,0.46,0.0,0.46,0.0
spatial,rag,0.0,0.0,0.0,0.0,0.0,0.0
episodic_capacity,rag,0.0,0.0,0.0,0.0,0.27333333333333326,0.0
episodic,rag,0.14,0.0,0.14,0.0,0.2821919191919192,0.0
episodic_cross,core,1.0,0.0,1.0,0.0,1.0,0.0
semantic,core,0.94,0.0,0.94,0.0,0.94,0.0
episodic_multi,core,0.48,0.0,0.48,0.0,0.48,0.0
spatial,core,0.0,0.0,0.0,0.0,0.0,0.0
episodic_capacity,core,0.0,0.0,0.0,0.0,0.31999999999999995,0.0
episodic,core,0.08,0.0,0.08,0.0,0.20600000000000002,0.0
episodic_cross,span_short,1.0,0.0,1.0,0.0,1.0,0.0
semantic,span_short,0.98,0.0,0.98,0.0,0.98,0.0
episodic_multi,span_short,0.52,0.0,0.52,0.0,0.5266666666666666,0.0
spatial,span_short,0.0,0.0,0.0,0.0,0.0,0.0
episodic_capacity,span_short,0.0,0.0,0.0,0.0,0.30333333333333323,0.0
episodic,span_short,0.1,0.0,0.1,0.0,0.24630303030303033,0.0
episodic_cross,longctx,0.98,0.0,0.98,0.0,0.9933333333333334,0.0
semantic,longctx,1.0,0.0,1.0,0.0,1.0,0.0
episodic_multi,longctx,0.64,0.0,0.64,0.0,0.64,0.0
spatial,longctx,0.0,0.0,0.0,0.0,0.0,0.0
episodic_capacity,longctx,0.0,0.0,0.0,0.0,0.3,0.0
episodic,longctx,0.28,0.0,0.28,0.0,0.4133333333333333,0.0
