idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol saw at the Park on Thursday. Where was Carol?,the Park,Park,0,1,0.6666666666666666,1,2,0,0,349.3770630011568,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
1,Bob helped at the Cafe on Thursday. When was Bob at the Cafe?,Thursday,Thursday.,0,1,0.0,1,1,0,1,97.78701799950795,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol found at the Mall on Wednesday. Who was at the Mall?,Carol,Carol.,0,1,0.0,1,1,0,1,98.24974100047257,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
3,Dave saw at the Library on Wednesday. When was Dave at the Library?,Wednesday,Wednesday,1,1,1.0,1,1,0,0,73.89248999970732,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
4,Alice met at the Cafe on Thursday. Who was at the Cafe?,Alice,Alice.,0,1,0.0,1,1,0,1,97.68937699845992,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
5,Bob met at the Park on Tuesday. When was Bob at the Park?,Tuesday,Tuesday.,0,1,0.0,1,1,0,1,97.99038900018786,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
6,Carol met at the Park on Thursday. What did Carol do?,met,met at the Park,0,0,0.4,4,1,1,0,146.2874600001669,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
7,Carol saw at the Library on Tuesday. Who was at the Library?,Carol,Carol was at the Library.,0,0,0.33333333333333337,5,1,1,1,197.4176579969935,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
8,Dave met at the Mall on Wednesday. Where was Dave?,the Mall,The Mall.,0,1,0.0,2,2,0,1,123.52809799995157,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
9,Alice saw at the Park on Monday. What did Alice do?,saw,saw at the Park,0,0,0.4,4,1,1,0,173.86473100123112,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
10,Carol met at the Library on Thursday. Where was Carol?,the Library,Library,0,1,0.6666666666666666,1,2,0,0,75.1381370027957,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
11,Alice found at the Park on Tuesday. Who was at the Park?,Alice,Alice,1,1,1.0,1,1,0,0,75.90033200176549,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
12,Alice saw at the Park on Wednesday. What did Alice do?,saw,see at the park,0,0,0.0,4,1,1,0,149.8044209984073,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
13,Dave helped at the Library on Tuesday. Where was Dave?,the Library,Library,0,1,0.6666666666666666,1,2,0,0,75.38773900159867,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
14,Dave saw at the Mall on Wednesday. Who was at the Mall?,Dave,Dave.,0,1,0.0,1,1,0,1,99.87942099905922,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
15,Dave helped at the Park on Thursday. Where was Dave?,the Park,The Park.,0,1,0.0,2,2,0,1,124.33472300108406,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
16,Dave found at the Mall on Tuesday. Where was Dave?,the Mall,Mall,0,1,0.6666666666666666,1,2,0,0,98.44512199924793,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
17,Alice found at the Cafe on Wednesday. Who was at the Cafe?,Alice,Alice,1,1,1.0,1,1,0,0,74.28392200017697,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
18,Dave saw at the Cafe on Thursday. What did Dave do?,saw,saw at the Cafe on Thursday.,0,0,0.2857142857142857,6,1,1,1,243.51613399994676,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
19,Bob helped at the Cafe on Thursday. What did Bob do?,helped,helped at the Cafe,0,0,0.4,4,1,1,0,171.79412900077295,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
20,Carol met at the Library on Monday. When was Carol at the Library?,Monday,Monday,1,1,1.0,1,1,0,0,74.61953399979393,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
21,Dave met at the Mall on Thursday. Who was at the Mall?,Dave,Dave.,0,1,0.0,1,1,0,1,98.7080140002945,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
22,Bob saw at the Cafe on Thursday. When was Bob at the Cafe?,Thursday,Thursday.,0,1,0.0,1,1,0,1,99.82528099862975,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
23,Carol helped at the Cafe on Thursday. Where was Carol?,the Cafe,Cafe,0,1,0.6666666666666666,1,2,0,0,97.81724800268421,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
24,Bob met at the Cafe on Wednesday. What did Bob do?,met,met at the Cafe on Wednesday,0,0,0.2857142857142857,6,1,1,0,197.46004799890216,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
25,Alice saw at the Mall on Tuesday. Who was at the Mall?,Alice,Alice was at the Mall.,0,0,0.33333333333333337,5,1,1,1,195.88749799731886,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
26,Dave helped at the Mall on Thursday. What did Dave do?,helped,Helped at the Mall on Thursday.,0,0,0.0,6,1,1,1,244.14471800264437,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
27,Bob helped at the Park on Thursday. Who was at the Park?,Bob,Bob was at the Park on Thursday.,0,0,0.25,7,1,1,1,246.78986400249414,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
28,Bob met at the Cafe on Thursday. Where was Bob?,the Cafe,Cafe,0,1,0.6666666666666666,1,2,0,0,98.09795999899507,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
29,Bob met at the Mall on Wednesday. When was Bob at the Mall?,Wednesday,Wednesday.,0,1,0.0,1,1,0,1,98.38942199712619,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
30,Carol met at the Cafe on Monday. Who was at the Cafe?,Carol,Carol.,0,1,0.0,1,1,0,1,98.16103000048315,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
31,Dave found at the Mall on Thursday. What did Dave do?,found,Found at the Mall on Thursday.,0,0,0.0,6,1,1,1,219.78209699955187,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
32,Bob saw at the Cafe on Thursday. What did Bob do?,saw,saw at the Cafe on Thursday.,0,0,0.2857142857142857,6,1,1,1,241.46972100061248,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
33,Bob found at the Library on Monday. What did Bob do?,found,Found at the Library on Monday.,0,0,0.0,6,1,1,1,217.84357399883447,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
34,Dave helped at the Cafe on Wednesday. Where was Dave?,the Cafe,Cafe,0,1,0.6666666666666666,1,2,0,0,97.91102899907855,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
35,Dave helped at the Park on Monday. Where was Dave?,the Park,Park,0,1,0.6666666666666666,1,2,0,0,72.96020400099223,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
36,Bob met at the Cafe on Monday. When was Bob at the Cafe?,Monday,Monday,1,1,1.0,1,1,0,0,73.41218600049615,,,,,298.81068352504786,1679.33203125,pre_replay,False,0.43283220002194867,1.0,50,50,50,50,0.10626729970681481,0.0,0,50,50,50,0.0598430800891947,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0
