idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,memory_hit,retrieval_latency_ms,router_path,topk_keys,distance,justification,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.attempts,gating.episodic.skipped,gating.relational.accepted,gating.relational.attempts,gating.relational.skipped,gating.spatial.accepted,gating.spatial.attempts,gating.spatial.skipped
0,Frank walked to the Park earlier today. --- FLUSH --- Carol traveled to the Office this morning. Alice drove to the Office yesterday. Where did Frank go? Answer with the location name only.,Park,Park,1,1,1.0,1,1,0,0,89.6134169997822,1,0.5678730012732558,['episodic'],[['1']],,,,,,,151.86040198390145,2973.046875,pre_replay,True,0.3820360200916184,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,50,50,0,0,0,0,0,0,0
1,Frank drove to the Cinema this morning. --- FLUSH --- Heidi journeyed to the Park yesterday. Where did Frank go? Answer with the location name only.,Cinema,Cinema,1,1,1.0,1,1,0,0,100.82159500234411,1,0.34547200266388245,['episodic'],[['1']],,,,,,,151.86040198390145,2973.046875,pre_replay,True,0.3820360200916184,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,50,50,0,0,0,0,0,0,0
2,Heidi traveled to the Mall this morning. --- FLUSH --- Eve traveled to the Park in the evening. Alice journeyed to the Cinema in the evening. Where did Heidi go? Answer with the location name only.,Mall,Mall,1,1,1.0,1,1,0,0,115.33380800028681,1,0.34653200054890476,['episodic'],[['1']],,,,,,,151.86040198390145,2973.046875,pre_replay,True,0.3820360200916184,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,50,50,0,0,0,0,0,0,0
3,Alice drove to the Library in the evening. --- FLUSH --- Grace traveled to the Cafe last week. Where did Alice go? Answer with the location name only.,Library,Library,1,1,1.0,1,1,0,0,75.88684800066403,1,0.34111199784092605,['episodic'],[['1']],,,,,,,151.86040198390145,2973.046875,pre_replay,True,0.3820360200916184,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,50,50,0,0,0,0,0,0,0
4,Bob traveled to the Office earlier today. --- FLUSH --- Alice journeyed to the Museum this morning. Eve traveled to the School in the evening. Where did Bob go? Answer with the location name only.,Office,Office,1,1,1.0,1,1,0,0,88.94749300088733,1,0.33945200266316533,['episodic'],[['1']],,,,,,,151.86040198390145,2973.046875,pre_replay,True,0.3820360200916184,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,50,50,0,0,0,0,0,0,0
5,Alice traveled to the Office in the evening. --- FLUSH --- Frank journeyed to the School last week. Where did Alice go? Answer with the location name only.,Office,Office,1,1,1.0,1,1,0,0,75.35936500062235,1,0.34534200312918983,['episodic'],[['1']],,,,,,,151.86040198390145,2973.046875,pre_replay,True,0.3820360200916184,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,50,50,0,0,0,0,0,0,0
6,Alice journeyed to the Museum earlier today. --- FLUSH --- Heidi drove to the Office in the evening. Where did Alice go? Answer with the location name only.,Museum,Museum,1,1,1.0,1,1,0,0,99.28287600268959,1,0.33892200008267537,['episodic'],[['1']],,,,,,,151.86040198390145,2973.046875,pre_replay,True,0.3820360200916184,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,50,50,0,0,0,0,0,0,0
7,Frank walked to the Office yesterday. --- FLUSH --- Alice walked to the Library yesterday. Where did Frank go? Answer with the location name only.,Office,Office,1,1,1.0,1,1,0,0,76.39121000102023,1,0.3495819983072579,['episodic'],[['1']],,,,,,,151.86040198390145,2973.046875,pre_replay,True,0.3820360200916184,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,50,50,0,0,0,0,0,0,0
8,Dave journeyed to the Museum this morning. --- FLUSH --- Frank drove to the Library this morning. Where did Dave go? Answer with the location name only.,Museum,Museum,1,1,1.0,1,1,0,0,99.49603800123441,1,0.333711999701336,['episodic'],[['1']],,,,,,,151.86040198390145,2973.046875,pre_replay,True,0.3820360200916184,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,50,50,0,0,0,0,0,0,0
9,Alice walked to the Cinema last week. --- FLUSH --- Grace walked to the Mall earlier today. Where did Alice go? Answer with the location name only.,Cinema,Cinema,1,1,1.0,1,1,0,0,99.25016700071865,1,0.3474510012893006,['episodic'],[['1']],,,,,,,151.86040198390145,2973.046875,pre_replay,True,0.3820360200916184,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,50,50,0,0,0,0,0,0,0
10,Bob walked to the Mall in the evening. --- FLUSH --- Grace traveled to the Library last week. Eve journeyed to the Office earlier today. Where did Bob go? Answer with the location name only.,Mall,Mall,1,1,1.0,1,1,0,0,112.01842199807288,1,0.33922199872904457,['episodic'],[['1']],,,,,,,151.86040198390145,2973.046875,pre_replay,True,0.3820360200916184,1,1.0,50,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,50,50,0,0,0,0,0,0,0
