idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.episodic.accepts,gates.episodic.aggregated,gates.episodic.attempts,gates.episodic.blocked_new_edges,gates.episodic.inserted,gates.episodic.routed_to_episodic,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Frank went to the Park. --- FLUSH --- Where did Frank go?,the Park,The Park.,,,,2,2,0,1,129.4071479997001,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Frank went to the Cinema. --- FLUSH --- Where did Frank go?,the Cinema,Cinema,,,,1,2,0,0,103.22933899988129,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Frank went to the Office. --- FLUSH --- Where did Frank go?,the Office,Office.,,,,1,2,0,1,101.93928299941035,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Grace went to the Mall. --- FLUSH --- Where did Grace go?,the Mall,Mall.,,,,1,2,0,1,126.41346199961845,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Frank went to the Library. --- FLUSH --- Where did Frank go?,the Library,The Library.,,,,2,2,0,1,127.36236799992184,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Grace went to the Cinema. --- FLUSH --- Where did Grace go?,the Cinema,Cinema,,,,1,2,0,0,104.61044600015157,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bob went to the School. --- FLUSH --- Where did Bob go?,the School,School.,,,,1,2,0,1,102.26330500063341,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Grace went to the Cinema. --- FLUSH --- Where did Grace go?,the Cinema,Cinema,,,,1,2,0,0,101.8987620000189,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Eve went to the Cafe. --- FLUSH --- Where did Eve go?,the Cafe,Cafe,,,,1,2,0,0,101.49916000045778,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Frank went to the Library. --- FLUSH --- Where did Frank go?,the Library,Library,,,,1,2,0,0,74.359624999488,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Heidi went to the Mall. --- FLUSH --- Where did Heidi go?,the Mall,Mall,,,,1,2,0,0,103.38344000047073,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Carol went to the School. --- FLUSH --- Where did Carol go?,the School,School.,,,,1,2,0,1,100.24451400022372,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Heidi went to the Office. --- FLUSH --- Where did Heidi go?,the Office,The Office,,,,2,2,0,0,100.33200399993802,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,The Library.,,,,2,2,0,1,126.54798299990944,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Alice went to the Library. --- FLUSH --- Where did Alice go?,the Library,Library.,,,,1,2,0,1,100.32884399970499,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Grace went to the Cafe. --- FLUSH --- Where did Grace go?,the Cafe,Cafe,,,,1,2,0,0,104.29904500051634,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Alice went to the Mall. --- FLUSH --- Where did Alice go?,the Mall,Mall.,,,,1,2,0,1,129.04455799980497,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Dave went to the Library. --- FLUSH --- Where did Dave go?,the Library,Library.,,,,1,2,0,1,102.09632299938676,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Eve went to the Mall. --- FLUSH --- Where did Eve go?,the Mall,The Mall.,,,,2,2,0,1,131.2941200003479,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Heidi went to the School. --- FLUSH --- Where did Heidi go?,the School,School.,,,,1,2,0,1,101.20812800050771,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Alice went to the School. --- FLUSH --- Where did Alice go?,the School,School.,,,,1,2,0,1,103.9449740001146,,,,,249.69995754038416,2963.1953125,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
