idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,memory_hit,retrieval_latency_ms,router_path,topk_keys,distance,justification,context_key,retrieval_requests,writes_count,store_size_before,store_size_after,context_match_rate,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.attempts,gating.episodic.skipped,gating.relational.accepted,gating.relational.attempts,gating.relational.skipped,gating.spatial.accepted,gating.spatial.attempts,gating.spatial.skipped
0,In which city did Carol buy the apple?,Berlin,New York City,0,0,0.0,3,1,1,0,127.62343599752057,0,0.2742320029938128,['relational'],,,,semantic_mem/00001,1,0,1,1,0.0,,,,,316.68538782739114,2325.32421875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1582884204981383,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
1,In which city did Dave buy the apple?,Rome,New York City,0,0,0.0,3,1,1,0,125.60392199884518,0,0.17421099983039312,['relational'],,,,semantic_mem/00002,1,0,1,1,0.0,,,,,316.68538782739114,2325.32421875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1582884204981383,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
2,In which city did Alice buy the ball?,Berlin,New York City,0,0,0.0,3,1,1,0,128.63680200098315,0,0.19676099691423588,['relational'],,,,semantic_mem/00003,1,0,1,1,0.0,,,,,316.68538782739114,2325.32421875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1582884204981383,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
3,In which city did Carol buy the book?,London,New York City,0,0,0.0,3,1,1,0,129.3326960003469,0,0.14512100096908398,['relational'],,,,semantic_mem/00004,1,0,1,1,0.0,,,,,316.68538782739114,2325.32421875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1582884204981383,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
4,In which city did Dave buy the ball?,Paris,New York City,0,0,0.0,3,1,1,0,125.63585199677618,0,0.15374100257758982,['relational'],,,,semantic_mem/00005,1,0,1,1,0.0,,,,,316.68538782739114,2325.32421875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1582884204981383,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
5,In which city did Alice buy the book?,Paris,New York City,0,0,0.0,3,1,1,0,130.96504599889158,0,0.16249100008280948,['relational'],,,,semantic_mem/00006,1,0,1,1,0.0,,,,,316.68538782739114,2325.32421875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1582884204981383,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
6,In which city did Carol buy the apple?,Rome,New York City,0,0,0.0,3,1,1,0,123.26087699693744,0,0.14312100029201247,['relational'],,,,semantic_mem/00007,1,0,1,1,0.0,,,,,316.68538782739114,2325.32421875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1582884204981383,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
7,In which city did Bob buy the book?,Rome,New York City,0,0,0.0,3,1,1,0,123.9327820003382,0,0.15530100063188002,['relational'],,,,semantic_mem/00008,1,0,1,1,0.0,,,,,316.68538782739114,2325.32421875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1582884204981383,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
8,In which city did Bob buy the book?,Berlin,New York City,0,0,0.0,3,1,1,0,123.33760799810989,0,0.14376100079971366,['relational'],,,,semantic_mem/00009,1,0,1,1,0.0,,,,,316.68538782739114,2325.32421875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1582884204981383,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
9,In which city did Alice buy the coin?,Rome,New York City,0,0,0.0,3,1,1,0,131.0075670007791,0,0.15088100190041587,['relational'],,,,semantic_mem/00010,1,0,1,1,0.0,,,,,316.68538782739114,2325.32421875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1582884204981383,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
