idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,memory_hit,retrieval_latency_ms,router_path,topk_keys,distance,justification,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.attempts,gating.episodic.skipped,gating.relational.accepted,gating.relational.attempts,gating.relational.skipped,gating.spatial.accepted,gating.spatial.attempts,gating.spatial.skipped
0,"Carol bought a apple at StoreB. StoreB is in Berlin. However, others report StoreB is in London. Despite conflicting reports, in which city did Carol buy the apple?",Berlin,Berlin,1,1,1.0,1,1,0,0,68.50405100021817,0,0.2191509997828689,['relational'],,,,,,,,112.87725335787054,2974.3671875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1158114799818577,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
1,"Bob bought a ball at StoreA. StoreA is in Berlin. However, others report StoreA is in Rome. Despite conflicting reports, in which city did Bob buy the ball?",Berlin,Berlin,1,1,1.0,1,1,0,0,67.24814500012144,0,0.12694999986706534,['relational'],,,,,,,,112.87725335787054,2974.3671875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1158114799818577,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
2,"Dave bought a coin at StoreC. StoreC is in Rome. However, others report StoreC is in London. Despite conflicting reports, in which city did Dave buy the coin?",Rome,Rome,1,1,1.0,1,1,0,0,90.76675200003592,0,0.11002999963238835,['relational'],,,,,,,,112.87725335787054,2974.3671875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1158114799818577,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
3,"Bob bought a ball at StoreC. StoreC is in Berlin. However, others report StoreC is in Rome. Despite conflicting reports, in which city did Bob buy the ball?",Berlin,Berlin,1,1,1.0,1,1,0,0,67.32793600031073,0,0.11776100018323632,['relational'],,,,,,,,112.87725335787054,2974.3671875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1158114799818577,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
4,"Alice bought a book at StoreB. StoreB is in Paris. However, others report StoreB is in Rome. Despite conflicting reports, in which city did Alice buy the book?",Paris,Paris,1,1,1.0,1,1,0,0,67.66498699971635,0,0.1139199998760887,['relational'],,,,,,,,112.87725335787054,2974.3671875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1158114799818577,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
5,"Carol bought a book at StoreC. StoreC is in Rome. However, others report StoreC is in Berlin. Despite conflicting reports, in which city did Carol buy the book?",Rome,Rome,1,1,1.0,1,1,0,0,95.14793199969063,0,0.11835099985546549,['relational'],,,,,,,,112.87725335787054,2974.3671875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1158114799818577,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
6,"Carol bought a apple at StoreC. StoreC is in London. However, others report StoreC is in Paris. Despite conflicting reports, in which city did Carol buy the apple?",London,London,1,1,1.0,1,1,0,0,67.74235700004283,0,0.11543100026756292,['relational'],,,,,,,,112.87725335787054,2974.3671875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1158114799818577,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
7,"Dave bought a book at StoreC. StoreC is in Berlin. However, others report StoreC is in Rome. Despite conflicting reports, in which city did Dave buy the book?",Berlin,Berlin,1,1,1.0,1,1,0,0,67.43196600018564,0,0.11674999996102997,['relational'],,,,,,,,112.87725335787054,2974.3671875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1158114799818577,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
8,"Carol bought a ball at StoreA. StoreA is in London. However, others report StoreA is in Paris. Despite conflicting reports, in which city did Carol buy the ball?",London,London,1,1,1.0,1,1,0,0,67.62692700021944,0,0.1095700004043465,['relational'],,,,,,,,112.87725335787054,2974.3671875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1158114799818577,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
9,"Carol bought a book at StoreC. StoreC is in London. However, others report StoreC is in Paris. Despite conflicting reports, in which city did Carol buy the book?",London,London,1,1,1.0,1,1,0,0,67.43379599993204,0,0.11111999992863275,['relational'],,,,,,,,112.87725335787054,2974.3671875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1158114799818577,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
10,"Bob bought a book at StoreC. StoreC is in Berlin. However, others report StoreC is in Rome. Despite conflicting reports, in which city did Bob buy the book?",Berlin,Berlin,1,1,1.0,1,1,0,0,71.35673399989173,0,0.11338100011926144,['relational'],,,,,,,,112.87725335787054,2974.3671875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1158114799818577,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
11,"Carol bought a apple at StoreA. StoreA is in London. However, others report StoreA is in Paris. Despite conflicting reports, in which city did Carol buy the apple?",London,London,1,1,1.0,1,1,0,0,67.38647600013792,0,0.11519100007717498,['relational'],,,,,,,,112.87725335787054,2974.3671875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1158114799818577,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
12,"Carol bought a coin at StoreC. StoreC is in London. However, others report StoreC is in Paris. Despite conflicting reports, in which city did Carol buy the coin?",London,London,1,1,1.0,1,1,0,0,67.34908499993253,0,0.10798099992825883,['relational'],,,,,,,,112.87725335787054,2974.3671875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1158114799818577,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
13,"Carol bought a book at StoreA. StoreA is in London. However, others report StoreA is in Berlin. Despite conflicting reports, in which city did Carol buy the book?",London,London,1,1,1.0,1,1,0,0,67.41079599987643,0,0.10788999998112558,['relational'],,,,,,,,112.87725335787054,2974.3671875,pre_replay,True,0.0,0,0.0,0,0,0,0,0,0.1158114799818577,1,0.0,0,1,50,50,50,0.0,0,0.0,0,0,0,0,0,0,0,0,0,50,50,0,0,0
